n_a,n_b,kontrast,null_mittel,null_sd,z,p,mde80,status,zone,probe,vergleich
17,17,0.16004624962806702,0.00023332052323967218,0.11667611405770144,1.3697141903936985,0.15309234538273087,0.3269264398848037,ok,ChondroProg,Pcw5.6_Proximal_LowerLimb,osteogen_vs_adipogen
12,10,1.7411733865737915,0.0003357279458083212,0.14446673927030781,12.050093103927187,9.99950002499875e-05,0.4048425979026702,ok,RestingChon,Pcw7.2_s1_Thigh_LowerLimb,chondrogen_vs_naiv
17,17,0.199422687292099,0.00023446034397929907,0.11366676869754777,1.7523875203854278,0.09679516024198791,0.318501412697113,ok,RestingChon,Pcw7.2_s1_Thigh_LowerLimb,osteogen_vs_adipogen
12,10,1.7170283794403076,0.00023854720457457007,0.14405826727072546,11.917329458151878,9.99950002499875e-05,0.40360169556260583,ok,RestingChon,Pcw7.2_s2_Thigh_LowerLimb,chondrogen_vs_naiv
17,17,0.19893014430999756,0.0002725532916141674,0.11335432964020839,1.7525364196403552,0.09699515024248788,0.31766467628419764,ok,RestingChon,Pcw7.2_s2_Thigh_LowerLimb,osteogen_vs_adipogen
12,10,1.8729838132858276,0.00034162438861094416,0.14966869177258377,12.511916598714109,9.99950002499875e-05,0.4194139613518455,ok,RestingChon,Pcw6.5_Thigh_LowerLimb,chondrogen_vs_naiv
17,17,0.25279539823532104,0.00036785441995598376,0.1180819587335481,2.137731678257199,0.05109744512774361,0.3309973388738906,ok,RestingChon,Pcw6.5_Thigh_LowerLimb,osteogen_vs_adipogen
12,10,1.5961310863494873,-0.00012621615852694958,0.14003071012862123,11.39933733851537,9.99950002499875e-05,0.3919597722016125,ok,RestingChon,Pcw9.3_s1_Thigh_LowerLimb,chondrogen_vs_naiv
17,17,0.4206884801387787,0.0003162227811757475,0.11004210211897272,3.8201038444641378,0.0028998550072496373,0.3084341087142994,ok,RestingChon,Pcw9.3_s1_Thigh_LowerLimb,osteogen_vs_adipogen
12,10,1.66360604763031,-2.981195319443941e-05,0.1396023044999002,11.91696559410804,9.99950002499875e-05,0.39085664064652603,ok,RestingChon,Pcw9.3_s2_Thigh_LowerLimb,chondrogen_vs_naiv
17,17,0.35363203287124634,0.00022664876841008662,0.10926422748360755,3.234410678058893,0.008099595020248988,0.3061664857225112,ok,RestingChon,Pcw9.3_s2_Thigh_LowerLimb,osteogen_vs_adipogen
12,10,2.299233913421631,0.00011971583901904523,0.1526024821805216,15.066034082347803,9.99950002499875e-05,0.4274066659444795,ok,RestingChon,Pcw9.0_s1_Thigh_LowerLimb,chondrogen_vs_naiv
17,17,0.23255565762519836,0.00021218608031049372,0.12021850325698435,1.9326764620269832,0.0703964801759912,0.33682399519986667,ok,RestingChon,Pcw9.0_s1_Thigh_LowerLimb,osteogen_vs_adipogen
