n_a,n_b,kontrast,null_mittel,null_sd,z,p,mde80,status,zone,probe
129,44,0.06738629937171936,0.00024424464125186206,0.05322912513178243,1.2613781377063784,0.14519274036298185,0.14928579501024264,ok,ProlifChon,Pcw9.0_s2_Thigh_LowerLimb
129,44,0.07347743213176727,0.00035797489155083896,0.060812798343988866,1.202369554293731,0.18539073046347682,0.17063381025471966,ok,ProlifChon,Pcw6.1_Proximal_UpperLimb
129,44,0.06485264748334885,0.0003862720474600792,0.06165405959930891,1.0456144470430195,0.2618869056547173,0.17301763892552502,ok,ProlifChon,Pcw6.1_s1_Middle_UpperLimb
129,44,0.09263569861650467,0.0005217668108642101,0.060979548292446076,1.5105709108220993,0.08869556522173891,0.17126450202971322,ok,ProlifChon,Pcw6.1_Distal_UpperLimb
129,44,0.08377183228731155,0.00036788429953157903,0.06082471753733781,1.3712180074914726,0.12939353032348383,0.17067709340407744,ok,ProlifChon,Pcw6.1_Proximal_LowerLimb
129,44,0.06469344347715378,0.00042720135748386385,0.06268767482382895,1.02518146191061,0.27618619069046546,0.1759526908642049,ok,ProlifChon,Pcw6.1_s2_Middle_UpperLimb
129,44,0.052542902529239655,0.0007349927837029099,0.06140711911639579,0.8436792100169368,0.3872806359682016,0.1726749263096111,ok,ProlifChon,Pcw6.1_Distal_LowerLimb
129,44,0.06457950919866562,0.0006651292333379388,0.06264793909125156,1.0202152040824752,0.2832858357082146,0.1760793586888423,ok,ProlifChon,Pcw5.6_Middle_UpperLimb
129,44,0.14560151100158691,0.0006006744340062141,0.06394563554281642,2.26756424166731,0.009299535023248838,0.17964845395389217,ok,ProlifChon,Pcw5.6_Proximal_UpperLimb
129,44,0.13326463103294373,0.0008002731211483479,0.06413137108379743,2.065515763552138,0.020298985050747464,0.18036811215578116,ok,ProlifChon,Pcw5.6_Distal_LowerLimb
129,44,0.14628303050994873,0.0007077143335714936,0.06359540807082788,2.2890853379578315,0.008299585020748963,0.17877485693188955,ok,ProlifChon,Pcw5.6_Middle_LowerLimb
129,44,0.13325685262680054,2.701512277126312e-05,0.065895383368687,2.0218387190890694,0.01929903504824759,0.18453408855509484,ok,PrehyperChon,Pcw8.4_s1_Thigh_LowerLimb
129,44,0.1365862935781479,-9.633253701031207e-06,0.06520045653856142,2.0950148830792648,0.014899255037248137,0.18255164505427093,ok,PrehyperChon,Pcw8.4_s2_Thigh_LowerLimb
129,44,0.11026270687580109,0.00010885929642245174,0.06117417004531669,1.8006594531283173,0.03629818509074546,0.17139653542330918,ok,PrehyperChon,Pcw7.2_s1_Thigh_LowerLimb
129,44,0.0985659584403038,9.093134077265859e-05,0.060575614351601886,1.6256546161950238,0.0623968801559922,0.16970265152525793,ok,PrehyperChon,Pcw7.2_s2_Thigh_LowerLimb
129,44,0.1405991017818451,4.779501538723707e-05,0.06915281777279633,2.0324740378366566,0.018599070046497676,0.19367568477921696,ok,PrehyperChon,Pcw9.0_s1_Thigh_LowerLimb
129,44,0.11834271997213364,0.00017288919910788536,0.06625973887120296,1.783433390866914,0.041997900104994754,0.18570015803847614,ok,PrehyperChon,Pcw9.0_s2_Thigh_LowerLimb
