"klasse","ensembl"
"Struktur_ECM","ENSG00000099953"
"Struktur_ECM","ENSG00000275365"
"Struktur_ECM","ENSG00000262406"
"Struktur_ECM","ENSG00000137745"
"Struktur_ECM","ENSG00000157227"
"Struktur_ECM","ENSG00000102996"
"Struktur_ECM","ENSG00000156103"
"Struktur_ECM","ENSG00000198598"
"Struktur_ECM","ENSG00000123342"
"Struktur_ECM","ENSG00000173531"
"Struktur_ECM","ENSG00000198788"
"Struktur_ECM","ENSG00000278466"
"Struktur_ECM","ENSG00000293532"
"Struktur_ECM","ENSG00000034971"
"Struktur_ECM","ENSG00000099783"
"Struktur_ECM","ENSG00000149294"
"Struktur_ECM","ENSG00000124479"
"Struktur_ECM","ENSG00000136999"
"Struktur_ECM","ENSG00000175206"
"Struktur_ECM","ENSG00000127083"
"Struktur_ECM","ENSG00000291355"
"Struktur_ECM","ENSG00000164761"
"Struktur_ECM","ENSG00000229314"
"Struktur_ECM","ENSG00000228278"
"Struktur_ECM","ENSG00000085465"
"Struktur_ECM","ENSG00000140479"
"Struktur_ECM","ENSG00000106366"
"Struktur_ECM","ENSG00000188488"
"Struktur_ECM","ENSG00000100311"
"Struktur_ECM","ENSG00000132386"
"Struktur_ECM","ENSG00000282307"
"Struktur_ECM","ENSG00000163737"
"Struktur_ECM","ENSG00000126759"
"Struktur_ECM","ENSG00000205221"
"Struktur_ECM","ENSG00000197249"
"Struktur_ECM","ENSG00000277377"
"Struktur_ECM","ENSG00000124102"
"Struktur_ECM","ENSG00000124570"
"Struktur_ECM","ENSG00000135919"
"Struktur_ECM","ENSG00000166401"
"Struktur_ECM","ENSG00000170542"
"Struktur_ECM","ENSG00000067225"
"Struktur_ECM","ENSG00000122194"
"Struktur_ECM","ENSG00000167711"
"Struktur_ECM","ENSG00000276838"
"Struktur_ECM","ENSG00000083444"
"Struktur_ECM","ENSG00000152952"
"Struktur_ECM","ENSG00000188313"
"Struktur_ECM","ENSG00000204983"
"Struktur_ECM","ENSG00000274247"
"Struktur_ECM","ENSG00000275896"
"Struktur_ECM","ENSG00000282049"
"Struktur_ECM","ENSG00000189056"
"Struktur_ECM","ENSG00000166033"
"Struktur_ECM","ENSG00000196415"
"Struktur_ECM","ENSG00000277804"
"Struktur_ECM","ENSG00000197746"
"Struktur_ECM","ENSG00000106278"
"Struktur_ECM","ENSG00000163661"
"Struktur_ECM","ENSG00000126838"
"Struktur_ECM","ENSG00000106538"
"Struktur_ECM","ENSG00000265203"
"Struktur_ECM","ENSG00000196154"
"Struktur_ECM","ENSG00000197956"
"Struktur_ECM","ENSG00000143556"
"Struktur_ECM","ENSG00000143546"
"Struktur_ECM","ENSG00000163220"
"Struktur_ECM","ENSG00000197747"
"Struktur_ECM","ENSG00000169439"
"Struktur_ECM","ENSG00000107562"
"Struktur_ECM","ENSG00000104332"
"Struktur_ECM","ENSG00000145423"
"Struktur_ECM","ENSG00000164690"
"Struktur_ECM","ENSG00000124107"
"Struktur_ECM","ENSG00000109610"
"Struktur_ECM","ENSG00000197471"
"Struktur_ECM","ENSG00000072080"
"Struktur_ECM","ENSG00000105329"
"Struktur_ECM","ENSG00000140682"
"Struktur_ECM","ENSG00000092969"
"Struktur_ECM","ENSG00000119699"
"Struktur_ECM","ENSG00000143768"
"Struktur_ECM","ENSG00000163810"
"Struktur_ECM","ENSG00000281886"
"Struktur_ECM","ENSG00000198959"
"Struktur_ECM","ENSG00000113296"
"Struktur_ECM","ENSG00000102265"
"Struktur_ECM","ENSG00000035862"
"Struktur_ECM","ENSG00000100234"
"Struktur_ECM","ENSG00000157150"
"Struktur_ECM","ENSG00000164342"
"Struktur_ECM","ENSG00000163815"
"Struktur_ECM","ENSG00000116147"
"Struktur_ECM","ENSG00000172236"
"Struktur_ECM","ENSG00000166598"
"Struktur_ECM","ENSG00000042781"
"Struktur_ECM","ENSG00000112715"
"Struktur_ECM","ENSG00000146839"
"Struktur_ECM","ENSG00000105989"
"Struktur_ECM","ENSG00000108379"
"Struktur_ECM","ENSG00000277641"
