status,n_satz,n_panel,n_hg,beobachtet,null_mittel,null_sd,z,p,OR_gematcht,mde80_anzahl,OR_mde80,OR_roh,p_roh_fisher,panel,klasse,n_klasse_panel
ok,147,53,11581.0,0.0,0.34305,0.5823947601780377,-0.5890334588434997,9.99950002499875e-05,,1.9737553284985057,5.818244118577673,0.0,1.0,NOSO_BREIT,VESIKEL_SEKRET,71
ok,147,539,11581.0,8.0,7.14345,2.597750856601851,0.3297275402000882,0.8516574171291436,1.1268081727633874,14.417152398485182,2.1289572866908917,1.1817529027625358,0.5565245853041747,NOSO_BREIT,_GESAMT,689
zu klein,147,3,,,,,,,,,,,,PA1471,CILIUM,3
zu klein,147,0,,,,,,,,,,,,PA1471,ECM_STRUKTUR,1
zu klein,147,0,,,,,,,,,,,,PA1471,GLYKO_LINKER,1
zu klein,147,0,,,,,,,,,,,,PA1471,LYSOSOM,1
zu klein,147,4,,,,,,,,,,,,PA1471,SIGNAL_FWBI,5
zu klein,147,2,,,,,,,,,,,,PA1471,TF_DNABINDEND,4
zu klein,147,9,,,,,,,,,,,,PA1471,VESIKEL_SEKRET,9
ok,147,62,11581.0,1.0,0.91515,0.9468871671246597,0.08960940959592634,0.7944602769861508,1.093352089147748,3.566434067949047,3.969138915249927,1.277004266786436,0.5480224399824951,PA1471,_GESAMT,73
ok,147,56,11581.0,0.0,1.42,1.1831187550281776,-1.2002176400002895,9.99950002499875e-05,,4.732732514078897,3.410517953806478,0.0,1.0,PA309,CILIUM,63
ok,147,41,11581.0,1.0,0.62575,0.7828905309040141,0.47803618159469696,0.9370531473426329,1.6021787553565854,2.817843486531239,4.571610007541448,1.951027397260274,0.40824640321191535,PA309,ECM_STRUKTUR,51
ok,147,15,11581.0,2.0,0.23565,0.4786758130788533,3.6858975360623765,0.04249787510624469,8.590434381790645,1.5759422766207891,6.749275858022317,12.117771883289125,0.015078459745565684,PA309,GLYKO_LINKER,15
ok,147,34,11581.0,0.0,0.458,0.6780552985925243,-0.6754611326697028,9.99950002499875e-05,,2.3565548360590682,5.2128524109202115,0.0,1.0,PA309,LYSOSOM,36
ok,147,78,11581.0,1.0,0.9426,0.9562170033773073,0.06002821514077482,0.7668616569171542,1.0613124874654483,3.6200076094564606,3.9121640726901306,1.0102294965308665,1.0,PA309,SIGNAL_FWBI,99
ok,147,30,11581.0,0.0,0.2572,0.5079971092960595,-0.5063020936406637,9.99950002499875e-05,,1.6795919060289664,6.59421346229726,0.0,1.0,PA309,TF_DNABINDEND,50
ok,147,35,11581.0,0.0,0.1025,0.3162257894882972,-0.324135486121676,9.99950002499875e-05,,0.9879322105672321,9.69681105557743,0.0,1.0,PA309,VESIKEL_SEKRET,44
ok,147,355,11581.0,4.0,4.6979,2.13594562271261,-0.32674052774512125,0.6104694765261738,0.8472888570804662,10.678547743595306,2.3727693879725944,0.8832307293845756,1.0,PA309,_GESAMT,440
