n_a,n_b,kontrast,null_mittel,null_sd,z,p,mde80,status,zone,probe,vergleich
435,173,0.12259986251592636,-0.00046066232677549124,0.03097819138852673,3.9724890100678794,0.000199990000499975,0.08627827356109935,ok,RestingChon,Pcw6.5_Thigh_LowerLimb,PA309_vs_Modul
435,173,0.09826268255710602,-0.0003158924957737327,0.028868269721882743,3.4147725514063336,0.000199990000499975,0.08051526272549794,ok,RestingChon,Pcw9.3_s1_Thigh_LowerLimb,PA309_vs_Modul
435,173,0.11009394377470016,-0.00031825102381408213,0.028770363988216894,3.8377058713520045,0.000199990000499975,0.08023876814319322,ok,RestingChon,Pcw9.3_s2_Thigh_LowerLimb,PA309_vs_Modul
435,173,0.14837682247161865,-0.0003616066690534353,0.03164333834774444,4.70046578227971,9.99950002499875e-05,0.08823974070463098,ok,RestingChon,Pcw9.0_s1_Thigh_LowerLimb,PA309_vs_Modul
435,173,0.14853480458259583,-0.00034020072109997273,0.03158566468869577,4.713372562236337,9.99950002499875e-05,0.08809966040724819,ok,RestingChon,Pcw9.0_s2_Thigh_LowerLimb,PA309_vs_Modul
435,173,0.12360551953315735,-0.0003363675968721509,0.031398107887701504,3.9474317233802796,0.000199990000499975,0.08757833448869205,ok,RestingChon,Pcw6.1_Proximal_UpperLimb,PA309_vs_Modul
435,173,0.13661125302314758,-0.0003552630512043834,0.03236008496839064,4.23257590974007,9.99950002499875e-05,0.09025297486028941,ok,RestingChon,Pcw6.1_s1_Middle_UpperLimb,PA309_vs_Modul
435,173,0.11792300641536713,-0.0003805975968018174,0.03285131041918205,3.6011837123882535,0.000199990000499975,0.09160307157690793,ok,RestingChon,Pcw6.1_Proximal_LowerLimb,PA309_vs_Modul
435,173,0.13636019825935364,-0.0003378919132053852,0.032224389065071635,4.242069256814167,9.99950002499875e-05,0.08989039746899519,ok,RestingChon,Pcw6.1_s2_Middle_UpperLimb,PA309_vs_Modul
435,173,0.151259645819664,-0.00042327395565807817,0.034118856730624945,4.445721056039141,9.99950002499875e-05,0.09510952489009177,ok,RestingChon,Pcw5.6_Proximal_UpperLimb,PA309_vs_Modul
435,173,0.1385999619960785,-0.00029265328515321016,0.029406553093758683,4.723185843590441,9.99950002499875e-05,0.0820456953773711,ok,ProlifChon,Pcw7.2_s1_Thigh_LowerLimb,PA309_vs_Modul
435,173,0.13067758083343506,-0.0002843442864716053,0.02928360876880316,4.472192145232624,9.99950002499875e-05,0.08170976026617724,ok,ProlifChon,Pcw7.2_s2_Thigh_LowerLimb,PA309_vs_Modul
