"ensembl","satz"
"ENSG00000180447","S_ZELLZYKLUS"
"ENSG00000148935","S_ZELLZYKLUS"
"ENSG00000107485","S_ZELLZYKLUS"
"ENSG00000141448","S_ZELLZYKLUS"
"ENSG00000108773","S_ZELLZYKLUS"
"ENSG00000268221","S_ZELLZYKLUS"
"ENSG00000164949","S_ZELLZYKLUS"
"ENSG00000152661","S_ZELLZYKLUS"
"ENSG00000111087","S_ZELLZYKLUS"
"ENSG00000104499","S_ZELLZYKLUS"
"ENSG00000127955","S_ZELLZYKLUS"
"ENSG00000167110","S_ZELLZYKLUS"
"ENSG00000175793","S_ZELLZYKLUS"
"ENSG00000181773","S_ZELLZYKLUS"
"ENSG00000164850","S_ZELLZYKLUS"
"ENSG00000198873","S_ZELLZYKLUS"
"ENSG00000113580","S_ZELLZYKLUS"
"ENSG00000103342","S_ZELLZYKLUS"
"ENSG00000116062","S_ZELLZYKLUS"
"ENSG00000137947","S_ZELLZYKLUS"
"ENSG00000110768","S_ZELLZYKLUS"
"ENSG00000288114","S_ZELLZYKLUS"
"ENSG00000188486","S_ZELLZYKLUS"
"ENSG00000172534","S_ZELLZYKLUS"
"ENSG00000197386","S_ZELLZYKLUS"
"ENSG00000019991","S_ZELLZYKLUS"
"ENSG00000152804","S_ZELLZYKLUS"
"ENSG00000204632","S_ZELLZYKLUS"
"ENSG00000276051","S_ZELLZYKLUS"
"ENSG00000233095","S_ZELLZYKLUS"
"ENSG00000235680","S_ZELLZYKLUS"
"ENSG00000230413","S_ZELLZYKLUS"
"ENSG00000237216","S_ZELLZYKLUS"
"ENSG00000235346","S_ZELLZYKLUS"
"ENSG00000206506","S_ZELLZYKLUS"
"ENSG00000123358","S_ZELLZYKLUS"
"ENSG00000129514","S_ZELLZYKLUS"
"ENSG00000153187","S_ZELLZYKLUS"
"ENSG00000106031","S_ZELLZYKLUS"
"ENSG00000180806","S_ZELLZYKLUS"
"ENSG00000128710","S_ZELLZYKLUS"
"ENSG00000164120","S_ZELLZYKLUS"
"ENSG00000174775","S_ZELLZYKLUS"
"ENSG00000276536","S_ZELLZYKLUS"
"ENSG00000160310","S_ZELLZYKLUS"
"ENSG00000114315","S_ZELLZYKLUS"
"ENSG00000185122","S_ZELLZYKLUS"
"ENSG00000284774","S_ZELLZYKLUS"
"ENSG00000204389","S_ZELLZYKLUS"
"ENSG00000235941","S_ZELLZYKLUS"
"ENSG00000237724","S_ZELLZYKLUS"
"ENSG00000234475","S_ZELLZYKLUS"
"ENSG00000215328","S_ZELLZYKLUS"
"ENSG00000204388","S_ZELLZYKLUS"
"ENSG00000232804","S_ZELLZYKLUS"
