panel,symbol,ensembl,mode_of_inheritance,confidence_level
PA309,FBXW11,ENSG00000072803,"MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown",3
PA309,FERMT3,ENSG00000149781,"BIALLELIC, autosomal or pseudoautosomal",3
PA309,FGF10,ENSG00000070193,"MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted",3
PA309,FGF16,ENSG00000196468,"X-LINKED: hemizygous mutation in males, biallelic mutations in females",3
PA309,FGF23,ENSG00000118972,"MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted",3
PA309,FGF4,ENSG00000075388,"BIALLELIC, autosomal or pseudoautosomal",3
PA309,FGF9,ENSG00000102678,"MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted",3
PA309,FGFR1,ENSG00000077782,"MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted",3
PA309,FGFR2,ENSG00000066468,"MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown",3
PA309,FGFR3,ENSG00000068078,"BOTH monoallelic and biallelic, autosomal or pseudoautosomal",3
PA309,FIG4,ENSG00000112367,"BIALLELIC, autosomal or pseudoautosomal",3
PA309,FKBP10,ENSG00000141756,"BIALLELIC, autosomal or pseudoautosomal",3
PA309,FLNA,ENSG00000196924,"X-LINKED: hemizygous mutation in males, monoallelic mutations in females may cause disease (may be less severe, later onset than males)",3
PA309,FLNB,ENSG00000136068,"BOTH monoallelic and biallelic, autosomal or pseudoautosomal",3
PA309,FN1,ENSG00000115414,"MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted",3
PA309,FUCA1,ENSG00000179163,"BIALLELIC, autosomal or pseudoautosomal",3
PA309,FZD2,ENSG00000180340,"MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted",3
PA309,GALNS,ENSG00000141012,"BIALLELIC, autosomal or pseudoautosomal",3
PA309,GALNT3,ENSG00000115339,"BIALLELIC, autosomal or pseudoautosomal",3
PA309,GDF5,ENSG00000125965,"BOTH monoallelic and biallelic, autosomal or pseudoautosomal",3
PA309,GDF6,ENSG00000156466,"MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted",3
PA309,GHR,ENSG00000112964,"BOTH monoallelic and biallelic, autosomal or pseudoautosomal",3
