"klasse","ensembl"
"ECM_STRUKTUR","ENSG00000151651"
"ECM_STRUKTUR","ENSG00000137845"
"ECM_STRUKTUR","ENSG00000135744"
"ECM_STRUKTUR","ENSG00000182718"
"ECM_STRUKTUR","ENSG00000163697"
"ECM_STRUKTUR","ENSG00000105290"
"ECM_STRUKTUR","ENSG00000142192"
"ECM_STRUKTUR","ENSG00000165240"
"ECM_STRUKTUR","ENSG00000069399"
"ECM_STRUKTUR","ENSG00000168487"
"ECM_STRUKTUR","ENSG00000125845"
"ECM_STRUKTUR","ENSG00000204580"
"ECM_STRUKTUR","ENSG00000229767"
"ECM_STRUKTUR","ENSG00000234078"
"ECM_STRUKTUR","ENSG00000137332"
"ECM_STRUKTUR","ENSG00000223680"
"ECM_STRUKTUR","ENSG00000215522"
"ECM_STRUKTUR","ENSG00000230456"
"ECM_STRUKTUR","ENSG00000105974"
"ECM_STRUKTUR","ENSG00000105971"
"ECM_STRUKTUR","ENSG00000159216"
"ECM_STRUKTUR","ENSG00000149257"
"ECM_STRUKTUR","ENSG00000092009"
"ECM_STRUKTUR","ENSG00000080618"
"ECM_STRUKTUR","ENSG00000101439"
"ECM_STRUKTUR","ENSG00000100448"
"ECM_STRUKTUR","ENSG00000143387"
"ECM_STRUKTUR","ENSG00000136943"
"ECM_STRUKTUR","ENSG00000163131"
"ECM_STRUKTUR","ENSG00000138061"
"ECM_STRUKTUR","ENSG00000173402"
"ECM_STRUKTUR","ENSG00000152592"
"ECM_STRUKTUR","ENSG00000197635"
"ECM_STRUKTUR","ENSG00000106823"
"ECM_STRUKTUR","ENSG00000291357"
"ECM_STRUKTUR","ENSG00000197561"
"ECM_STRUKTUR","ENSG00000277571"
"ECM_STRUKTUR","ENSG00000163435"
"ECM_STRUKTUR","ENSG00000106991"
"ECM_STRUKTUR","ENSG00000104884"
"ECM_STRUKTUR","ENSG00000182197"
"ECM_STRUKTUR","ENSG00000078098"
"ECM_STRUKTUR","ENSG00000160867"
"ECM_STRUKTUR","ENSG00000103241"
"ECM_STRUKTUR","ENSG00000137273"
"ECM_STRUKTUR","ENSG00000054598"
"ECM_STRUKTUR","ENSG00000176692"
"ECM_STRUKTUR","ENSG00000148935"
"ECM_STRUKTUR","ENSG00000183087"
"ECM_STRUKTUR","ENSG00000131095"
"ECM_STRUKTUR","ENSG00000086062"
"ECM_STRUKTUR","ENSG00000046653"
"ECM_STRUKTUR","ENSG00000105509"
"ECM_STRUKTUR","ENSG00000170961"
"ECM_STRUKTUR","ENSG00000103044"
"ECM_STRUKTUR","ENSG00000105707"
"ECM_STRUKTUR","ENSG00000029559"
"ECM_STRUKTUR","ENSG00000163501"
"ECM_STRUKTUR","ENSG00000136244"
"ECM_STRUKTUR","ENSG00000164171"
"ECM_STRUKTUR","ENSG00000150093"
"ECM_STRUKTUR","ENSG00000259207"
"ECM_STRUKTUR","ENSG00000136167"
"ECM_STRUKTUR","ENSG00000113083"
"ECM_STRUKTUR","ENSG00000129038"
