"ensembl","expr","expr_rank","arm","klasse","punkt","label","n_undiff","n_diff"
"ENSG00000237136",1.29929378192465,0.0683038637851997,"osteogen","N",11,"RB1 +/- (GSE245585)",4,12
"ENSG00000198125",0.832955188295631,0.0352324819908317,"osteogen","N",11,"RB1 +/- (GSE245585)",4,12
"ENSG00000242689",3.31946428313003,0.170595939751146,"osteogen","N",11,"RB1 +/- (GSE245585)",4,12
"ENSG00000161267",1.81833701395517,0.100327439423707,"osteogen","N",11,"RB1 +/- (GSE245585)",4,12
"ENSG00000118557",4.16306012623998,0.206221349050426,"osteogen","N",11,"RB1 +/- (GSE245585)",4,12
"ENSG00000205832",1.51404687636152,0.081532416502947,"osteogen","N",11,"RB1 +/- (GSE245585)",4,12
"ENSG00000072657",4.30866997320745,0.212770137524558,"osteogen","N",11,"RB1 +/- (GSE245585)",4,12
"ENSG00000198515",0.969043829588863,0.0469548133595285,"osteogen","N",11,"RB1 +/- (GSE245585)",4,12
"ENSG00000117477",1.81715837066814,0.100261951538965,"osteogen","N",11,"RB1 +/- (GSE245585)",4,12
"ENSG00000117601",1.14356123142262,0.0592010478061559,"osteogen","N",11,"RB1 +/- (GSE245585)",4,12
"ENSG00000174325",1.80239049480088,0.0993451211525868,"osteogen","N",11,"RB1 +/- (GSE245585)",4,12
"ENSG00000166510",7.71101283097735,0.387426326129666,"osteogen","N",11,"RB1 +/- (GSE245585)",4,12
"ENSG00000130755",2.04471340326476,0.11139489194499,"osteogen","N",11,"RB1 +/- (GSE245585)",4,12
"ENSG00000279778",3.09583214414767,0.16136214800262,"osteogen","N",11,"RB1 +/- (GSE245585)",4,12
"ENSG00000152785",1.08125795810618,0.0546823837590046,"osteogen","N",11,"RB1 +/- (GSE245585)",4,12
"ENSG00000154655",1.28933413332607,0.0677144728225278,"osteogen","N",11,"RB1 +/- (GSE245585)",4,12
"ENSG00000136918",0.951765925610472,0.0453831041257367,"osteogen","N",11,"RB1 +/- (GSE245585)",4,12
"ENSG00000119915",4.75494090145,0.233726260641781,"osteogen","N",11,"RB1 +/- (GSE245585)",4,12
"ENSG00000281613",1.91063616920917,0.104125736738703,"osteogen","N",11,"RB1 +/- (GSE245585)",4,12
"ENSG00000142185",0.804233003283273,0.0331368696791094,"osteogen","N",11,"RB1 +/- (GSE245585)",4,12
"ENSG00000278997",2.8665835779977,0.151866404715128,"osteogen","N",11,"RB1 +/- (GSE245585)",4,12
