"go","groesse","nA_3","nB_3","nA_4","nB_4","nA_5","nB_5","nA_11","nB_11","nA_13","nB_13","nA_14","nB_14","nA_15","nB_15","nA_17","nB_17","nA_18","nB_18","min_nA","min_nB","testbar","name"
"GO:0046683",138,51,842,52,882,7,137,51,1557,4,132,34,687,40,725,35,674,35,714,4,132,FALSE,"response to organophosphorus"
"GO:0046686",58,16,848,17,888,7,138,17,1563,7,131,11,690,16,730,13,677,12,715,7,131,FALSE,"response to cadmium ion"
"GO:0046717",62,12,850,12,890,2,138,9,1565,0,132,14,691,10,731,10,678,13,716,0,132,FALSE,"acid secretion"
"GO:0046718",206,61,849,61,889,6,138,43,1561,8,131,47,688,40,731,42,675,43,715,6,131,FALSE,"symbiont entry into host cell"
"GO:0046777",198,71,836,73,875,10,137,74,1545,7,132,54,677,45,721,33,671,47,708,7,132,FALSE,"protein autophosphorylation"
"GO:0046785",118,34,846,40,885,4,138,49,1558,2,132,31,690,19,729,15,677,22,715,2,132,FALSE,"microtubule polymerization"
"GO:0046822",127,28,833,28,873,5,137,44,1533,2,131,25,676,28,723,16,667,18,703,2,131,FALSE,"regulation of nucleocytoplasmic transport"
"GO:0046824",66,16,843,16,883,3,138,25,1547,1,132,17,684,13,728,6,672,8,710,1,132,FALSE,"positive regulation of nucleocytoplasmic transport"
"GO:0046847",75,24,847,25,886,1,138,20,1559,4,132,17,687,18,726,17,673,20,711,1,132,FALSE,"filopodium assembly"
"GO:0046849",96,38,847,39,887,5,138,26,1563,4,132,25,688,22,730,21,677,21,714,4,132,FALSE,"bone remodeling"
"GO:0046850",57,19,849,19,889,4,138,14,1565,3,132,12,690,13,732,12,678,12,716,3,132,FALSE,"regulation of bone remodeling"
"GO:0046854",56,20,847,21,887,4,138,23,1559,2,131,21,685,16,729,13,675,18,713,2,131,FALSE,"phosphatidylinositol phosphate biosynthetic process"
"GO:0046879",367,110,842,113,882,28,136,96,1549,13,129,75,685,94,724,69,674,80,711,13,129,FALSE,"hormone secretion"
"GO:0046883",305,90,842,92,882,23,136,75,1551,11,129,62,686,79,725,61,675,67,712,11,129,FALSE,"regulation of hormone secretion"
"GO:0046887",170,53,847,56,887,13,136,44,1558,3,130,35,689,45,729,38,676,44,714,3,130,FALSE,"positive regulation of hormone secretion"
"GO:0046888",73,27,847,26,887,10,137,17,1560,5,131,21,689,21,729,11,677,18,715,5,131,FALSE,"negative regulation of hormone secretion"
"GO:0046889",103,26,848,28,888,6,138,28,1558,2,132,22,687,30,728,23,673,28,714,2,132,FALSE,"positive regulation of lipid biosynthetic process"
"GO:0046890",210,62,842,67,881,12,137,66,1550,5,132,51,683,57,726,53,672,57,712,5,132,FALSE,"regulation of lipid biosynthetic process"
"GO:0046902",74,24,850,28,890,5,138,21,1564,4,132,16,690,21,730,8,677,13,716,4,132,FALSE,"regulation of mitochondrial membrane permeability"
"GO:0046928",81,23,848,23,887,3,138,23,1562,2,132,19,689,16,730,23,675,26,712,2,132,FALSE,"regulation of neurotransmitter secretion"
"GO:0046942",390,102,843,106,882,16,136,111,1554,12,130,91,684,95,722,103,672,99,707,12,130,FALSE,"carboxylic acid transport"
"GO:0047496",52,13,850,13,889,3,138,15,1560,1,132,11,690,13,728,14,674,23,712,1,132,FALSE,"vesicle transport along microtubule"
"GO:0048002",219,31,850,34,890,2,138,12,1562,3,132,24,691,13,732,30,677,30,716,2,132,FALSE,"antigen processing and presentation of peptide antigen"
"GO:0048008",60,37,850,38,890,4,138,29,1564,4,132,24,691,15,732,22,678,21,717,4,132,FALSE,"platelet-derived growth factor receptor signaling pathway"
"GO:0048009",55,17,849,17,889,5,138,21,1562,1,132,16,689,21,730,10,677,13,716,1,132,FALSE,"insulin-like growth factor receptor signaling pathway"
"GO:0048010",64,35,850,34,890,6,138,27,1563,3,132,16,689,21,731,13,677,12,716,3,132,FALSE,"vascular endothelial growth factor receptor signaling pathway"
"GO:0048013",54,15,849,18,889,1,137,18,1561,3,131,11,688,15,729,6,677,11,714,1,131,FALSE,"ephrin receptor signaling pathway"
"GO:0048024",117,5,814,6,849,1,133,12,1498,1,128,2,671,1,713,0,664,0,696,0,128,FALSE,"regulation of mRNA splicing, via spliceosome"
"GO:0048041",94,33,845,35,885,4,138,32,1557,3,132,25,688,24,728,27,676,28,713,3,132,FALSE,"focal adhesion assembly"
"GO:0048066",52,18,848,20,888,4,138,18,1562,4,132,15,690,16,732,10,676,16,715,4,132,FALSE,"developmental pigmentation"
"GO:0048144",121,48,844,50,883,6,138,41,1554,5,132,29,685,30,726,30,675,32,714,5,132,FALSE,"fibroblast proliferation"
"GO:0048145",100,40,846,42,886,5,138,34,1556,3,132,23,688,27,727,27,675,30,714,3,132,FALSE,"regulation of fibroblast proliferation"
"GO:0048146",57,25,849,26,889,4,138,21,1560,2,132,13,689,13,728,17,676,16,716,2,132,FALSE,"positive regulation of fibroblast proliferation"
"GO:0048167",244,67,840,71,878,6,138,61,1552,8,131,43,683,52,721,39,668,44,703,6,131,FALSE,"regulation of synaptic plasticity"
"GO:0048168",64,20,849,22,887,3,138,24,1562,2,132,14,690,17,727,10,676,11,712,2,132,FALSE,"regulation of neuronal synaptic plasticity"
"GO:0048246",50,19,850,21,890,7,138,13,1563,7,132,18,690,20,730,19,676,17,716,7,132,FALSE,"macrophage chemotaxis"
"GO:0048247",57,23,850,24,890,8,138,12,1564,9,132,15,690,18,731,13,677,10,716,8,132,FALSE,"lymphocyte chemotaxis"
"GO:0048255",72,11,829,11,868,1,138,12,1535,2,128,6,679,6,722,4,671,1,712,1,128,FALSE,"mRNA stabilization"
"GO:0048259",141,48,845,53,885,4,138,37,1559,3,132,30,687,35,728,33,675,33,711,3,132,FALSE,"regulation of receptor-mediated endocytosis"
"GO:0048260",58,19,849,19,889,3,138,14,1563,0,132,15,690,17,731,19,676,16,715,0,132,FALSE,"positive regulation of receptor-mediated endocytosis"
"GO:0048278",63,15,847,16,886,0,138,19,1560,0,130,13,688,13,727,12,673,16,705,0,130,FALSE,"vesicle docking"
"GO:0048284",190,49,840,53,879,7,138,63,1548,2,129,44,678,49,718,44,665,51,703,2,129,FALSE,"organelle fusion"
"GO:0048286",55,26,849,27,889,3,137,24,1565,1,131,13,689,14,731,12,678,22,717,1,131,FALSE,"lung alveolus development"
"GO:0048332",89,33,849,33,889,4,137,21,1561,6,132,20,690,21,727,16,674,21,714,4,132,FALSE,"mesoderm morphogenesis"
"GO:0048469",224,69,839,71,877,6,137,62,1550,7,130,54,684,60,722,41,672,40,710,6,130,FALSE,"cell maturation"
"GO:0048477",131,32,837,33,875,7,136,29,1543,4,132,22,680,16,717,17,666,19,703,4,132,FALSE,"oogenesis"
"GO:0048488",86,19,848,24,888,3,138,27,1560,1,132,19,689,20,729,20,677,18,716,1,132,FALSE,"synaptic vesicle endocytosis"
"GO:0048511",313,105,827,108,866,18,135,104,1526,15,130,70,676,74,720,70,668,80,705,15,130,TRUE,"rhythmic process"
"GO:0048515",258,62,847,62,886,8,137,73,1554,8,131,44,686,52,727,75,672,68,707,8,131,FALSE,"spermatid differentiation"
"GO:0048524",71,27,842,28,882,1,136,22,1551,1,132,10,685,10,724,15,674,11,712,1,132,FALSE,"positive regulation of viral process"
"GO:0048525",150,44,836,44,876,3,138,29,1550,5,131,29,683,20,726,33,666,27,704,3,131,FALSE,"negative regulation of viral process"
"GO:0048534",117,43,845,45,885,5,138,39,1558,7,132,29,686,35,730,17,674,28,712,5,132,FALSE,"hematopoietic or lymphoid organ development"
"GO:0048538",51,19,848,21,888,2,138,19,1561,4,132,13,688,16,732,8,675,13,714,2,132,FALSE,"thymus development"
"GO:0048545",379,105,826,112,865,18,137,127,1535,14,130,93,679,91,715,89,663,93,701,14,130,FALSE,"response to steroid hormone"
"GO:0048546",52,23,850,24,890,6,138,18,1563,2,132,19,690,13,730,13,676,14,715,2,132,FALSE,"digestive tract morphogenesis"
"GO:0048562",319,109,844,118,884,22,138,93,1551,16,132,86,683,111,726,77,672,76,712,16,132,TRUE,"embryonic organ morphogenesis"
"GO:0048565",158,57,846,59,886,13,138,36,1559,4,132,37,687,43,728,32,675,36,712,4,132,FALSE,"digestive tract development"
"GO:0048588",254,80,844,80,884,9,137,75,1556,6,131,58,687,64,725,46,673,54,709,6,131,FALSE,"developmental cell growth"
"GO:0048592",187,60,845,65,885,12,137,58,1560,9,131,52,686,64,731,39,672,49,707,9,131,FALSE,"eye morphogenesis"
"GO:0048593",156,46,845,51,885,11,137,49,1561,9,131,45,688,54,731,26,674,35,709,9,131,FALSE,"camera-type eye morphogenesis"
"GO:0048599",75,21,843,22,881,3,138,16,1554,1,132,14,686,10,724,8,672,10,708,1,132,FALSE,"oocyte development"
"GO:0048608",333,114,839,122,878,32,136,120,1546,19,132,67,683,78,722,76,670,81,708,19,132,TRUE,"reproductive structure development"
"GO:0048634",57,13,848,13,888,2,137,14,1561,2,132,14,690,16,729,8,676,11,715,2,132,FALSE,"regulation of muscle organ development"
"GO:0048638",343,119,840,121,880,19,137,107,1551,11,131,83,684,84,719,66,672,90,706,11,131,FALSE,"regulation of developmental growth"
"GO:0048639",185,56,843,57,883,6,138,48,1558,6,132,44,688,41,723,34,675,47,710,6,132,FALSE,"positive regulation of developmental growth"
"GO:0048640",106,47,851,47,891,6,137,31,1563,2,131,27,689,30,729,25,676,27,715,2,131,FALSE,"negative regulation of developmental growth"
"GO:0048644",82,26,847,32,887,6,138,21,1559,4,131,15,689,29,727,14,677,19,715,4,131,FALSE,"muscle organ morphogenesis"
"GO:0048645",76,31,846,32,886,7,137,18,1562,4,132,23,689,27,729,12,676,16,715,4,132,FALSE,"animal organ formation"
"GO:0048659",199,58,840,61,880,11,137,43,1551,10,131,29,686,36,724,32,674,40,711,10,131,FALSE,"smooth muscle cell proliferation"
"GO:0048660",195,58,840,61,880,11,137,42,1551,10,131,28,686,35,724,31,674,39,711,10,131,FALSE,"regulation of smooth muscle cell proliferation"
"GO:0048661",120,37,842,41,882,6,138,29,1558,5,132,20,688,18,727,18,675,21,712,5,132,FALSE,"positive regulation of smooth muscle cell proliferation"
"GO:0048662",77,18,849,17,889,6,137,11,1561,6,131,8,690,14,729,13,677,14,716,6,131,FALSE,"negative regulation of smooth muscle cell proliferation"
"GO:0048663",84,19,848,20,888,6,138,16,1561,3,132,13,689,19,729,11,675,12,715,3,132,FALSE,"neuron fate commitment"
"GO:0048675",121,45,849,44,889,4,138,38,1562,4,132,32,690,28,730,24,677,30,715,4,132,FALSE,"axon extension"
"GO:0048678",86,35,849,39,889,4,138,24,1561,4,132,19,689,22,731,18,678,21,715,4,132,FALSE,"response to axon injury"
"GO:0048704",99,27,849,31,889,5,138,29,1560,7,132,25,687,36,730,24,675,19,715,5,132,FALSE,"embryonic skeletal system morphogenesis"
"GO:0048705",240,90,847,94,887,21,137,78,1556,11,131,57,685,85,729,60,670,61,712,11,131,FALSE,"skeletal system morphogenesis"
"GO:0048706",142,42,849,48,889,11,138,43,1559,9,132,40,686,49,729,33,674,30,714,9,132,FALSE,"embryonic skeletal system development"
"GO:0048708",108,32,842,33,882,5,138,19,1556,4,132,19,684,22,730,16,675,23,711,4,132,FALSE,"astrocyte differentiation"
"GO:0048709",113,35,844,37,884,7,138,33,1554,2,131,24,681,28,727,17,676,14,714,2,131,FALSE,"oligodendrocyte differentiation"
"GO:0048732",497,163,830,174,868,37,137,139,1538,22,132,120,679,134,714,102,664,118,705,22,132,TRUE,"gland development"
"GO:0048736",203,66,845,71,885,13,138,65,1557,9,132,59,684,72,727,46,672,54,712,9,132,FALSE,"appendage development"
"GO:0048738",262,96,840,102,880,13,137,73,1550,17,130,50,685,93,723,48,672,57,710,13,130,FALSE,"cardiac muscle tissue development"
"GO:0048754",188,60,844,63,884,14,138,56,1557,11,132,41,686,46,728,31,674,31,715,11,132,FALSE,"branching morphogenesis of an epithelial tube"
"GO:0048762",298,95,841,97,881,17,137,85,1548,12,131,63,681,81,723,53,671,59,709,12,131,FALSE,"mesenchymal cell differentiation"
"GO:0048771",203,70,842,73,882,11,138,57,1558,9,132,48,683,47,724,48,674,49,709,9,132,FALSE,"tissue remodeling"
"GO:0048806",52,22,850,25,890,6,138,21,1564,0,132,14,690,16,730,8,678,10,717,0,132,FALSE,"genitalia development"
"GO:0048813",156,54,846,54,886,6,136,51,1556,7,132,34,684,36,728,26,673,31,710,6,132,FALSE,"dendrite morphogenesis"
"GO:0048814",70,23,848,22,888,4,137,24,1559,4,132,14,686,19,730,7,674,14,712,4,132,FALSE,"regulation of dendrite morphogenesis"
"GO:0048839",213,66,846,71,886,19,138,68,1555,9,132,52,684,65,728,47,672,54,711,9,132,FALSE,"inner ear development"
"GO:0048844",87,29,846,30,886,7,137,23,1560,6,131,22,689,18,728,16,677,19,712,6,131,FALSE,"artery morphogenesis"
"GO:0048857",76,20,850,22,890,1,138,28,1562,1,132,10,691,26,730,13,677,12,716,1,132,FALSE,"neural nucleus development"
"GO:0048863",267,88,835,95,875,16,138,84,1535,13,131,48,679,72,724,43,671,56,710,13,131,FALSE,"stem cell differentiation"
"GO:0048864",88,37,850,41,890,4,138,21,1559,1,132,16,689,27,731,15,677,18,716,1,132,FALSE,"stem cell development"
"GO:0048872",393,118,831,123,871,18,136,115,1535,12,128,74,676,95,718,91,665,103,702,12,128,FALSE,"homeostasis of number of cells"
"GO:0048880",468,133,836,141,876,24,137,141,1550,15,130,104,681,131,725,99,668,111,704,15,130,TRUE,"sensory system development"
"GO:0050000",135,52,841,53,880,4,137,56,1549,4,132,35,681,15,729,23,673,25,713,4,132,FALSE,"chromosome localization"
"GO:0050432",56,19,851,19,891,2,138,13,1565,2,132,8,690,14,731,10,678,10,717,2,132,FALSE,"catecholamine secretion"
"GO:0050435",74,21,845,20,885,1,137,23,1560,1,132,16,687,15,730,18,677,19,713,1,132,FALSE,"amyloid-beta metabolic process"
"GO:0050657",183,29,822,28,860,3,136,63,1503,3,128,23,669,17,713,21,666,19,706,3,128,FALSE,"nucleic acid transport"
"GO:0050658",183,29,822,28,860,3,136,63,1503,3,128,23,669,17,713,21,666,19,706,3,128,FALSE,"RNA transport"
"GO:0050670",331,99,847,105,887,19,137,59,1558,15,131,51,685,72,727,66,673,66,713,15,131,TRUE,"regulation of lymphocyte proliferation"
