"go","groesse","nA_3","nB_3","nA_4","nB_4","nA_5","nB_5","nA_11","nB_11","nA_13","nB_13","nA_14","nB_14","nA_15","nB_15","nA_17","nB_17","nA_18","nB_18","min_nA","min_nB","testbar","name"
"GO:0009201",132,21,851,23,891,3,138,72,1564,11,132,22,687,52,730,32,677,20,716,3,132,FALSE,"ribonucleoside triphosphate biosynthetic process"
"GO:0009205",288,67,844,70,884,12,138,128,1556,15,132,55,682,95,726,67,672,61,711,12,132,FALSE,"purine ribonucleoside triphosphate metabolic process"
"GO:0009206",127,20,851,22,891,3,138,67,1564,11,132,22,687,50,730,31,677,20,716,3,132,FALSE,"purine ribonucleoside triphosphate biosynthetic process"
"GO:0009247",81,13,838,12,878,1,137,18,1553,2,128,13,679,11,718,13,665,18,703,1,128,FALSE,"glycolipid biosynthetic process"
"GO:0009259",411,103,843,108,882,20,138,181,1555,19,132,93,682,129,726,93,671,97,710,19,132,TRUE,"ribonucleotide metabolic process"
"GO:0009260",189,37,851,41,891,7,138,99,1564,14,132,42,687,70,730,41,677,30,716,7,132,FALSE,"ribonucleotide biosynthetic process"
"GO:0009261",149,55,847,55,887,8,138,61,1559,4,132,40,686,43,728,31,673,40,712,4,132,FALSE,"ribonucleotide catabolic process"
"GO:0009266",207,49,841,51,881,10,138,59,1545,6,130,38,682,53,725,36,668,42,707,6,130,FALSE,"response to temperature stimulus"
"GO:0009267",207,60,838,62,878,7,138,71,1540,1,131,51,681,55,721,54,663,57,695,1,131,FALSE,"cellular response to starvation"
"GO:0009299",59,18,845,17,885,4,138,25,1553,2,131,15,687,14,724,13,670,19,711,2,131,FALSE,"mRNA transcription"
"GO:0009306",414,115,835,119,875,20,133,104,1545,14,128,80,680,101,718,88,664,91,697,14,128,FALSE,"protein secretion"
"GO:0009308",128,38,849,40,888,6,138,47,1563,10,132,30,691,36,731,31,676,35,716,6,132,FALSE,"amine metabolic process"
"GO:0009311",80,8,842,8,883,1,137,6,1559,2,129,9,683,7,720,14,668,13,705,1,129,FALSE,"oligosaccharide metabolic process"
"GO:0009314",486,145,825,154,864,13,136,190,1523,16,129,97,673,126,711,111,664,119,700,13,129,FALSE,"response to radiation"
"GO:0009395",64,20,850,21,890,2,138,18,1565,3,132,21,691,17,732,21,677,21,716,2,132,FALSE,"phospholipid catabolic process"
"GO:0009408",136,26,842,29,882,7,138,34,1548,4,130,22,683,27,725,15,669,17,708,4,130,FALSE,"response to heat"
"GO:0009410",493,134,828,138,868,25,138,140,1539,19,129,92,677,131,719,119,668,137,704,19,129,TRUE,"response to xenobiotic stimulus"
"GO:0009411",166,52,837,55,877,4,137,79,1540,5,132,35,681,42,717,37,672,35,707,4,132,FALSE,"response to UV"
"GO:0009416",352,100,833,106,873,10,137,138,1537,11,132,68,680,103,715,87,671,91,705,10,132,FALSE,"response to light stimulus"
"GO:0009451",187,9,820,9,859,1,124,8,1434,0,121,2,641,1,676,4,632,5,667,0,121,FALSE,"RNA modification"
"GO:0009566",251,49,848,50,888,5,138,57,1557,3,132,35,686,42,724,56,672,51,710,3,132,FALSE,"fertilization"
"GO:0009581",159,44,849,45,889,6,138,47,1563,3,132,26,690,49,732,40,678,53,716,3,132,FALSE,"detection of external stimulus"
"GO:0009582",161,44,849,45,889,6,138,49,1563,3,132,27,690,50,732,40,678,53,716,3,132,FALSE,"detection of abiotic stimulus"
"GO:0009583",73,13,851,12,891,3,138,23,1565,2,132,12,691,25,732,20,678,24,717,2,132,FALSE,"detection of light stimulus"
"GO:0009595",60,14,851,14,891,1,138,11,1565,2,132,11,691,10,732,13,678,16,717,1,132,FALSE,"detection of biotic stimulus"
"GO:0009612",245,82,838,85,878,13,137,83,1553,5,130,57,684,62,724,55,671,66,708,5,130,FALSE,"response to mechanical stimulus"
"GO:0009620",98,16,851,16,890,4,138,20,1565,4,132,13,691,22,731,17,677,15,716,4,132,FALSE,"response to fungus"
"GO:0009636",305,78,837,82,878,16,138,72,1554,24,131,67,688,100,727,80,673,70,709,16,131,TRUE,"response to toxic substance"
"GO:0009712",60,14,850,15,890,3,138,19,1565,3,132,12,691,18,732,13,678,15,717,3,132,FALSE,"catechol-containing compound metabolic process"
"GO:0009743",268,82,836,82,875,13,137,71,1540,14,129,57,681,71,721,63,670,64,708,13,129,FALSE,"response to carbohydrate"
"GO:0009746",236,72,838,72,877,10,137,62,1541,8,129,49,682,63,722,55,671,56,708,8,129,FALSE,"response to hexose"
"GO:0009749",224,67,838,67,877,10,137,60,1541,8,129,47,682,61,722,53,671,54,708,8,129,FALSE,"response to glucose"
"GO:0009755",251,76,835,81,874,8,138,86,1545,7,132,54,682,53,723,47,664,57,706,7,132,FALSE,"hormone-mediated signaling pathway"
"GO:0009791",93,35,845,37,885,5,138,34,1555,6,132,15,683,23,727,17,672,20,708,5,132,FALSE,"post-embryonic development"
"GO:0009798",103,30,847,30,885,7,138,31,1559,5,132,25,689,33,727,18,673,22,710,5,132,FALSE,"axis specification"
"GO:0009799",154,48,850,47,890,11,138,43,1561,3,132,41,688,47,731,37,674,54,713,3,132,FALSE,"specification of symmetry"
"GO:0009855",154,48,850,47,890,11,138,43,1561,3,132,41,688,47,731,37,674,54,713,3,132,FALSE,"determination of bilateral symmetry"
"GO:0009880",78,24,848,25,886,6,138,24,1561,3,132,18,690,22,728,13,673,15,710,3,132,FALSE,"embryonic pattern specification"
"GO:0009895",435,100,812,99,850,17,135,119,1498,12,125,81,661,86,699,77,655,79,694,12,125,FALSE,"negative regulation of catabolic process"
"GO:0009913",271,72,843,80,882,9,138,56,1557,7,131,52,687,73,727,45,674,57,713,7,131,FALSE,"epidermal cell differentiation"
"GO:0009914",378,115,842,118,882,30,136,100,1549,13,129,78,685,97,724,71,674,81,711,13,129,FALSE,"hormone transport"
"GO:0009948",62,15,848,16,886,6,138,16,1562,3,132,13,690,18,729,12,675,13,712,3,132,FALSE,"anterior/posterior axis specification"
"GO:0009952",233,73,842,76,880,22,138,59,1548,19,132,55,685,88,724,41,669,40,706,19,132,TRUE,"anterior/posterior pattern specification"
"GO:0009953",96,23,847,22,887,8,138,24,1560,8,132,22,688,35,730,19,674,22,713,8,132,FALSE,"dorsal/ventral pattern formation"
"GO:0009988",89,19,850,19,890,1,138,18,1564,2,132,10,690,13,731,10,677,7,717,1,132,FALSE,"cell-cell recognition"
"GO:0009994",79,21,843,22,881,3,138,17,1554,1,132,14,686,11,724,8,672,10,708,1,132,FALSE,"oocyte differentiation"
"GO:0010001",292,93,835,98,875,14,137,71,1541,6,130,62,673,73,719,49,668,54,705,6,130,FALSE,"glial cell differentiation"
"GO:0010038",371,114,842,122,882,21,137,106,1553,15,131,88,684,112,722,91,668,98,703,15,131,TRUE,"response to metal ion"
"GO:0010043",52,18,850,20,890,6,138,9,1563,5,132,12,690,16,731,16,677,15,715,5,132,FALSE,"response to zinc ion"
"GO:0010171",55,29,851,32,891,7,138,28,1564,3,132,20,691,21,731,19,678,18,717,3,132,FALSE,"body morphogenesis"
"GO:0010212",157,53,839,57,879,3,137,68,1545,6,129,35,680,34,722,27,669,31,708,3,129,FALSE,"response to ionizing radiation"
"GO:0010232",97,27,848,26,888,6,138,30,1563,5,132,27,688,33,731,22,677,25,716,5,132,FALSE,"vascular transport"
"GO:0010257",78,10,851,11,891,3,138,41,1564,8,132,19,690,33,731,26,677,15,716,3,132,FALSE,"NADH dehydrogenase complex assembly"
"GO:0010324",74,16,848,16,888,1,138,26,1561,1,132,15,690,18,731,20,676,27,715,1,132,FALSE,"membrane invagination"
"GO:0010332",56,18,845,20,886,3,138,20,1553,4,130,11,684,12,724,5,673,12,711,3,130,FALSE,"response to gamma radiation"
"GO:0010389",125,33,843,37,882,2,135,42,1550,2,131,35,683,19,724,21,671,26,712,2,131,FALSE,"regulation of G2/M transition of mitotic cell cycle"
"GO:0010453",55,16,851,17,891,2,138,20,1565,3,132,9,691,15,730,14,677,10,717,2,132,FALSE,"regulation of cell fate commitment"
"GO:0010466",216,62,848,66,888,13,138,53,1561,11,132,43,689,64,730,51,675,50,715,11,132,FALSE,"negative regulation of peptidase activity"
"GO:0010469",113,33,850,34,889,9,138,25,1560,6,132,21,689,26,728,21,674,19,714,6,132,FALSE,"regulation of signaling receptor activity"
"GO:0010506",421,121,832,128,869,16,138,150,1525,16,128,110,664,109,708,110,657,133,695,16,128,TRUE,"regulation of autophagy"
"GO:0010507",120,30,846,28,886,4,138,33,1554,4,131,29,682,29,723,26,674,31,713,4,131,FALSE,"negative regulation of autophagy"
"GO:0010508",179,54,843,59,883,6,138,73,1549,4,130,47,680,49,722,48,669,62,706,4,130,FALSE,"positive regulation of autophagy"
"GO:0010543",63,20,851,22,891,1,138,16,1565,1,132,19,691,15,732,15,678,15,717,1,132,FALSE,"regulation of platelet activation"
"GO:0010559",55,16,848,15,888,2,137,9,1563,1,132,9,685,14,729,9,677,14,716,1,132,FALSE,"regulation of glycoprotein biosynthetic process"
"GO:0010563",348,93,834,98,874,19,135,107,1534,16,129,79,673,94,719,80,670,84,708,16,129,TRUE,"negative regulation of phosphorus metabolic process"
"GO:0010565",158,44,844,47,883,12,137,53,1554,5,131,35,685,41,726,45,673,47,712,5,131,FALSE,"regulation of cellular ketone metabolic process"
"GO:0010569",83,25,842,27,883,0,137,49,1552,4,131,17,685,10,727,13,673,14,712,0,131,FALSE,"regulation of double-strand break repair via homologous recombination"
"GO:0010573",73,19,848,19,888,3,138,14,1563,2,132,13,690,5,731,8,676,8,714,2,132,FALSE,"vascular endothelial growth factor production"
"GO:0010574",63,18,848,18,888,3,138,13,1563,2,132,12,690,5,731,8,676,8,714,2,132,FALSE,"regulation of vascular endothelial growth factor production"
"GO:0010586",128,49,837,51,877,5,138,48,1549,4,132,23,684,23,722,14,673,17,710,4,132,FALSE,"miRNA metabolic process"
"GO:0010594",255,78,842,80,881,4,137,69,1553,6,131,49,683,50,724,48,675,51,711,4,131,FALSE,"regulation of endothelial cell migration"
"GO:0010595",139,54,845,56,885,3,137,39,1556,4,131,28,686,30,726,34,677,35,714,3,131,FALSE,"positive regulation of endothelial cell migration"
"GO:0010596",114,21,849,22,889,1,138,27,1563,2,132,17,689,20,731,15,676,17,715,1,132,FALSE,"negative regulation of endothelial cell migration"
"GO:0010611",71,21,850,21,890,3,137,21,1561,1,131,15,689,15,730,14,677,19,716,1,131,FALSE,"regulation of cardiac muscle hypertrophy"
"GO:0010631",101,41,847,42,887,5,137,38,1562,2,132,36,689,27,728,26,677,37,714,2,132,FALSE,"epithelial cell migration"
"GO:0010632",72,32,850,32,890,4,138,29,1563,2,132,22,690,20,730,18,678,26,716,2,132,FALSE,"regulation of epithelial cell migration"
"GO:0010634",50,21,850,21,890,2,138,21,1563,1,132,15,690,14,730,14,678,18,717,1,132,FALSE,"positive regulation of epithelial cell migration"
"GO:0010639",412,134,824,136,862,8,136,139,1529,9,129,112,668,79,718,82,665,103,701,8,129,FALSE,"negative regulation of organelle organization"
"GO:0010656",72,21,848,23,888,6,138,19,1564,4,131,13,689,13,729,14,676,14,715,4,131,FALSE,"negative regulation of muscle cell apoptotic process"
"GO:0010657",114,34,847,36,887,7,138,35,1561,5,131,21,689,23,727,21,674,24,712,5,131,FALSE,"muscle cell apoptotic process"
"GO:0010658",72,19,849,20,889,2,138,23,1564,2,131,13,690,12,729,13,677,15,716,2,131,FALSE,"striated muscle cell apoptotic process"
"GO:0010659",69,18,849,19,889,2,138,21,1564,2,131,12,690,10,729,11,677,13,716,2,131,FALSE,"cardiac muscle cell apoptotic process"
"GO:0010660",108,33,847,35,887,7,138,32,1561,5,131,21,689,22,727,20,674,22,712,5,131,FALSE,"regulation of muscle cell apoptotic process"
"GO:0010662",69,19,849,20,889,2,138,20,1564,2,131,13,690,12,729,12,677,14,716,2,131,FALSE,"regulation of striated muscle cell apoptotic process"
"GO:0010664",51,12,849,13,889,2,138,13,1565,2,131,9,690,9,730,10,677,10,716,2,131,FALSE,"negative regulation of striated muscle cell apoptotic process"
"GO:0010665",66,18,849,19,889,2,138,18,1564,2,131,12,690,10,729,10,677,12,716,2,131,FALSE,"regulation of cardiac muscle cell apoptotic process"
"GO:0010669",50,9,849,12,889,2,137,7,1563,1,132,4,689,10,730,8,676,5,716,1,132,FALSE,"epithelial structure maintenance"
"GO:0010717",139,45,844,42,884,6,137,39,1558,5,131,25,685,30,725,25,676,27,713,5,131,FALSE,"regulation of epithelial to mesenchymal transition"
"GO:0010718",68,25,848,24,888,4,137,21,1562,2,132,14,688,13,728,15,676,16,714,2,132,FALSE,"positive regulation of epithelial to mesenchymal transition"
"GO:0010719",58,17,848,15,888,2,138,15,1562,3,131,8,688,14,729,7,678,8,716,2,131,FALSE,"negative regulation of epithelial to mesenchymal transition"
"GO:0010721",321,116,840,119,879,17,138,83,1552,14,132,60,681,69,724,59,670,70,710,14,132,FALSE,"negative regulation of cell development"
"GO:0010761",58,25,847,26,886,1,138,20,1560,4,132,10,690,14,728,15,675,18,714,1,132,FALSE,"fibroblast migration"
"GO:0010803",80,30,847,32,887,1,138,28,1562,1,132,18,687,19,730,18,674,17,714,1,132,FALSE,"regulation of tumor necrosis factor-mediated signaling pathway"
"GO:0010810",244,76,841,78,880,9,138,66,1551,6,132,57,681,64,724,60,669,65,705,6,132,FALSE,"regulation of cell-substrate adhesion"
"GO:0010811",130,49,849,49,889,3,138,39,1560,3,132,33,689,43,730,38,675,38,715,3,132,FALSE,"positive regulation of cell-substrate adhesion"
"GO:0010812",74,20,846,22,885,5,138,20,1559,4,132,14,686,18,728,17,674,19,711,4,132,FALSE,"negative regulation of cell-substrate adhesion"
"GO:0010821",137,30,848,36,888,6,138,49,1558,4,132,36,688,43,727,34,674,40,714,4,132,FALSE,"regulation of mitochondrion organization"
"GO:0010824",50,14,846,14,886,2,138,25,1559,1,132,13,688,9,732,13,676,18,715,1,132,FALSE,"regulation of centrosome duplication"
"GO:0010827",87,28,847,28,887,4,138,38,1560,3,131,22,689,23,726,22,676,30,714,3,131,FALSE,"regulation of D-glucose transmembrane transport"
"GO:0010833",84,19,840,19,880,1,136,38,1544,4,132,14,684,7,724,11,673,13,711,1,132,FALSE,"telomere maintenance via telomere lengthening"
"GO:0010837",50,12,847,13,886,1,138,13,1560,3,131,11,688,9,730,14,676,15,717,1,131,FALSE,"regulation of keratinocyte proliferation"
"GO:0010874",58,16,849,17,889,1,138,14,1564,0,132,17,690,12,732,17,678,13,716,0,132,FALSE,"regulation of cholesterol efflux"
"GO:0010883",67,22,850,22,889,3,138,23,1562,3,132,17,689,15,730,20,678,17,715,3,132,FALSE,"regulation of lipid storage"
"GO:0010906",110,39,842,39,882,13,137,50,1554,7,130,25,689,38,727,28,673,36,711,7,130,FALSE,"regulation of glucose metabolic process"
"GO:0010907",53,19,846,19,886,8,137,22,1559,4,131,14,689,19,729,14,676,20,714,4,131,FALSE,"positive regulation of glucose metabolic process"
"GO:0010927",147,47,849,49,889,5,138,38,1563,5,131,37,688,53,732,37,676,43,715,5,131,FALSE,"cellular component assembly involved in morphogenesis"
"GO:0010934",50,20,850,20,890,2,137,13,1562,2,131,12,690,14,731,17,677,14,716,2,131,FALSE,"macrophage cytokine production"
"GO:0010935",50,20,850,20,890,2,137,13,1562,2,131,12,690,14,731,17,677,14,716,2,131,FALSE,"regulation of macrophage cytokine production"
"GO:0010948",373,116,815,123,854,8,133,113,1516,9,129,83,660,54,712,68,654,71,693,8,129,FALSE,"negative regulation of cell cycle process"
"GO:0010950",158,51,844,55,883,5,138,53,1554,4,132,30,682,34,723,37,670,33,706,4,132,FALSE,"positive regulation of endopeptidase activity"
"GO:0010951",131,41,848,44,888,5,138,35,1561,5,132,20,689,39,730,29,675,31,715,5,132,FALSE,"negative regulation of endopeptidase activity"
"GO:0010952",169,54,844,59,883,5,138,54,1553,5,132,33,681,35,722,41,670,35,706,5,132,FALSE,"positive regulation of peptidase activity"
"GO:0010959",449,134,840,143,879,27,137,104,1546,18,131,84,683,120,721,92,668,100,706,18,131,TRUE,"regulation of metal ion transport"
"GO:0010965",64,28,847,28,886,2,138,27,1557,1,132,28,685,6,731,9,674,9,713,1,132,FALSE,"regulation of mitotic sister chromatid separation"
"GO:0010970",188,43,845,43,884,7,137,65,1551,2,132,43,686,54,727,61,672,74,708,2,132,FALSE,"transport along microtubule"
"GO:0010972",88,18,845,20,884,1,135,26,1553,2,131,23,683,10,726,17,672,19,712,1,131,FALSE,"negative regulation of G2/M transition of mitotic cell cycle"
"GO:0010975",483,172,835,177,875,20,135,148,1540,18,129,121,676,106,722,99,666,112,700,18,129,TRUE,"regulation of neuron projection development"
"GO:0010976",177,60,844,62,884,6,135,50,1553,6,130,40,682,38,729,36,670,40,708,6,130,FALSE,"positive regulation of neuron projection development"
"GO:0010977",139,49,847,49,887,6,138,47,1559,4,132,37,687,27,730,35,676,32,713,4,132,FALSE,"negative regulation of neuron projection development"
"GO:0014002",61,15,846,16,886,1,138,7,1562,2,132,12,688,9,732,9,676,13,714,1,132,FALSE,"astrocyte development"
"GO:0014003",52,12,848,13,888,3,138,12,1559,2,131,10,685,14,728,5,677,4,717,2,131,FALSE,"oligodendrocyte development"
"GO:0014009",75,27,849,28,889,5,137,18,1559,3,131,18,688,19,727,17,676,15,713,3,131,FALSE,"glial cell proliferation"
"GO:0014013",129,48,849,48,889,8,138,29,1559,4,132,23,687,31,728,19,676,20,715,4,132,FALSE,"regulation of gliogenesis"
"GO:0014015",87,32,850,32,890,7,138,21,1560,3,132,16,687,21,730,14,677,13,716,3,132,FALSE,"positive regulation of gliogenesis"
"GO:0014020",98,29,846,31,886,2,138,35,1555,2,132,21,688,28,728,20,674,18,714,2,132,FALSE,"primary neural tube formation"
"GO:0014032",81,35,851,39,891,4,138,20,1560,1,132,15,689,25,732,15,677,15,716,1,132,FALSE,"neural crest cell development"
"GO:0014033",96,37,851,41,891,6,138,23,1558,2,132,18,688,32,731,17,676,19,716,2,132,FALSE,"neural crest cell differentiation"
"GO:0014037",52,20,848,22,888,1,138,17,1563,0,132,13,690,14,728,6,676,9,716,0,132,FALSE,"Schwann cell differentiation"
"GO:0014074",153,54,842,56,882,8,137,55,1557,5,132,38,687,47,725,37,673,40,713,5,132,FALSE,"response to purine-containing compound"
"GO:0014075",55,22,849,22,889,2,137,18,1562,2,131,13,690,13,731,11,677,15,715,2,131,FALSE,"response to amine"
"GO:0014706",446,158,832,166,872,21,136,137,1540,25,130,97,680,160,713,88,664,100,701,21,130,TRUE,"striated muscle tissue development"
"GO:0014743",74,21,850,21,890,4,137,21,1561,1,131,15,689,17,730,15,677,20,716,1,131,FALSE,"regulation of muscle hypertrophy"
"GO:0014812",127,31,846,33,886,4,138,25,1559,3,132,24,689,25,728,26,677,30,713,3,132,FALSE,"muscle cell migration"
"GO:0014823",91,30,846,32,886,9,137,30,1562,7,130,21,690,29,729,21,675,23,714,7,130,FALSE,"response to activity"
"GO:0014855",87,37,846,40,886,5,138,28,1560,3,132,19,689,23,731,14,676,21,715,3,132,FALSE,"striated muscle cell proliferation"
"GO:0014888",58,13,850,13,890,5,138,17,1563,2,132,10,691,24,731,10,678,9,715,2,132,FALSE,"striated muscle adaptation"
"GO:0014896",111,32,850,32,890,7,137,34,1561,3,131,22,689,30,730,24,677,27,716,3,131,FALSE,"muscle hypertrophy"
"GO:0014897",109,31,850,31,890,7,137,33,1561,3,131,22,689,29,730,23,677,26,716,3,131,FALSE,"striated muscle hypertrophy"
"GO:0014902",144,40,850,43,890,9,137,37,1561,9,132,21,686,42,725,27,676,28,713,9,132,FALSE,"myotube differentiation"
"GO:0014909",113,28,846,30,886,3,138,18,1560,2,132,20,690,19,728,18,678,23,713,2,132,FALSE,"smooth muscle cell migration"
"GO:0014910",100,26,846,28,886,3,138,16,1560,2,132,19,690,18,728,15,678,20,713,2,132,FALSE,"regulation of smooth muscle cell migration"
"GO:0014911",58,16,847,18,887,2,138,8,1560,1,132,8,690,8,728,10,678,12,714,1,132,FALSE,"positive regulation of smooth muscle cell migration"
"GO:0015695",138,39,849,39,888,6,137,42,1561,6,131,31,689,34,728,31,674,32,713,6,131,FALSE,"organic cation transport"
"GO:0015698",199,49,851,52,891,10,137,48,1564,3,132,46,691,54,731,45,677,55,715,3,132,FALSE,"inorganic anion transport"
"GO:0015718",195,55,847,57,887,10,137,53,1559,8,131,41,687,48,727,52,677,52,713,8,131,FALSE,"monocarboxylic acid transport"
"GO:0015748",194,55,845,54,884,7,138,69,1557,8,131,53,685,40,729,50,676,58,715,7,131,FALSE,"organophosphate ester transport"
"GO:0015749",140,40,846,40,886,8,138,46,1558,8,130,34,686,36,724,34,674,43,711,8,130,FALSE,"monosaccharide transmembrane transport"
"GO:0015800",93,22,847,22,887,0,138,18,1562,1,132,15,689,17,730,17,675,18,713,0,132,FALSE,"acidic amino acid transport"
"GO:0015804",60,16,850,16,890,4,137,20,1563,2,131,19,690,15,729,24,676,22,715,2,131,FALSE,"neutral amino acid transport"
"GO:0015807",117,25,847,25,886,4,137,31,1560,3,131,25,688,30,727,33,673,30,711,3,131,FALSE,"L-amino acid transport"
"GO:0015833",325,94,842,96,882,20,136,81,1549,10,129,67,686,82,725,61,674,60,711,10,129,FALSE,"peptide transport"
"GO:0015837",112,33,848,33,888,5,137,21,1562,4,131,18,688,19,729,23,675,20,714,4,131,FALSE,"amine transport"
"GO:0015844",91,29,850,29,890,2,138,20,1565,3,132,12,690,21,730,19,678,15,717,2,132,FALSE,"monoamine transport"
"GO:0015849",391,102,843,106,882,16,136,111,1554,12,130,91,684,95,722,103,672,99,707,12,130,FALSE,"organic acid transport"
"GO:0015850",332,96,843,98,882,12,137,90,1554,6,131,72,680,74,722,80,673,83,711,6,131,FALSE,"organic hydroxy compound transport"
"GO:0015872",54,18,850,18,890,0,138,13,1565,1,132,6,690,12,730,12,678,10,717,0,132,FALSE,"dopamine transport"
"GO:0015908",127,35,847,37,887,7,137,30,1560,6,131,28,688,31,728,38,677,37,714,6,131,FALSE,"fatty acid transport"
"GO:0015909",70,14,847,17,887,4,137,19,1561,2,131,16,689,21,728,22,677,21,714,2,131,FALSE,"long-chain fatty acid transport"
"GO:0015914",114,37,846,37,885,4,138,37,1559,3,132,34,688,32,730,36,677,37,715,3,132,FALSE,"phospholipid transport"
"GO:0015918",149,35,844,36,883,4,137,33,1556,0,131,40,684,33,726,42,674,40,713,0,131,FALSE,"sterol transport"
"GO:0015931",264,48,820,46,858,7,136,95,1500,10,126,44,665,29,711,40,664,44,705,7,126,FALSE,"nucleobase-containing compound transport"
"GO:0015980",389,97,838,99,877,23,136,176,1541,28,129,73,677,140,710,102,668,107,708,23,129,TRUE,"energy derivation by oxidation of organic compounds"
"GO:0015986",93,15,851,17,891,3,138,49,1565,11,132,11,690,36,732,20,678,11,717,3,132,FALSE,"proton motive force-driven ATP synthesis"
"GO:0016042",392,89,843,94,883,24,137,131,1555,17,130,109,686,123,722,118,672,123,712,17,130,TRUE,"lipid catabolic process"
"GO:0016050",420,118,824,119,864,18,136,114,1515,14,127,93,664,90,701,102,648,120,679,14,127,FALSE,"vesicle organization"
"GO:0016051",220,64,831,68,871,17,136,68,1548,8,127,37,683,56,717,46,664,58,700,8,127,FALSE,"carbohydrate biosynthetic process"
"GO:0016052",204,60,846,61,886,10,137,71,1555,4,131,47,684,62,724,51,670,52,709,4,131,FALSE,"carbohydrate catabolic process"
"GO:0016053",363,83,842,89,881,20,137,122,1553,13,130,88,685,100,727,115,671,120,713,13,130,FALSE,"organic acid biosynthetic process"
"GO:0016054",266,67,848,67,888,15,137,102,1560,14,130,71,691,102,726,93,676,96,715,14,130,FALSE,"organic acid catabolic process"
"GO:0016064",237,52,845,54,884,3,137,40,1560,6,131,38,688,40,727,34,676,37,714,3,131,FALSE,"immunoglobulin mediated immune response"
"GO:0016072",297,5,809,7,847,4,127,31,1375,2,122,9,620,13,665,15,620,3,671,2,122,FALSE,"rRNA metabolic process"
"GO:0016073",63,3,837,4,876,0,137,12,1529,1,130,3,680,2,720,2,667,6,700,0,130,FALSE,"snRNA metabolic process"
"GO:0016079",107,29,848,32,887,3,138,35,1561,1,132,17,687,24,730,29,674,32,713,1,132,FALSE,"synaptic vesicle exocytosis"
"GO:0016101",110,21,850,25,890,5,138,28,1564,1,132,22,690,32,731,28,677,25,716,1,132,FALSE,"diterpenoid metabolic process"
"GO:0016125",180,40,846,43,887,12,138,48,1557,9,132,51,685,48,729,51,675,46,716,9,132,FALSE,"sterol metabolic process"
"GO:0016126",78,17,850,18,890,0,138,21,1563,3,132,20,688,15,731,18,676,15,716,0,132,FALSE,"sterol biosynthetic process"
"GO:0016197",324,102,839,105,879,9,137,126,1541,13,130,76,669,77,715,86,666,105,703,9,130,FALSE,"endosomal transport"
"GO:0016202",53,12,848,12,888,2,137,13,1561,2,132,13,690,16,729,8,676,11,715,2,132,FALSE,"regulation of striated muscle tissue development"
"GO:0016236",411,126,833,131,871,16,137,161,1531,15,127,105,667,116,713,114,655,141,690,15,127,TRUE,"macroautophagy"
"GO:0016239",105,30,846,33,886,4,138,42,1555,2,130,25,685,27,726,21,671,32,710,2,130,FALSE,"positive regulation of macroautophagy"
"GO:0016241",216,59,843,65,881,10,138,78,1544,9,128,55,679,55,719,50,665,63,704,9,128,FALSE,"regulation of macroautophagy"
"GO:0016311",255,80,844,85,883,8,137,98,1555,7,131,63,684,66,727,57,674,72,711,7,131,FALSE,"dephosphorylation"
"GO:0016331",159,51,846,53,886,7,138,53,1553,5,132,35,687,43,728,30,673,30,714,5,132,FALSE,"morphogenesis of embryonic epithelium"
"GO:0016339",60,13,850,15,890,3,138,5,1564,3,132,5,691,9,730,6,678,8,716,3,132,FALSE,"calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules"
"GO:0016358",267,87,838,87,878,7,136,75,1547,8,132,55,676,52,720,40,669,55,705,7,132,FALSE,"dendrite development"
"GO:0016444",74,21,845,24,884,1,137,31,1559,2,131,21,685,8,728,11,675,17,713,1,131,FALSE,"somatic cell DNA recombination"
"GO:0016445",70,22,844,23,883,1,137,29,1560,2,131,20,687,8,728,12,676,15,714,1,131,FALSE,"somatic diversification of immunoglobulins"
"GO:0016447",65,20,845,21,884,1,137,27,1561,2,131,18,687,7,728,10,676,14,714,1,131,FALSE,"somatic recombination of immunoglobulin gene segments"
"GO:0016482",162,28,835,29,874,2,137,44,1539,4,130,33,669,18,713,29,662,36,697,2,130,FALSE,"cytosolic transport"
"GO:0016485",276,72,840,72,879,9,138,79,1550,11,131,67,681,70,724,71,666,75,704,9,131,FALSE,"protein processing"
"GO:0016525",179,45,845,43,885,6,138,35,1561,7,132,23,687,31,729,27,675,27,712,6,132,FALSE,"negative regulation of angiogenesis"
"GO:0016579",103,31,844,32,883,6,138,55,1553,3,132,30,688,24,729,28,675,30,713,3,132,FALSE,"protein deubiquitination"
"GO:0016601",62,20,849,19,889,5,138,23,1563,1,132,12,690,13,731,15,677,16,714,1,132,FALSE,"Rac protein signal transduction"
"GO:0016925",77,26,847,26,887,4,137,41,1560,2,132,22,688,18,728,23,674,23,711,2,132,FALSE,"protein sumoylation"
"GO:0017015",189,50,843,58,883,10,137,57,1553,8,132,38,686,45,725,40,672,43,710,8,132,FALSE,"regulation of transforming growth factor beta receptor signaling pathway"
"GO:0017148",237,22,795,24,832,2,129,18,1498,1,124,6,655,8,699,7,643,6,676,1,124,FALSE,"negative regulation of translation"
"GO:0017156",73,21,849,22,889,2,138,15,1563,2,132,15,689,13,730,21,677,18,715,2,132,FALSE,"calcium-ion regulated exocytosis"
"GO:0017157",199,53,845,54,884,7,137,59,1556,6,131,46,686,45,730,58,674,55,711,6,131,FALSE,"regulation of exocytosis"
