"set","ensembl","quelle"
"S_ERAD","ENSG00000128590","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_ERAD","ENSG00000066427","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_ERAD","ENSG00000116044","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_ERAD","ENSG00000185345","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_ERAD","ENSG00000100519","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_ERAD","ENSG00000204308","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_ERAD","ENSG00000223767","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_ERAD","ENSG00000227277","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_ERAD","ENSG00000228907","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_ERAD","ENSG00000228405","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_ERAD","ENSG00000225452","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_ERAD","ENSG00000183574","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_ERAD","ENSG00000071537","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_ERAD","ENSG00000104969","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_ERAD","ENSG00000166598","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_ERAD","ENSG00000184787","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_ERAD","ENSG00000070010","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_ERAD","ENSG00000169344","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_ERAD","ENSG00000165280","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_ERAD","ENSG00000109501","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_ERAD","ENSG00000100219","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_ERAD","ENSG00000121060","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_ERAD","ENSG00000239305","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_ERAD","ENSG00000204463","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_ERAD","ENSG00000228760","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_ERAD","ENSG00000229524","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_ERAD","ENSG00000233348","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_ERAD","ENSG00000096155","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
