"satz","ensembl"
"S_DISTAL","ENSG00000226936"
"S_DISTAL","ENSG00000206285"
"S_DISTAL","ENSG00000236802"
"S_DISTAL","ENSG00000169255"
"S_DISTAL","ENSG00000162630"
"S_DISTAL","ENSG00000172318"
"S_DISTAL","ENSG00000000419"
"S_DISTAL","ENSG00000136908"
"S_DISTAL","ENSG00000115525"
"S_DISTAL","ENSG00000133424"
"S_DISTAL","ENSG00000118276"
"S_DISTAL","ENSG00000158470"
"S_DISTAL","ENSG00000128242"
"S_DISTAL","ENSG00000129255"
"S_DISTAL","ENSG00000110917"
"S_DISTAL","ENSG00000131459"
"S_DISTAL","ENSG00000140835"
"S_DISTAL","ENSG00000214160"
"S_DISTAL","ENSG00000132329"
"S_DISTAL","ENSG00000183778"
"S_DISTAL","ENSG00000118600"
"S_DISTAL","ENSG00000179913"
"S_DISTAL","ENSG00000066777"
"S_DISTAL","ENSG00000130714"
"S_DISTAL","ENSG00000070731"
"S_DISTAL","ENSG00000170340"
"S_DISTAL","ENSG00000172461"
"S_DISTAL","ENSG00000198408"
"S_DISTAL","ENSG00000139629"
"S_DISTAL","ENSG00000136542"
"S_DISTAL","ENSG00000177239"
"S_DISTAL","ENSG00000161013"
"S_DISTAL","ENSG00000284501"
"S_DISTAL","ENSG00000027847"
"S_DISTAL","ENSG00000175283"
"S_DISTAL","ENSG00000182606"
"S_DISTAL","ENSG00000186866"
"S_DISTAL","ENSG00000173852"
"S_DISTAL","ENSG00000101346"
"S_DISTAL","ENSG00000182050"
"S_DISTAL","ENSG00000130035"
"S_DISTAL","ENSG00000148288"
"S_DISTAL","ENSG00000109956"
"S_DISTAL","ENSG00000136840"
"S_DISTAL","ENSG00000120742"
"S_DISTAL","ENSG00000120697"
"S_DISTAL","ENSG00000101638"
"S_DISTAL","ENSG00000173540"
"S_DISTAL","ENSG00000088035"
"S_DISTAL","ENSG00000009830"
"S_DISTAL","ENSG00000160408"
"S_DISTAL","ENSG00000182870"
"S_DISTAL","ENSG00000288490"
"S_DISTAL","ENSG00000080189"
"S_DISTAL","ENSG00000177511"
"S_DISTAL","ENSG00000118017"
"S_DISTAL","ENSG00000103174"
"S_DISTAL","ENSG00000176928"
"S_DISTAL","ENSG00000198833"
"S_DISTAL","ENSG00000128274"
"S_DISTAL","ENSG00000179085"
"S_DISTAL","ENSG00000168769"
"S_DISTAL","ENSG00000070269"
"S_DISTAL","ENSG00000181830"
"S_DISTAL","ENSG00000164574"
"S_DISTAL","ENSG00000085998"
"S_DISTAL","ENSG00000102595"
"S_DISTAL","ENSG00000070526"
"S_DISTAL","ENSG00000134851"
"S_DISTAL","ENSG00000033011"
"S_DISTAL","ENSG00000106392"
"S_DISTAL","ENSG00000163389"
"S_DISTAL","ENSG00000167130"
"S_DISTAL","ENSG00000100626"
"S_DISTAL","ENSG00000198856"
"S_DISTAL","ENSG00000178234"
"S_DISTAL","ENSG00000138821"
"S_DISTAL","ENSG00000185274"
"S_DISTAL","ENSG00000114745"
"S_DISTAL","ENSG00000159063"
"S_DISTAL","ENSG00000134901"
"S_DISTAL","ENSG00000182858"
"S_DISTAL","ENSG00000176383"
"S_DISTAL","ENSG00000158089"
"S_DISTAL","ENSG00000128039"
"S_DISTAL","ENSG00000119514"
"S_DISTAL","ENSG00000086848"
"S_DISTAL","ENSG00000101901"
"S_DISTAL","ENSG00000117682"
"S_DISTAL","ENSG00000109182"
"S_DISTAL","ENSG00000116406"
"S_DISTAL","ENSG00000138336"
"S_DISTAL","ENSG00000117069"
"S_DISTAL","ENSG00000133687"
"S_DISTAL","ENSG00000176597"
"S_DISTAL","ENSG00000102158"
"S_DISTAL","ENSG00000185900"
"S_DISTAL","ENSG00000144057"
"S_DISTAL","ENSG00000172728"
"S_DISTAL","ENSG00000237172"
"S_DISTAL","ENSG00000144647"
"S_DISTAL","ENSG00000125247"
"S_DISTAL","ENSG00000139133"
"S_DISTAL","ENSG00000119523"
"S_DISTAL","ENSG00000099958"
"S_DISTAL","ENSG00000274437"
"S_DISTAL","ENSG00000163933"
"S_DISTAL","ENSG00000156966"
"S_DISTAL","ENSG00000144278"
"S_DISTAL","ENSG00000153989"
"S_DISTAL","ENSG00000131386"
"S_DISTAL","ENSG00000165905"
"S_DISTAL","ENSG00000186198"
"S_DISTAL","ENSG00000167080"
"S_DISTAL","ENSG00000176022"
"S_DISTAL","ENSG00000112309"
"S_DISTAL","ENSG00000124091"
"S_DISTAL","ENSG00000125975"
"S_DISTAL","ENSG00000178202"
"S_DISTAL","ENSG00000175548"
"S_DISTAL","ENSG00000187676"
"S_DISTAL","ENSG00000167889"
"S_DISTAL","ENSG00000178904"
"S_DISTAL","ENSG00000162885"
"S_DISTAL","ENSG00000282880"
"S_DISTAL","ENSG00000173950"
"S_DISTAL","ENSG00000205301"
"S_DISTAL","ENSG00000179104"
"S_DISTAL","ENSG00000139324"
"S_DISTAL","ENSG00000196968"
"S_DISTAL","ENSG00000198488"
"S_DISTAL","ENSG00000172339"
"S_DISTAL","ENSG00000163463"
"S_DISTAL","ENSG00000187605"
"S_DISTAL","ENSG00000163527"
"S_DISTAL","ENSG00000183828"
"S_DISTAL","ENSG00000184005"
"S_DISTAL","ENSG00000178301"
