symbol,chondrogen,linienkonsistent,basis,linie_8A,linie_2454e,im_modul,ri
DFFA,-0.18166071026710845,True,0.05147437275108105,-0.21676166865695118,-0.14655975187726572,False,
PEX14,-0.1829913370680032,True,0.05134979937891215,-0.21998473172803598,-0.1459979424079704,False,
CASZ1,-0.03428662102556167,False,0.03414005525224175,-0.13000923413549334,0.06143599208437,False,
C1orf127,-0.06350033436992357,False,0.040902310652385795,-0.24445177402582777,0.11745110528598063,False,
TARDBP,-0.12614054740000488,True,0.06498107812654035,-0.1807942991922395,-0.07148679560777028,False,
MASP2,-0.0022257808149291573,False,0.038633380561751446,-0.035398627709170634,0.03094706607931232,False,
SRM,0.023316737329009546,False,0.04879265861429355,-0.138529994367765,0.1851634690257841,False,
EXOSC10,0.3396941237987694,True,0.05354627091911285,0.3277406313516694,0.35164761624586943,False,
MTOR,-0.0017821558595261938,False,0.0531769326414502,0.04816554242749853,-0.051729854146550916,False,
ANGPTL7,0.7839668285099071,True,0.04119627241087155,0.5891639020646198,0.9787697549551944,False,
UBIAD1,-0.14449554177707458,True,0.0539161738791306,-0.12162322708703299,-0.16736785646711616,False,
DISP3,-0.04022173173534743,False,0.03601278628060475,-0.10203677976576538,0.021593316295070518,False,
FBXO2,0.07340529071647249,True,0.03911900319633575,0.029412926190896856,0.11739765524204812,False,
FBXO44,0.09082990879185662,True,0.03833392743746325,0.03010532386398838,0.15155449371972488,False,
MAD2L2,0.011810119483024906,False,0.03749725547601025,-0.14148189303881759,0.1651021320048674,False,
FBXO6,0.017349605942328115,False,0.0398635128256704,0.07369094090475149,-0.03899172902009526,False,
DRAXIN,0.013133811493841283,False,0.03752762402451215,-0.14194458810448246,0.16821221109216503,False,
AGTRAP,0.1957399145576196,True,0.05750469402329115,0.004372287718398359,0.38710754139684084,False,
C1orf167,0.02517686975268927,False,0.0377750193437871,-0.06444800132648597,0.11480174083186451,False,
MTHFR,0.20549193735128934,True,0.06511266665526025,0.052921843193657586,0.3580620315089211,False,
CLCN6,0.2224086952900871,True,0.06517323610315509,0.060765774637752894,0.3840516159424213,False,
NPPA,-0.11844609416517064,True,0.0355196101427406,-0.18885561932137468,-0.048036569008966606,False,
NPPB,-0.026675426755956043,False,0.03174437226444715,-0.10425975584550375,0.05090890233359166,False,
KIAA2013,0.06887386214114838,False,0.0525109781079312,-0.039319194480488665,0.1770669187627854,False,
PLOD1,0.10622864925584093,False,0.05315115012450035,-0.14697817580910136,0.3594354743207832,False,
MFN2,-0.1589110198454015,True,0.06413522931936516,-0.08787638804352771,-0.22994565164727532,False,
MIIP,-0.08191004541856044,False,0.05543868277108985,-0.16865540002507542,0.004835309187954541,False,
TNFRSF8,-0.07046896534600894,False,0.043837256157553,-0.23780738327795856,0.0968694525859407,False,
TNFRSF1B,-0.2980022184640931,True,0.0556164833989827,-0.2184340160058231,-0.37757042092236304,False,
VPS13D,0.06970657837140319,False,0.0645715622969633,-0.02725614232000503,0.16666929906281142,False,
DHRS3,-0.6120629995848786,True,0.11371992193404931,-0.4707481127275836,-0.7533778864421737,False,
AADACL4,0.05476857026594758,False,0.0377117003734323,-0.057082920124685285,0.16662006065658044,False,
AADACL3,0.033153013547584514,False,0.03668558282507735,-0.0634456163632868,0.12975164345845583,False,
CFAP107,0.05373567622250162,True,0.03740891986629995,0.0387997666707411,0.06867158577426213,False,
PRAMEF12,0.04957448487683059,False,0.0384395018889834,-0.06952457577798137,0.16867354553164254,False,
PRAMEF1,0.01361007459973762,False,0.03520983335005065,-0.06291490213222858,0.09013505133170382,False,
PRAMEF11,-0.03331593861131485,False,0.0339755016000788,-0.11363138282353287,0.04699950560090317,False,
HNRNPCL1,0.036474178100650546,True,0.03465398093163105,0.005961035181362993,0.0669873210199381,False,
PRAMEF2,0.018373695413656705,False,0.03429452893420095,-0.04596059936415723,0.08270799019147064,False,
