"symbol","AD-3d","AD-5d","AD-7d","MSC-0d","OB-3d","OB-5d","OB-7d"
"TMEM233",0.0981535561561446,0.0852481180423853,0.0955387815257216,0.0853797135694841,0.0733220792331876,0.0730126195026387,0.0924515176368386
"PRKAB1",0.181383527920816,0.383270069984025,0.212296571384779,0.196989837849046,0.35117362599584,0.302931382001352,0.222942093558097
"CIT",0.111423510477954,0.0965326693996779,0.119589178760082,0.127251884199791,0.125393872226097,0.104228412187654,0.0932855426938908
"BICDL1",0.125810677728486,0.109231258027343,0.0875298624977241,0.115695528247607,0.0968443453673755,0.0876716950695366,0.0905924127902693
"RAB35",0.211915927184508,0.196596940793206,0.188489807848543,0.297373670948571,0.223977100258645,0.263693644678594,0.234291140555075
"GCN1",0.157210159434817,0.101269624869877,0.137587077319105,0.144071125802574,0.194150201868812,0.151655612752302,0.168972199862803
"RPLP0",0.980625779144155,1.70627893929514,1.43866335032068,1.40100325537085,1.99518867961857,1.35692084826221,1.8636420650203
"PXN",0.283367088175487,0.403090826112392,0.36503802927743,0.34577403941057,0.464636789011312,0.380490942826271,0.334631708645449
"SIRT4",0.205554127600364,0.250236479163236,0.148459640997804,0.206355795625754,0.108587052909087,0.143343002576323,0.13910138484112
"PLA2G1B",0.230609243850754,0.273206636745241,0.176449086721245,0.193179051273443,0.24446520709804,0.231188237964587,0.278404498289779
"MSI1",0.134811139790765,0.117097854679965,0.102030300638043,0.121732859152886,0.113782686956332,0.137053734498343,0.117909081182297
"COX6A1",0.343461215180234,0.57803052551415,0.451774229554099,0.452370834045347,0.505366237053815,0.521683473055528,0.54570409182011
"ENSG00000111780",0.222702811048312,0.214985418886164,0.197682001050169,0.246566708616365,0.230745497754568,0.167050293032459,0.249421549434858
"TRIAP1",0.379604539575282,0.4711140635783,0.454664025736705,0.347679151865417,0.554136325844814,0.321756801068921,0.395491984680956
"GATC",0.165017327933127,0.0945758314743176,0.12415676911162,0.124180451637646,0.155049706792907,0.111543350701524,0.193467003547586
"SRSF9",0.242725580564718,0.281052073556768,0.221025540660478,0.274724960938228,0.292924041615889,0.277023222790123,0.276602362800976
"DYNLL1",0.273894117158577,0.311607585918407,0.21998943308974,0.281211709892114,0.252026824752161,0.236699752779854,0.255767255639646
"COQ5",0.195706599809052,0.254093543487656,0.19907087681152,0.216922679025789,0.203826950985708,0.186550079396119,0.235671652840886
"RNF10",0.163307841624318,0.175701680223944,0.230278840589997,0.186572347526193,0.235853559828786,0.237417967117047,0.2653256602829
"ENSG00000288623",1.39000368760458,2.16089427067804,1.67026297617792,1.74967102392019,2.43009633835879,1.99097191892947,1.87969195054933
"POP5",0.499782834075004,0.934076419278192,0.487562900184999,0.731337388167348,1.09535862848685,0.804071734677752,0.625340427166957
"CABP1",0.196137773917415,0.20805743695684,0.15263571978816,0.206353116929302,0.179252892504171,0.173829062103195,0.17162554883816
"MLEC",0.310415577499216,0.405723729541897,0.441086186155605,0.456717456532193,0.40324048909209,0.294408545352028,0.261080357259985
"UNC119B",0.324699978608831,0.61429220883347,0.335357577439538,0.282959331554653,0.337565965069116,0.421687019555188,0.553481858355144
"ACADS",0.200346915358569,0.297911539125809,0.133470824426935,0.106389924256677,0.199385605960193,0.129566577802812,0.203276993418382
"SPPL3",0.0784144528572815,0.0622056013912181,0.0956946919799191,0.0702655406411923,0.0639152128271207,0.0765886804689684,0.0831514315549392
"HNF1A",0.106663128820338,0.0759820209426736,0.100816228821736,0.0803271880950678,0.0753594291197869,0.109503086241315,0.0878859331385826
"C12orf43",0.156915576947421,0.111170842263007,0.151347076951487,0.101783083882471,0.127693541945868,0.175171832770684,0.153951443510901
"OASL",0.136613001755672,0.176712576078157,0.134105083576291,0.170642731672775,0.204626498586199,0.148855942849341,0.131556822869222
"P2RX7",0.102270634904984,0.0757042555459517,0.135862937241547,0.0846157087460083,0.0981130585024622,0.105081713786479,0.0920281868689005
"P2RX4",0.145882005847282,0.173884316286375,0.156517077059543,0.17390179158811,0.239145686722708,0.207143897938546,0.185356617909408
"CAMKK2",0.15281781265148,0.111444603231116,0.124405409743193,0.127124624933897,0.135243713292251,0.123766258170028,0.166454744769023
"ANAPC5",0.166053605021249,0.12513169812547,0.120300779830309,0.209791943672007,0.195893166549352,0.141660467604038,0.156208128631815
"RNF34",0.138314517786675,0.248184065590338,0.190188023778224,0.172020809848647,0.0936280636368526,0.194396495655773,0.151166077782082
"KDM2B",0.151391809868734,0.147517324388959,0.134678843150058,0.160235540502869,0.170273981806454,0.170303650562337,0.156920349334289
"ORAI1",0.320275392139961,0.177882260893741,0.178643813746408,0.22072464260378,0.250424866692065,0.297217791245835,0.213623230001175
"MORN3",0.125838706118858,0.0633482864294174,0.10052380000908,0.0941861525983274,0.0714398350115043,0.103509018722826,0.104602885238233
