"symbol","MSC_8A","CHON_8A","MSC_2454e","CHON_2454e"
"PRAMEF19",0.0385221880440225,0.0327697427611726,0.029824275691336,0.0306109997335136
"PRAMEF17",0.0389285382668519,0.033071791982624,0.0293221123886464,0.0307610388495371
"PRAMEF20",0.0394468236828682,0.0338163950489134,0.0289425732109817,0.0308934433386165
"LRRC38",0.0408709132845044,0.0378830783163728,0.0275500620843136,0.0307291215761608
"PDPN",0.0429199580083829,0.042952324975945,0.0299235807750211,0.0338752958533616
"PRDM2",0.0444766435536526,0.0504523035797389,0.0453853896812619,0.044982270976409
"KAZN",0.0410662008201289,0.0415167975125328,0.0297945134556735,0.0349218482201659
"TMEM51",0.0454392587106873,0.0418770888612024,0.0377774441497406,0.0392984094331824
"FHAD1",0.0421442356835346,0.0399900511681251,0.0354236638679009,0.0356713301349675
"EFHD2",0.0607239684590112,0.0418170441315478,0.0686293692808971,0.0512137396231627
"CTRC",0.0583326808227378,0.0413602653489976,0.0674124839032618,0.0516303467530963
"CELA2A",0.0577344670347989,0.041132460125859,0.0574326672283837,0.0513844279601295
"CELA2B",0.0527354544642168,0.0405183547384805,0.0573806502949238,0.0491597156220105
"CASP9",0.048213956581518,0.0475850599173851,0.0556491473303058,0.0496055991955386
"DNAJC16",0.0482208707480456,0.0476004400864497,0.0556442549198309,0.0496260254628062
"AGMAT",0.0484687331527663,0.050238301217849,0.050382372827486,0.0558431319936917
"DDI2",0.0482259214566969,0.0502588031986402,0.0490092402663788,0.0561588076760783
"RSC1A1",0.0736150653986663,0.0624961775646889,0.0865447900885935,0.0809823681538278
"PLEKHM2",0.0736367948147117,0.0580331074526296,0.0875354513453604,0.0732944266526217
"SLC25A34",0.0642826954282638,0.0482186463800385,0.0767388266665961,0.0660032423239189
"TMEM82",0.0621176003425566,0.0442245810002806,0.0715505097074514,0.0626166360451579
"FBLIM1",0.0596892065840899,0.0408702065253636,0.071518082338906,0.058235799649642
"UQCRHL",0.0625152240071572,0.0443666759661139,0.0822343596832221,0.0640980598224914
"SPEN",0.0605760614049767,0.0518201958732916,0.0806080108209817,0.0673148257974502
"ZBTB17",0.0739119567847141,0.0552724856368147,0.0931582808463176,0.0806873143966228
"SRARP",0.0739286982610756,0.0517287941641303,0.0764494995687258,0.0731364358534711
"HSPB7",0.0667693171043006,0.0436533366872215,0.0711604134121348,0.0589802005342527
"CLCNKA",0.0671090128888967,0.0440809184229283,0.071309207715686,0.0591723213708597
"CLCNKB",0.0663562149652924,0.0398464150254938,0.0683335646601995,0.0591094379593712
"FAM131C",0.0598959954986785,0.0373302081575781,0.060820997073057,0.0511439446545534
"EPHA2",0.0810656543007282,0.0441830887217898,0.0905120547368485,0.0686332101029835
