ebene,datensatz,fenster,achse,null,geeicht,schwelle_erreicht,k,wilson_lo,wilson_hi,urteil,n,konkordanz,konkordanz_null,konkordanz_null_sd,konkordanz_z,konkordanz_p,konkordanz_mde80,rang,rang_null,rang_null_sd,rang_z,rang_p
ATAC,GSE332758,T10,differenz,Hintergrund,False,False,88,0.4347987143549146,0.5821656198288974,Ebene fuer diese Achse nicht geeicht,173,0.5086705202312138,0.45353901734104046,0.03738135854917394,1.4748394662449122,0.16339183040847957,0.5582068212787274,0.0578690519657899,-6.99187716929499e-05,0.021925621413867672,2.6425235410129444,0.006599670016499175
ATAC,GSE332758,T10,differenz,H1 basisgeschichtet,False,False,88,0.4347987143549146,0.5821656198288974,Ebene fuer diese Achse nicht geeicht,173,0.5086705202312138,0.4668251445086704,0.036317916426315,1.1521964870270855,0.28948552572371383,0.5685153105023524,0.0578690519657899,0.012050578237369191,0.02002360621562267,2.288222872295229,0.021498925053747314
ATAC,GSE332758,T50,osteogen,Hintergrund,False,True,116,0.5974407690728198,0.7361911365421485,Ebene fuer diese Achse nicht geeicht,173,0.6705202312138728,0.5271598265895954,0.03785413712689621,3.7871793020588145,0.00039998000099995,0.6331514105449048,0.12926171991035318,-9.599249225299443e-05,0.021965938228836933,5.889013756434273,9.99950002499875e-05
ATAC,GSE332758,T50,osteogen,H1 basisgeschichtet,False,True,116,0.5974407690728198,0.7361911365421485,Ebene fuer diese Achse nicht geeicht,173,0.6705202312138728,0.5200407514450867,0.03781274917790037,3.9795963805967802,0.0002999850007499625,0.6259164491432077,0.12926171991035318,-0.003967751673653709,0.02212272219661275,6.02229103633575,9.99950002499875e-05
ATAC,GSE332758,T50,adipogen,Hintergrund,True,True,121,0.6273720772846249,0.7628076089430501,SCHWELLE ERREICHT,173,0.6994219653179191,0.5406144508670521,0.037331864987289666,4.253940018933853,9.99950002499875e-05,0.6451436728314631,0.10738190273023737,-0.0004690029912890335,0.022020161889106955,4.897825286873965,9.99950002499875e-05
ATAC,GSE332758,T50,adipogen,H1 basisgeschichtet,True,True,121,0.6273720772846249,0.7628076089430501,SCHWELLE ERREICHT,173,0.6994219653179191,0.5397098265895954,0.037147358683539515,4.299421126786445,9.99950002499875e-05,0.6437224309035061,0.10738190273023737,-0.0032621912145546403,0.02104208999364056,5.2582273898757865,9.99950002499875e-05
ATAC,GSE332758,T50,differenz,Hintergrund,False,False,96,0.4804621796042874,0.6269786035598548,Ebene fuer diese Achse nicht geeicht,173,0.5549132947976878,0.49207716763005777,0.03804328327325586,1.6517009511585286,0.11529423528823558,0.5985983607951741,0.0379382928909361,0.00010327646398088166,0.02194349351205149,1.7242020467787418,0.08429578521073947
ATAC,GSE332758,T50,differenz,H1 basisgeschichtet,False,False,96,0.4804621796042874,0.6269786035598548,Ebene fuer diese Achse nicht geeicht,173,0.5549132947976878,0.4891445086705203,0.03610328299170056,1.8216843643356888,0.08139593020348983,0.5902337010472819,0.0379382928909361,-0.0004883031975071244,0.019983712243324993,1.9228957873569545,0.05329733513324334
ATAC,GSE332758,GB,osteogen,Hintergrund,False,True,118,0.609377502593181,0.7468735152668701,Ebene fuer diese Achse nicht geeicht,173,0.6820809248554913,0.5198404624277456,0.03762297530083933,4.312270923031606,9.99950002499875e-05,0.6251847932700958,0.12179209674766332,0.00021921911459235518,0.0218256705272645,5.570178358607715,9.99950002499875e-05
ATAC,GSE332758,GB,osteogen,H1 basisgeschichtet,False,True,118,0.609377502593181,0.7468735152668701,Ebene fuer diese Achse nicht geeicht,173,0.6820809248554913,0.5117268786127168,0.037775532296095614,4.509639861789105,9.99950002499875e-05,0.6174983690417846,0.12179209674766332,-0.003974142009336475,0.022263306448022453,5.649036860298486,9.99950002499875e-05
ATAC,GSE332758,GB,adipogen,Hintergrund,True,True,120,0.6213617213369079,0.7575084087682257,SCHWELLE ERREICHT,173,0.6936416184971098,0.5342855491329479,0.03764715299012447,4.232885004769521,9.99950002499875e-05,0.6396975775052964,0.09481061459638015,3.130695114800477e-05,0.022087139013166956,4.291153670411126,0.000199990000499975
ATAC,GSE332758,GB,adipogen,H1 basisgeschichtet,True,True,120,0.6213617213369079,0.7575084087682257,SCHWELLE ERREICHT,173,0.6936416184971098,0.5175835260115608,0.03696362752973602,4.763009051098032,9.99950002499875e-05,0.6210816830948216,0.09481061459638015,-0.010089630989751195,0.021328766532702877,4.918251856022258,9.99950002499875e-05
ATAC,GSE332758,GB,differenz,Hintergrund,False,False,95,0.4747202199055158,0.6214110071360852,Ebene fuer diese Achse nicht geeicht,173,0.5491329479768786,0.4871462427745664,0.0377910903573902,1.6402465400205222,0.11559422028898556,0.592961295775259,0.03548612725491571,0.000128410097669735,0.021812996279007717,1.620947287799859,0.10139493025348732
ATAC,GSE332758,GB,differenz,H1 basisgeschichtet,False,False,95,0.4747202199055158,0.6214110071360852,Ebene fuer diese Achse nicht geeicht,173,0.5491329479768786,0.5013468208092485,0.037182675655106696,1.285171826010512,0.22768861556922154,0.6054583126435473,0.03548612725491571,0.008822255579080656,0.0208719730527755,1.2774964594106433,0.1984900754962252
