"symbol","MSC_8A","CHON_8A","MSC_2454e","CHON_2454e"
"PLEKHO2",0.0625494284323661,0.060770059686086,0.109893856133321,0.115328193663572
"ENSG00000249240",0.0625494284323661,0.060770059686086,0.109893856133321,0.115328193663572
"ANKDD1A",0.0524970591785368,0.0380287466684298,0.028560689684315,0.033165538206415
"SPG21",0.0684172704944729,0.0623523474918494,0.143322817426511,0.0987189219776489
"MTFMT",0.0456654495249444,0.0480648322949029,0.0545905975686425,0.0856925573273151
"SLC51B",0.0462033027377068,0.0618375710385464,0.0304981382573466,0.0508943880613287
"RASL12",0.03859249210873,0.0358619417671073,0.0221404884461228,0.0332381826277056
"KBTBD13",0.0432015255558981,0.0405639965231845,0.0252708098976731,0.0368859034027177
"UBAP1L",0.0489064640281776,0.0561313696723025,0.029436603930848,0.0303316192934946
"PDCD7",0.0600899609366257,0.0383213047862098,0.135445337515962,0.090113283763206
"CLPX",0.0606270684323868,0.0528964162089672,0.107802516365587,0.160872020128429
"CILP",0.0382143603252432,0.0455044832836028,0.0339614793942155,0.0378383742835036
"PARP16",0.0424054347096095,0.0487823684930895,0.02581686204443,0.0422296281500453
"IGDCC3",0.0415483446518502,0.0354934973478482,0.021045568137656,0.0320418868971582
"IGDCC4",0.0440973948424783,0.0413853222353365,0.0260506366332472,0.0391507247774699
"DPP8",0.0484449096565727,0.0559834298064026,0.0792081003008544,0.0890553529842712
"HACD3",0.0553550384066466,0.0511017248006777,0.0636110749916266,0.0618898968054966
"INTS14",0.0890472272915244,0.0970995765218495,0.187813622807067,0.176347820556943
"SLC24A1",0.0859671435716327,0.0797736168198907,0.184247168763837,0.160623704165128
"DENND4A",0.0986660700912368,0.0605257412091795,0.273395683419992,0.0840775734519265
"RAB11A",0.0402431882542499,0.0430739433653979,0.0272456701238016,0.0428915367753373
"MEGF11",0.0350993719147275,0.0236623315652321,0.0214650407476077,0.0206291660347741
"DIS3L",0.059483903832339,0.0582060436374445,0.0535442164806471,0.0606640184922847
"TIPIN",0.0796703179625594,0.0693967339645856,0.128112976491051,0.113965267657827
"MAP2K1",0.0658356111769736,0.0621713224808434,0.104920658073659,0.0868461676418382
"SNAPC5",0.0620493799841045,0.0414194382890103,0.06088315846123,0.0664601605972157
"RPL4",0.0475653282399256,0.0419778857202518,0.038114499175067,0.0491201494320261
"ZWILCH",0.108677671645344,0.10496164208595,0.25478931684163,0.289337350628274
"LCTL",0.0670879229629055,0.0582615766696225,0.0443519491461687,0.0920212746342007
"SMAD6",0.0535568938964076,0.0442121471217346,0.091515102427208,0.0622309273195804
"SMAD3",0.059673852937963,0.0559547357784379,0.044825087308478,0.0504360183665137
"AAGAB",0.0575001254363799,0.0624189127024194,0.108909545370196,0.0679996379739377
"IQCH",0.0881745604132828,0.0642478549655606,0.25520927213048,0.109499160337927
"C15orf61",0.0691825727411321,0.0417079866767069,0.0831684420924783,0.0979635262483807
"MAP2K5",0.0573657142957704,0.0502930073398828,0.127075986884884,0.0830427599993211
"SKOR1",0.0422658425930942,0.0406220274568068,0.0270950778188399,0.0234729125069919
"PIAS1",0.0586344978744244,0.0587917458691759,0.0789747004131241,0.103550156746259
"ENSG00000260007",0.0700992461350705,0.0382781667989073,0.0740286827767626,0.066446146683529
"CALML4",0.0374903544664888,0.0527204460540657,0.0375618424695186,0.0563740143939224
"CLN6",0.0505526101655885,0.0486515219201586,0.0904508832913097,0.10493420450356
"FEM1B",0.126978144617668,0.123553113555595,0.227611703654883,0.476297545189274
"ITGA11",0.0499302799849608,0.050705001067448,0.0818978815055655,0.0895643041121725
"CORO2B",0.046848749913439,0.0320532292833995,0.0512913156621917,0.033408802501908
"ANP32A",0.0563825912196152,0.0531386644922213,0.0536780268858157,0.0609624475023904
"SPESP1",0.0995718671578862,0.0605002663329265,0.15754032916355,0.293882432794035
"NOX5",0.0372775932695358,0.0534817046727466,0.0216131178022736,0.0362445653220487
