symbol,osteogen,adipogen,differenz,basis,im_modul,ri,markerklasse
FHAD1,-0.33903432016743745,-0.22228695201638407,-0.11674736815105338,0.111427682151833,False,,
EFHD2,-0.3543061785909187,-0.37634012342881923,0.022033944837900554,0.185962889765979,False,,
CTRC,-0.1705858514900175,-0.19991426982551488,0.029328418335497375,0.153891751148637,False,,
CELA2A,-0.31464411456578945,-0.23405831039730343,-0.08058580416848601,0.155500967240674,False,,
CELA2B,-0.43629678927251964,-0.29162083487037593,-0.1446759544021437,0.163637196095241,False,,
CASP9,0.10129530426470683,0.13433190195874098,-0.03303659769403415,0.155542095949336,False,,
DNAJC16,0.10024886102073009,0.13396776807980187,-0.03371890705907178,0.155810816915996,False,,
AGMAT,0.40661345858922443,0.3252106241715345,0.08140283441768992,0.141525095970969,False,,
DDI2,-0.008532707170026535,-0.06302368528402004,0.054490978113993505,0.191042767895181,False,,
RSC1A1,0.023849981249957353,-0.2238068764171165,0.24765685766707385,0.198456657884689,False,,
PLEKHM2,-0.20569322003370258,-0.281213376096449,0.0755201560627464,0.175191946900248,False,,
SLC25A34,0.04261895239627033,0.19975981159288522,-0.15714085919661488,0.166462612903881,False,,
TMEM82,0.05986932983912124,0.1604757957360264,-0.10060646589690517,0.176449131841744,False,,
FBLIM1,0.3266606528151213,0.19977679775735976,0.12688385505776154,0.204659729841133,False,,
UQCRHL,0.303666647096554,0.17349010775291848,0.13017653934363552,0.328066159565188,False,,
SPEN,0.3049299202940175,0.15974722251029436,0.14518269778372314,0.308162025656886,False,,
ZBTB17,0.17997791549168443,-0.0017837945379785836,0.18176171002966302,0.191284725246288,False,,
SRARP,0.042895380976275564,0.06740741063281346,-0.02451202965653789,0.172546914558347,False,,
HSPB7,0.014405666604290776,0.030465683204063388,-0.01606001659977261,0.158740961124445,False,,
CLCNKA,0.0073088911874463385,0.028796338235360503,-0.021487447047914165,0.159386601542154,False,,
CLCNKB,-0.003477318750468648,-0.0628027427170664,0.059325423966597755,0.163258990308416,False,,
FAM131C,-0.08287992922642469,-0.09083578480945954,0.007955855583034854,0.174719450519895,False,,
EPHA2,0.14107072397871603,0.028966134192212337,0.1121045897865037,0.293995807463191,False,,
ARHGEF19,0.22656776589737015,0.18654967957044363,0.04001808632692652,0.270209395203448,False,,
CPLANE2,0.31298019380694425,0.2785136523350067,0.03446654147193756,0.202738608908065,False,,
FBXO42,0.29062342988675577,0.19357892962166554,0.09704450026509023,0.216787006170364,False,,
SZRD1,0.29033282456687315,0.19342863306988192,0.09690419149699123,0.216873849150915,False,,
SPATA21,0.027893662731903412,0.11133884822394342,-0.08344518549204001,0.117930649260822,False,,
NECAP2,0.0030743046949684946,0.08259266031178165,-0.07951835561681316,0.11403077959433,False,,
NBPF1,0.050456245713760776,-0.05782748087488609,0.10828372658864686,0.172483767778725,False,,
CROCC,0.04314668012877834,-0.024331007196393552,0.0674776873251719,0.086317092546706,False,,
MFAP2,-0.10033135134184966,-0.11500064320640059,0.014669291864550932,0.175405272758926,False,,
ATP13A2,0.1911363114251263,0.06256174244392652,0.1285745689811998,0.159674160399477,False,,
ENSG00000288636,0.1904664357983091,0.06328096571390539,0.12718547008440373,0.159592734913652,False,,
SDHB,0.08850050857266177,0.08618928759262823,0.002311220980033543,0.143856382799034,False,,
PADI2,-0.3668483561268949,-0.31734860832807327,-0.04949974779882166,0.152855216328557,False,,
PADI1,-0.14740949475823206,-0.19457523131846122,0.047165736560229155,0.140754605846105,False,,
PADI3,-0.2990180934100741,-0.23460480733985242,-0.0644132860702217,0.144724364869685,False,,
PADI4,-0.1871898576998067,-0.006224258422766457,-0.18096559927704026,0.0910740944029067,False,,
PADI6,-0.2640389391230907,-0.08500895262317017,-0.17902998649992052,0.10721757658777,False,,
RCC2,-0.019824432667266106,0.02168207803439397,-0.041506510701660074,0.13351476954983,False,,
ARHGEF10L,0.15098085199846611,0.09543546184696834,0.05554539015149777,0.206149594778756,False,,
ACTL8,-0.4313821244508215,-0.38204613552847166,-0.04933598892234986,0.157771510318777,False,,
IGSF21,-0.11383123314658257,0.06842600310822834,-0.1822572362548109,0.090780559747615,False,,
KLHDC7A,-0.013205056825728048,0.2104605515767395,-0.22366560840246758,0.0508397113489239,False,,
PAX7,-0.07046580597369323,0.09196623014465775,-0.162432036118351,0.0841790423716035,False,,
TAS1R2,0.3669643576950132,0.2144556523895985,0.1525087053054147,0.166062173595791,False,,
ALDH4A1,0.21886583692381723,0.04863032001729761,0.1702355169065196,0.295211624235894,False,,
IFFO2,-0.005785939344834438,0.010528578366209032,-0.01631451771104347,0.277326245466929,False,,
UBR4,0.22847691707631346,0.05984081989627577,0.1686360971800377,0.172392399081592,False,,
EMC1,-0.09259588488831981,-0.29329732138843306,0.20070143650011324,0.236181988698858,False,,
MRTO4,-0.10152675692008427,-0.29890740655938863,0.19738064963930435,0.236808322464814,False,,
AKR7L,-0.17844656754667507,-0.3268735541433659,0.14842698659669082,0.275164864390255,False,,
AKR7A3,-0.15431465031341743,-0.3246569523994534,0.17034230208603598,0.281073628462845,False,,
AKR7A2,-0.37102316524468165,-0.386136093199496,0.015112927954814337,0.281113654346808,False,,
SLC66A1,-0.3723228082772376,-0.38568049616558486,0.013357687888347236,0.281122326213387,False,,
CAPZB,0.07944401609380203,-0.0202230282705243,0.09966704436432633,0.276604517265649,False,,
MICOS10,0.08693724066109086,-0.021174966476370738,0.1081122071374616,0.278979627255745,False,,
NBL1,0.04400995647180276,0.030809345162764717,0.013200611309038043,0.173441209059147,False,,
MICOS10-NBL1,0.04516378659332315,0.03127774973983045,0.013886036853492705,0.17356392412997,False,,
HTR6,-0.10714628531411315,-0.07745257176659313,-0.029693713547520012,0.214429602195398,False,,
TMCO4,-0.08290269560884046,-0.12312489429285665,0.04022219868401619,0.123929519539357,False,,
RNF186,-0.13334107256467834,-0.14685784684385383,0.013516774279175497,0.120607862836102,False,,
OTUD3,0.034634249525130924,-0.039276710176599755,0.07391095970173067,0.120948138976078,False,,
PLA2G2E,0.2703387466902936,0.21676203813316622,0.0535767085571274,0.0899096215106097,False,,
PLA2G2A,-0.1254733657481842,0.06943771400209779,-0.194911079750282,0.0605407171257853,False,,
PLA2G5,-0.17993808366386857,-0.08486789238158093,-0.09507019128228764,0.0723611004559154,False,,
PLA2G2D,-0.0081959897663171,-0.02769820801259207,0.01950221824627497,0.111811279637612,False,,
PLA2G2F,0.03333813377639313,0.09952410174291644,-0.06618596796652332,0.103785428358555,False,,
PLA2G2C,0.1560207683720788,0.21268488560680113,-0.05666411723472234,0.0899315936611743,False,,
UBXN10,0.15387525363556084,0.21094789723081867,-0.05707264359525782,0.0901397644697942,False,,
VWA5B1,-0.10265351489518526,0.06153658651865324,-0.1641901014138385,0.0768985895109192,False,,
CAMK2N1,-0.25683317853382537,-0.35413321382883184,0.09730003529500647,0.189628994000144,False,,
MUL1,-0.16397380812050877,-0.25909265587591834,0.09511884775540957,0.180758122000855,False,,
FAM43B,-0.18237900325857168,-0.23579720361103587,0.053418200352464196,0.17233456355744,False,,
CDA,0.03199739290064968,0.0030553541519458736,0.028942038748703807,0.15708499162582,False,,
PINK1,0.14470289985129628,-0.0004861357277346345,0.1451890355790309,0.18724123477814,False,,
DDOST,0.14385731877390187,0.06529974357098058,0.0785575752029213,0.190770312420169,False,,
KIF17,-0.08762447927802615,-0.17169501031214832,0.08407053103412217,0.192923990896192,False,,
SH2D5,-0.09587294225798153,-0.17830376255559255,0.08243082029761102,0.208670678173065,False,,
HP1BP3,-0.14649293107378794,-0.16947604452005074,0.022983113446262804,0.198459566789214,False,,
EIF4G3,0.06717026053515669,-0.0745586503634495,0.14172891089860618,0.175937945406367,False,,
ECE1,0.25322692753333204,0.13288094856275742,0.12034597897057461,0.176273775776743,False,,
NBPF3,-0.008663156761080988,0.17075637910433336,-0.17941953586541434,0.0496766295686833,False,,
ALPL,0.5134489279951479,0.42422954342683905,0.0892193845683088,0.0875083069844636,False,,osteogen
ENSG00000289715,0.5683031850747251,0.2994907401517842,0.26881244492294093,0.134902010354993,False,,
RAP1GAP,-0.15126241763076742,-0.25845437178907843,0.10719195415831101,0.17306931768628,False,,
USP48,0.07901529080617518,0.0063881804346139675,0.07262711037156122,0.220793710326398,False,,
LDLRAD2,0.042752358920918825,-0.12868801465262356,0.1714403735735424,0.25609258515715,False,,
HSPG2,0.1086801044576841,-0.10990229992531163,0.21858240438299573,0.314722505196898,False,,
CELA3B,0.013397985493371645,-0.1139047376421722,0.12730272313554383,0.226006951966429,False,,
CELA3A,-0.035544906231677574,-0.07583354048464878,0.04028863425297121,0.203906690619551,False,,
ENSG00000289694,0.12508648593870236,0.08671046119681737,0.03837602474188499,0.199066153221618,False,,
CDC42,0.038705016892504336,-0.14472590454062417,0.1834309214331285,0.227556899999546,False,,
WNT4,-0.15005091101686632,-0.12346315514759178,-0.026587755869274546,0.109313239207642,False,,
ZBTB40,0.17322074859905576,0.1437075033118241,0.02951324528723165,0.135370180366013,False,,
EPHA8,-0.12397423078263514,0.02663971780261723,-0.15061394858525237,0.0948592251194998,False,,
C1QA,-0.020438189734068152,0.0732707239947078,-0.09370891372877595,0.0966291554782272,False,,
ENSG00000289692,-0.02818859115591547,0.06527573469951448,-0.09346432585542995,0.0974154364642008,False,,
C1QC,-0.07574475774442567,0.021937785886471956,-0.09768254363089762,0.100996343851686,False,,
