symbol,flach,saeule,osteogen,basis,im_modul,ri,markerklasse
ABRAXAS1,0.2417205353686569,0.36461129018422866,0.3031659127764428,5.151763479470433,False,,
ABRAXAS2,-0.03357210813648459,0.6277319287951544,0.2970799103293349,3.7896624167031265,False,,
ABT1,-0.5656887616754993,-0.3554732996081258,-0.46058103064181255,5.091999051432884,False,,
ABTB1,0.523504525298601,0.9173310597399018,0.7204177925192514,3.761944423522434,False,,
ABTB2,-0.18351866670942396,0.21631045306472263,0.016395893177649334,4.908910226962763,False,,
ACAA1,-0.3729656815032243,-0.026017240194398106,-0.1994914608488112,6.219947309798826,False,,
ACAA2,0.07550715765600469,0.12577400298784358,0.10064058032192413,4.265750444200494,False,,
ACACA,0.08304862118905376,0.06719164436072944,0.0751201327748916,6.138906162597562,False,,
ACACB,-0.014178253259318652,-0.08683811249360573,-0.05050818287646219,5.262330742089199,False,,
ACAD11,-0.7094451255840593,-0.4243065147750178,-0.5668758201795385,4.647472362352597,False,,
ACAD8,0.073627980148812,0.1413072415370067,0.10746761084290934,5.489952558538614,False,,
ACAD9,0.009671315076197118,-0.12696289983563958,-0.05864579237972123,4.371938045658813,False,,
ACADL,0.5952866415499833,0.5393108429669087,0.567298742258446,1.8385038703847425,False,,
ACADM,-0.192474837214764,0.24922990753976304,0.028377535162499523,5.335650576506789,False,,
ACADS,0.5448215678586283,0.9071457608592532,0.7259836643589408,3.9845802791401987,False,,
ACADVL,-0.1385994707242344,-0.11985823916514171,-0.12922885494468805,3.1575608694598656,False,,
ACAN,0.42396970135430534,0.06779996141231681,0.24588483138331108,2.491314411945073,False,,
ACAP1,-0.19469915583416197,0.09839557361107687,-0.04815179111154255,4.206058911889126,False,,
ACAP2,0.20971305689769437,0.3264934582176622,0.2681032575576783,6.204527979808714,False,,
ACAP3,0.7426730997472486,0.021742967872650176,0.3822080338099494,4.276831356686359,False,,
ACAT1,0.2658560469766922,-0.07510668613769056,0.09537468041950081,5.0836325510515215,False,,
ACAT2,0.3776518912883997,-0.05576151763870518,0.16094518682484726,4.117012446279392,False,,
ACBD3,0.3999657898367488,-0.003930910307111901,0.19801743976481845,4.129722618134415,False,,
ACBD4,-0.3950365997088543,-0.22476273375592637,-0.30989966673239033,4.196010929312125,False,,
ACBD5,-0.5660593245505785,0.23507394586429964,-0.16549268934313943,5.555866486234777,False,,
ACBD6,-0.22711577163639163,0.31713041873005654,0.045007323546832456,4.565293283656229,False,,
ACBD7,0.08327941551719942,0.491733974857437,0.2875066951873182,3.466903187607405,False,,
ACCS,0.4149530693956853,0.15379064565052492,0.2843718575231051,5.049502841918982,False,,
ACD,0.7437483014561943,0.40791771341983285,0.5758330074380136,3.3368047413174886,False,,
ACE,-1.1887946341908298,-0.4083537919378113,-0.7985742130643205,4.618947923954553,False,,
ACE2,-1.4033418777710707,-0.4195382843211424,-0.9114400810461065,2.3420613115339926,False,,
ACER2,0.2783606295060741,0.5935697569929785,0.4359651932495263,4.066983679430893,False,,
ACER3,0.6373292690992898,0.7545290334717834,0.6959291512855366,4.477932747230253,False,,
ACIN1,-0.1764953006466179,-0.15793467918490478,-0.16721498991576134,7.227623994155315,False,,
ACKR3,0.050728935839651434,-0.07408590926952296,-0.011678486714935765,3.6990924953363424,False,,
ACKR4,-1.3297413788818218,-0.46325176086966113,-0.8964965698757414,3.411354679271014,False,,
ACLY,-0.2747814568268385,0.051615100211077625,-0.11158317830788045,5.719229624889422,False,,
ACMSD,-1.3965601623608492,-1.1769884356357636,-1.2867742989983064,5.7074655709230555,False,,
ACO1,0.4933201913733214,0.2858002128603614,0.3895602021168414,4.878960709608207,False,,
ACO2,-0.06327873661713213,-0.3999956218732459,-0.231637179245189,6.11970081406664,False,,
ACOT11,0.30192866342379965,0.5124985139929454,0.40721358870837254,4.095807679539648,False,,
ACOT12,0.6538567593908033,-0.733170503724099,-0.039656872166647816,1.6130241247369472,False,,
ACOT13,-1.6664831124763844,-1.174739210137606,-1.4206111613069952,2.939237169019306,False,,
ACOT2,0.1678842194096024,-0.030191361554291696,0.06884642892765536,4.089359467396226,False,,
ACOT4,0.9784394489208661,0.9805488468286401,0.9794941478747531,1.5925703799288067,False,,
ACOT6,-0.1039834944095066,0.04623808893634518,-0.028872702736580713,3.6799662746195714,False,,
ACOT7,0.1809617443614826,0.22195724681314832,0.20145949558731546,5.674561722753611,False,,
ACOT8,-0.3664598653448179,-0.405180160673579,-0.38582001300919844,4.959777716240118,False,,
ACOT9,0.1875483792259489,0.08592188115054356,0.13673513018824623,4.994686088576363,False,,
ACOX2,0.012254844394566256,-0.22291333968091376,-0.10532924764317375,5.2917622331878995,False,,
ACOX3,-0.08419542706508931,0.07396387056825393,-0.005115778248417691,6.035386329041322,False,,
ACOXL-AS1,0.3446982592204404,0.6801607744188185,0.5124295168196294,1.9820429127071895,False,,
ACP2,-0.5315839209264224,0.08298633106814579,-0.2242987949291383,1.8365857179213771,False,,
ACP3,-0.48470827221263924,-0.09696673108603537,-0.2908375016493373,1.9399421087231143,False,,
ACP5,-0.8854158639899679,-1.513066091859049,-1.1992409779245086,2.647375515243531,False,,
ACP6,-0.2808536085306388,-0.41146718917225567,-0.3461603988514472,5.061999021991328,False,,
ACRBP,1.6309625945495223,1.133537442249594,1.3822500183995583,1.6315038200672916,False,,
