"symbol","MSC_8A","CHON_8A","MSC_2454e","CHON_2454e"
"FBXO6",0.0429404692880593,0.0478609956887314,0.0523104365559189,0.0504197500141921
"DRAXIN",0.0442656943582802,0.0468024205846088,0.0525907730134199,0.0497911927789245
"AGTRAP",0.0456181947083444,0.0507741450268294,0.051602768944353,0.0499631918618046
"C1orf167",0.0463244638019353,0.0518720475295011,0.0518194497353422,0.0499579918268921
"MTHFR",0.0460644655245811,0.0549507642631427,0.0525105815320035,0.0509883323394598
"CLCN6",0.0460824144436031,0.0549784421332218,0.0525146885646589,0.0509826386729209
"NPPA",0.0465928459795074,0.0553459969457075,0.0517492257004874,0.0514371832834869
"NPPB",0.0466936292466887,0.0540899977770465,0.0513650222453592,0.051663753438457
"KIAA2013",0.0436572772957236,0.0472636697918049,0.0515894251343896,0.0531680438495099
"PLOD1",0.0433650915642951,0.0477685330915844,0.0518824865247539,0.0533448255899607
"MFN2",0.04052261829185,0.0478509416146567,0.0526261764487658,0.0523666385378107
"MIIP",0.042731524641033,0.0470137189456135,0.0524945757577314,0.0516659425639005
"TNFRSF8",0.0445072608831844,0.0470542861412933,0.0522024836534759,0.0513841358061582
"TNFRSF1B",0.043806650194281,0.0494138515836436,0.0503913104132673,0.0517466977543104
"VPS13D",0.0485189854910854,0.0532930033902566,0.0514203613932335,0.0525171338231352
"DHRS3",0.0463097754356801,0.052449435826274,0.0516321434231563,0.0524442707406997
"AADACL4",0.0481752332477847,0.0516883622213291,0.0518856566639929,0.0528593576774351
"AADACL3",0.0544041443965077,0.052260942563971,0.0521940348617618,0.0533954599438762
"CFAP107",0.0532354284628564,0.050886592528838,0.0517963069726057,0.0526984965153701
"PRAMEF12",0.0500014930559699,0.0471286195269618,0.0519726778653949,0.0523334528656453
"PRAMEF1",0.048070014576063,0.0438147094935177,0.052462777719053,0.052697222894647
"PRAMEF11",0.0438565171542622,0.037214488115209,0.0536233661847196,0.0534920154499874
"HNRNPCL1",0.0410634643944667,0.0345939034615235,0.0534097105219688,0.0537008434615259
"PRAMEF2",0.0395848435116883,0.0338341442311592,0.0530993091922993,0.0537217376771693
"PRAMEF4",0.0354358613497903,0.0302898835882824,0.0511795023708277,0.0522408451074552
"PRAMEF10",0.0339180052394248,0.0289568587810976,0.0499762016127488,0.0507548745992164
"PRAMEF7",0.0319555097082179,0.0276477177241417,0.0483045011619073,0.0487234548557269
"PRAMEF6",0.0312055785524017,0.025482796436925,0.0465906089801626,0.0463963258680238
"PRAMEF27",0.0309839969303591,0.0238581651133229,0.0467488695111992,0.0460548342268754
"HNRNPCL3",0.0310262036231659,0.0240372421278748,0.0467708675026713,0.0461272122752323
"PRAMEF25",0.0311096169094108,0.0243920727503144,0.0468932147328308,0.0461677630606943
"HNRNPCL2",0.0301451945947436,0.0248152475491087,0.0450613758503785,0.0451673825276908
"PRAMEF26",0.0305683007638522,0.0245201694227152,0.0454059372133526,0.0451501518723088
"HNRNPCL4",0.0305509138239174,0.02426941356645,0.0453764106110047,0.0452879386614862
"PRAMEF9",0.0305574541558791,0.024159995861016,0.0454081229859278,0.0454554892636046
"PRAMEF13",0.0310990424668014,0.0246111541885775,0.0466828109487398,0.0459492384491444
"PRAMEF18",0.0311253073971067,0.0252219383563845,0.0469613182337234,0.0457016705766583
"PRAMEF5",0.0317318490801929,0.0263287436104138,0.046596775500095,0.0459972334327028
"PRAMEF8",0.03270332119085,0.0277184603358011,0.0476805284897721,0.0476072871696977
"PRAMEF33",0.0333481821625129,0.02913372091799,0.0480546192074855,0.0485880285660719
"PRAMEF15",0.0348465236725796,0.0304150879160758,0.0484173789696349,0.0488932637405976
"PRAMEF14",0.0389411960705258,0.0345946913212731,0.0499404797759746,0.0504098630921094
"PRAMEF19",0.0419061810960902,0.0382644676186911,0.0501908835381909,0.0505785370957632
"PRAMEF17",0.0433088057663128,0.0407304574243235,0.0500715403275781,0.0506775127109166
"PRAMEF20",0.0456330236526881,0.0430487247560251,0.050256413708882,0.0513869913242748
"LRRC38",0.0475052464938266,0.0515050104683452,0.0521978131497452,0.0507036654039101
"PDPN",0.0505052830194025,0.0533891700383263,0.0528268493818056,0.0519294659632494
"PRDM2",0.0571973000803838,0.0595106272324265,0.0532797588993234,0.0534080162404455
"KAZN",0.0552310489858632,0.0588482228904295,0.0525808181540411,0.0534853855927179
"TMEM51",0.0485605288860622,0.0506560594288527,0.052050881196561,0.0519128856267029
"FHAD1",0.052571023655075,0.0510761756790626,0.0520224015759949,0.0523131655835464
"EFHD2",0.0434655076071891,0.0527074304882576,0.0507387666824432,0.0507291523135355
"CTRC",0.0438585759480222,0.0503216763707896,0.0508479688207886,0.0513034506015042
"CELA2A",0.0453151572256763,0.0489298376787557,0.0511047285652031,0.0514013587068011
"CELA2B",0.0460166591394751,0.0479014227745365,0.0511304262009433,0.0514235393751727
