symbol,delta,n_sonden,donor_konsistent
ADAM22,-0.003627141666666669,2,0.0
ADAM23,-0.0003062099999999997,2,0.5
ADAM29,0.014948299999999987,2,0.0
ADAM30,0.008774566666666641,2,0.5
ADAM33,0.013310849999999999,2,1.0
ADAM7,-0.005685900000000013,2,0.0
ADAM8,0.0036246000000000004,1,0.0
ADAMDEC1,0.04069866666666666,2,0.0
ADAMTS1,0.0028868150000000018,2,0.5
ADAMTS10,0.005036278333333331,2,0.5
ADAMTS13,0.002869666666666687,2,0.0
ADAMTS14,-0.004312168333333334,2,0.0
ADAMTS15,0.009351846666666663,2,0.0
ADAMTS17,-0.016872831666666657,2,0.5
ADAMTS18,0.04271897666666667,2,0.5
ADAMTS19,0.013186946000000001,2,0.5
ADAMTS2,0.006832624999999999,2,0.5
ADAMTS3,-0.004003853333333333,2,0.5
ADAMTS4,0.16022869999999997,1,1.0
ADAMTS5,0.0076832816666666665,2,0.0
ADAMTS6,0.0025540710000000006,2,1.0
ADAMTS7,0.02625319,1,1.0
ADAMTS8,0.007977211666666666,2,0.0
ADAMTS9,0.0031021883333333332,2,0.0
ADAMTSL1,-0.007579151666666668,2,0.5
ADAMTSL2,0.004130273333333333,2,0.0
ADAMTSL3,-0.004709670333333332,1,1.0
ADAMTSL5,0.025771144999999985,2,0.5
ADAR,-0.0027006466666666656,1,0.0
ADARB1,-0.0018446150000000076,2,0.0
ADARB2,0.0001263700000000012,2,0.5
ADAT1,-0.00856201666666667,2,0.5
ADC,0.011279420000000004,1,0.0
ADCK1,0.008008821666666667,2,0.5
ADCK2,-0.009436413333333326,1,0.0
ADCK4,-0.003440783333333335,2,0.0
ADCY1,0.03345139999999999,2,0.0
ADCY2,0.028420358333333343,2,0.5
ADCY3,0.008153533333333334,2,0.0
ADCY4,0.009299678333333332,2,0.0
ADCY5,0.006080774999999998,2,0.0
ADCY6,0.009522361666666666,2,0.5
ADCY7,0.01507473333333335,2,0.5
ADCY8,0.0025308060000000005,1,1.0
ADCY9,0.0038493983333333457,2,0.0
ADCYAP1,0.0016794266666666665,1,1.0
ADCYAP1R1,0.00877039,1,1.0
ADD1,0.009781185166666663,2,0.5
ADD2,0.006885199999999997,2,0.0
ADD3,0.01523655,1,1.0
ADFP,-0.001543084000000001,2,0.5
ADH1A,0.008731549999999977,2,0.0
ADH1B,0.01722275,1,0.0
ADH1C,0.03788186666666668,1,0.0
ADH5,0.029393788333333334,2,0.0
ADH6,0.015903433333333328,1,0.0
ADH7,-0.006944533333333299,1,0.0
ADHFE1,0.015051461666666668,2,0.5
ADI1,0.0008212678333333328,2,0.0
ADIPOQ,0.08233486666666667,2,0.5
ADIPOR1,-0.0023829044999999975,2,0.0
ADIPOR2,0.0031060800000000006,1,0.0
ADK,0.0045686216666666665,2,0.0
ADM,0.025656449999999997,2,0.5
ADMR,-0.007265033333333348,2,1.0
ADNP,0.021781909999999998,2,1.0
ADORA1,0.015842699999999987,2,0.0
ADORA2A,0.06334356666666667,2,0.5
ADORA2B,0.009076366666666698,2,0.0
ADORA3,-0.000944216666666664,2,0.0
ADPN,0.15788103,2,0.5
ADPRH,0.0015971474999999973,2,0.0
ADPRHL1,0.023109133333333327,2,0.0
ADPRHL2,0.004423556666666667,2,0.5
ADRA1A,-0.010573380000000002,2,0.0
ADRA1B,0.006912266666666696,2,0.5
ADRA1D,-0.003653196666666671,2,0.5
ADRA2A,0.0025237600000000008,2,0.5
ADRA2B,0.02906653999999998,2,0.5
ADRA2C,0.03472683833333333,2,0.5
ADRB1,0.03431138666666667,2,0.5
ADRB2,-0.007940226666666664,2,0.0
ADRB3,-0.0036562671666666613,2,0.0
ADRBK1,0.026209046666666673,2,1.0
ADRBK2,0.010785034999999998,2,0.0
ADRM1,-0.0012078816666666672,2,0.0
ADSL,0.0035818099999999986,2,0.0
ADSS,0.030800799999999993,1,1.0
ADSSL1,0.016850591666666664,2,0.5
AEBP1,0.010680884999999994,2,0.5
AER61,-0.000755925,2,0.0
AES,0.05668684999999998,2,1.0
AFAP,0.00028620000000000034,2,0.5
AFAR3,0.015206116666666662,2,0.5
AFF1,-0.0010732183333333292,2,0.0
AFF2,0.09683396333333333,2,0.0
AFF3,-0.0055141000000000035,2,0.0
AFF4,0.0007653283333333318,2,0.0
AFG3L1,0.0019287433333333346,2,0.0
AFG3L2,0.000718699999999998,1,0.0
AFM,-0.0050912,1,0.0
AFP,0.028820899999999965,1,0.0
AFTIPHILIN,-0.005121675,2,0.0
AGA,0.02309203833333332,2,0.0
AGBL2,-0.010442083333333324,2,0.5
AGC1,0.012119073333333334,2,0.0
AGER,0.02358956666666669,2,0.0
AGGF1,0.004729976666666668,2,0.0
AGL,0.007895774999999997,2,0.0
AGMAT,0.02940516166666667,2,0.0
AGPAT1,0.0010990466666666691,2,0.0
AGPAT2,0.005188031666666664,2,0.0
AGPAT3,0.005885413333333332,2,0.5
AGPAT4,0.011331760000000001,1,0.0
AGPAT6,0.003187808500000001,2,0.5
