symbol,delta,n_sonden,donorkons
ARHGAP8,0.017608941870308977,16,0.75
ARHGAP9,0.024208446633716595,8,0.5
ARHGDIA,0.018740568084706657,12,0.6666666666666666
ARHGDIB,0.026894794868991694,10,0.8
ARHGDIG,0.03607760781742889,4,1.0
ARHGEF1,0.02364719492451102,13,0.8461538461538461
ARHGEF10,0.01131616036828708,43,0.6744186046511628
ARHGEF10L,0.02418499500497407,27,0.8888888888888888
ARHGEF11,0.030529509283194974,8,0.875
ARHGEF12,0.021807471882965824,12,0.6666666666666666
ARHGEF15,0.029914174060277243,5,0.6
ARHGEF16,0.025469284732951503,15,0.8
ARHGEF17,0.017810272829881076,20,0.8
ARHGEF18,0.0205693460979175,24,0.75
ARHGEF19,0.0409252359631546,8,1.0
ARHGEF2,0.02877187036404565,11,0.9090909090909091
ARHGEF3,0.025719796867222994,28,0.8571428571428571
ARHGEF4,0.03521055763754907,22,0.9090909090909091
ARHGEF5,0.03510674417577823,3,1.0
ARHGEF5L,0.04594269232737095,2,0.5
ARHGEF6,0.042699300213827555,10,0.9
ARHGEF7,0.012332498411637078,30,0.7666666666666667
ARHGEF9,0.027338188640058495,11,1.0
ARID1A,0.017142703239495048,11,0.6363636363636364
ARID1B,0.0219425769116534,12,0.75
ARID2,0.04297927025779375,6,0.6666666666666666
ARID3A,0.018793210936410242,15,0.7333333333333333
ARID3B,0.02295582391047832,10,0.6
ARID3C,0.0206558388848607,6,0.5
ARID4A,0.026653390176173256,18,0.8333333333333334
ARID4B,0.0201569207417849,14,0.7857142857142857
ARID5A,0.02939571885058964,6,1.0
ARID5B,0.04915711786017587,12,1.0
ARIH1,0.017202170468242614,11,0.6363636363636364
ARIH2,0.01976808464333939,24,0.8333333333333334
ARL1,0.017827269777397667,11,0.7272727272727273
ARL10,0.005831388018675979,8,0.875
ARL11,0.03534785588681617,8,0.875
ARL13A,0.04141018880287938,3,0.6666666666666666
ARL13B,0.024357230486108657,11,0.7272727272727273
