symbol,delta,n_sonden,donor_konsistent
ADAMTS4,0.12386163333333335,1,1.0
ADAMTS5,-0.009534796666666666,2,0.5
ADAMTS6,0.02455292933333333,2,0.5
ADAMTS7,-0.0024058866666666645,1,0.0
ADAMTS8,0.006270418333333325,2,0.5
ADAMTS9,-0.004530181666666667,2,0.5
ADAMTSL1,-0.04073514166666667,2,0.5
ADAMTSL2,0.006046610000000001,2,0.5
ADAMTSL3,0.00684605,1,1.0
ADAMTSL5,-0.0020401183333333475,2,0.0
ADAR,0.020644986666666667,1,1.0
ADARB1,-0.008975933333333326,2,0.5
ADARB2,0.00020873833333333487,2,0.5
ADAT1,-0.029024090000000002,2,1.0
ADC,0.019020403333333335,1,1.0
ADCK1,-0.0007085016666666657,2,1.0
ADCK2,-0.05697927,1,1.0
ADCK4,-0.0004956833333333333,2,0.0
ADCY1,-0.022224183333333335,2,0.5
ADCY2,0.006360646666666678,2,0.5
ADCY3,0.008657233333333337,2,0.0
ADCY4,-0.012027759999999998,2,0.5
ADCY5,-0.01662429666666667,2,0.5
ADCY6,-0.005269989999999998,2,0.5
ADCY7,0.015210950000000018,2,0.5
ADCY8,0.008352157333333334,1,1.0
ADCY9,-0.023194070000000008,2,0.5
ADCYAP1,0.0051158133333333335,1,0.0
ADCYAP1R1,0.006881853333333334,1,1.0
ADD1,-0.005614579500000001,2,1.0
ADD2,0.004949211666666668,2,1.0
ADD3,0.012941666666666666,1,0.0
ADFP,-0.0004887453333333341,2,1.0
ADH1A,-0.08883875,2,1.0
ADH1B,0.022774716666666667,1,0.0
ADH1C,0.043254866666666676,1,0.0
ADH5,-0.037194823333333335,2,1.0
ADH6,-0.014428466666666676,1,1.0
ADH7,-0.21294659999999999,1,1.0
ADHFE1,0.0021541166666666682,2,0.0
ADI1,0.004514618333333333,2,0.0
ADIPOQ,0.03596231666666666,2,0.0
ADIPOR1,-0.023022884333333334,2,1.0
ADIPOR2,0.004318516666666668,1,0.0
ADK,-0.020282705,2,1.0
ADM,-0.01849059,2,1.0
ADMR,-0.002830500000000005,2,0.5
ADNP,-0.001918063333333333,2,0.0
ADORA1,-0.02372810000000001,2,0.0
ADORA2A,0.014967600000000008,2,0.0
