"symbol","K27_AC_rep1","K27_AC_rep2","K27_hMSC_rep1","K27_hMSC_rep2","K27_OB_rep1","K27_OB_rep2"
"HNRNPCL2",0.447196009884407,1.05483952884406,0.524446533700314,0.873213039294662,0.293553164964132,0.417734835957802
"PRAMEF26",0,0,0,0,0,0
"HNRNPCL4",0.661721725804873,0,0.528448790787804,0.963544938806985,0.405782236193015,0.657106358158059
"PRAMEF13",0,0,0,0,0,0
"PRAMEF18",0,0,0,0,0,0
"PRAMEF5",0,0,0,0,0,0
"PRAMEF8",0,0,0,0,0,0
"PRAMEF33",0,0,0,0,0,0
"PRAMEF15",0,0,0,0,0,0
"PRAMEF14",0,0,0,0,0,0
"PRAMEF19",0,0,0,0,0,0
"PRAMEF17",0,0,0.372129857994809,0,0,0
"PRAMEF20",0,0,0.814032257935117,0.963545565236745,0,0
"LRRC38",0.651403303237716,0.980356570486038,0.72728997967963,0.986555437174554,0.750257388426596,0.947787845879464
"PDPN",0.92833914437573,1.15520483584659,0.884373921854162,0.778538014069881,1.14746981630534,1.15146630693466
"PRDM2",3.23317534539103,3.61813116409664,1.64439806804478,1.64119171288497,2.5349555150394,2.79165051008655
"KAZN",0.748167602569115,1.09260645255821,0.816107907525755,0.796595123223115,0.477390477439775,0.648136235963441
"TMEM51",1.42273646880903,1.72896214816862,1.84982764166351,2.16746452745276,1.788416639557,1.63359817962282
"FHAD1",1.75367159101724,1.70614658121148,1.62143541061793,1.68029082128202,1.87945853081912,1.88864754386918
"EFHD2",3.21546357030205,2.56199899367038,3.39536137235985,3.96374087325797,3.74961652310123,3.88475468470601
"CTRC",1.28612356126182,1.458713291327,2.31621969468789,2.07822150092798,1.72517817994043,1.48322476728752
"CELA2A",1.146334390203,1.10031290266083,1.04845162101284,1.23519082445529,0.744469853135009,0.986033507671107
"CELA2B",1.7000278887747,1.28885707767925,1.54286381520793,1.25089182671957,1.96627573850902,1.73451281289594
"CASP9",3.55181100898228,3.87540695193809,2.39338762744584,2.9858238199818,3.1187109999829,2.63467709705035
"DNAJC16",3.77330201934526,3.60062568688129,1.990603584105,2.46177204585689,3.83804184892986,3.39280548883991
"AGMAT",1.27089312402125,1.63230640048901,1.94944736172618,1.86930643086267,2.63751847456354,2.35566130621416
"DDI2",4.43235759657334,5.00236862361637,3.49614782461636,4.94151136784012,3.78283882435613,4.34050516028151
"RSC1A1",2.62387326792909,2.77691455989983,1.15027216358694,1.74625395406373,1.87908363680334,2.28208617208912
"PLEKHM2",5.01635151523761,4.0490849090076,2.24762668081947,2.79464549725384,3.88702307004765,3.77777538350863
"SLC25A34",1.40421066784699,1.85695092719071,2.85976862234782,1.16729521998514,2.1246752053492,2.36937496743731
"TMEM82",1.22165579150429,1.77062346657086,2.84368331639463,1.66381655967507,2.18378647434379,2.38480034495736
"FBLIM1",2.79540868614945,2.16387606236453,3.66643009314573,2.89275281452839,4.0027453440954,3.89692455366787
"UQCRHL",2.21723073094906,1.91226115756592,2.30951217266745,2.38505288285006,3.41135170268585,3.43100748006392
"SPEN",5.11103210449339,5.5296235936365,4.52747880678723,5.35249216382044,3.30560135830927,4.12558293746072
"ZBTB17",2.30875587338202,2.1206715978083,2.44147172616353,2.55798685108059,2.20241026672744,2.5328511790478
"SRARP",1.10127014058375,1.39567208602855,2.51687010524721,2.24040114409018,1.98731159963369,2.06937790439438
"HSPB7",2.17093955225696,2.56818188701126,2.49623906318782,3.70118035680094,2.77142441872175,2.816921773298
"CLCNKA",3.12394420606729,2.7128059231691,4.68587350986502,5.12700823078284,4.91503448846636,4.28418782371576
"CLCNKB",1.12341853868334,1.31798469176326,1.82412063340049,1.38541282121463,1.35028642646952,1.45928921368231
"FAM131C",2.51765303240087,2.70647900484261,2.93430828737716,2.92690944710829,2.2794469168475,2.33598304831417
"EPHA2",3.44112189089561,3.49560565726077,3.88852413242554,4.61828206781135,3.02325277978469,3.12369401501431
"ARHGEF19",2.16487369139432,1.97260945870688,2.59567648843973,2.3587753037623,3.6309199152343,3.54980023512667
"CPLANE2",2.71741652872949,2.35563606250923,3.52673053897983,3.69901805956317,3.88172589337745,3.81770875008186
"FBXO42",4.39869780730559,3.9296176369794,3.35691635285655,3.65337033328959,3.77839029603771,4.18710589328746
"SZRD1",5.50180056564979,5.18351758824088,3.36566349328862,3.51845802558682,3.5100402682816,4.16872606702454
"SPATA21",1.81740661407448,1.8120306264991,2.54523652098832,2.59047455291976,2.35470603526816,2.33437290201668
"NECAP2",2.67496616472103,2.26138481004482,3.09959037657632,3.67168609259379,3.16059537488507,2.91621938921818
"NBPF1",7.59194513204114,6.86531325051779,7.65983077894608,8.08201830236099,8.98299047582985,8.24292127033452
"CROCC",0,0,0,0,0,0
"MFAP2",2.7214210467856,2.91036413377945,3.80929753415127,5.03183176386806,3.97732838243243,4.33041102670143
"ATP13A2",0.90844353201007,0.900300966079635,2.58497357877102,1.71975444419859,2.4738831618645,2.57652786587044
"ENSG00000288636",0.940834483881906,0.939366202254966,2.69447788722338,1.7710418578528,2.52348147277265,2.59424125805418
"SDHB",2.89529713003709,3.09479839834198,3.23591990714532,3.29866666458108,4.27990391140968,4.52291930036525
"PADI2",1.30445990887662,1.54175254495499,2.61172454327309,2.09556985493529,2.52005298176404,2.65810913590786
"PADI1",1.67819866679708,2.13787222748788,3.57342801836932,4.26162456401038,3.58286075828897,4.01741239991447
"PADI3",0.970503763003891,1.30757759315608,3.70114661237917,3.79408065953591,2.31174305051111,2.71098903618081
"PADI4",1.21975362619708,1.17443710478278,2.31244984538755,2.05497532083527,1.24099308319408,1.09382451255946
"PADI6",1.41466315618957,1.56913936802774,2.17156319072761,1.82108337112424,1.64561009946338,1.99579455621272
"RCC2",3.17836844231498,2.59997505512173,3.0551687895041,3.70232605623159,3.79506237770989,3.0873765040275
"ARHGEF10L",2.28171505548918,2.36766825428423,2.03707402030103,2.04508293332443,2.8263531877002,2.86991965216208
"ACTL8",1.40459511838969,1.949912171216,1.15491653154432,1.44712056444003,0.990446902989998,1.08349348776157
"IGSF21",0.767725725099576,0.760662335752945,1.43899627066227,0.584382872725219,0.630135967009051,1.17541817780972
"KLHDC7A",0.69541297194634,0.863498628752126,1.30513976938551,1.3037547036321,0.5324895503434,0.710137292673152
"PAX7",0.561368270367884,0.52741976442203,1.38380539930527,0.933739722004283,0.962387540828211,0.924093960479174
"TAS1R2",0.821939124507687,0.889700072971967,1.65278919982051,1.04985580854345,0.829060925957369,1.31824297274539
"ALDH4A1",3.03091988069736,2.48991164318789,2.59468709382814,2.50181720242359,3.75056428668523,3.44011186016533
"IFFO2",2.49083578605085,2.76763567746036,3.18760983666491,2.5786858399522,4.04045681720968,3.35473452178524
"UBR4",4.92758203911692,4.76765604666908,3.17108551880535,3.38716281515969,3.63921372566609,3.48055348472393
"EMC1",5.18139898048819,5.71831909232564,4.40268466252009,4.23360370327278,4.06774988535444,3.71289865897091
"MRTO4",4.6337240027754,5.12120144047262,3.78290411678435,4.24708761034513,3.05973991857061,3.00649094878664
"AKR7L",1.23697113916165,1.06949006432267,2.15270286869128,1.48830852904986,1.91366278877368,1.89799208462541
"AKR7A3",1.09194815079262,1.06685418661828,1.61847684726656,1.19904200563217,1.82286879349855,1.96857779411443
"AKR7A2",3.53120910436457,3.73306055356758,4.42277715092682,5.07239748276936,4.33999270586549,4.14049723230809
"SLC66A1",3.39026925912188,3.17945584476659,4.37421443897982,4.99015916216711,3.94493802988721,3.59719196620903
"CAPZB",4.21451443108543,4.64977130563353,3.96326015885034,4.13750518026036,4.32729582597423,4.21251042475093
"MICOS10",4.98614795746216,4.44766988166906,3.18541449048421,3.26500184849276,4.28405565993552,4.70195751288475
"NBL1",3.95176957136112,4.43888777656412,2.80770431609576,3.35485625318282,3.77480068325542,3.69765899511203
"MICOS10-NBL1",4.0487695544603,4.52619356416806,2.86469492771094,3.46998606401115,3.81057529972799,3.74963823157743
"HTR6",1.10981864631993,1.56186853615685,1.73472853701059,1.04298093948634,1.13939353896589,1.54654356221824
"TMCO4",2.01043993209964,2.92414688755407,2.3844415336033,1.89014016122118,3.08918764893976,2.60101618616685
"RNF186",1.31412237758487,1.28102000131737,2.03646832201117,1.3994965113735,1.54538777056114,1.53335326047015
"OTUD3",2.72188506189131,2.70809304401131,2.51202851098684,2.50911391106015,2.64603309435386,3.43030223163869
"PLA2G2E",1.40781824545297,2.08281965693431,1.75224821981108,1.14853644881405,1.33089369653638,1.23805075757926
