"symbol","K27_AC_rep1","K27_AC_rep2","K27_hMSC_rep1","K27_hMSC_rep2","K27_OB_rep1","K27_OB_rep2"
"NR2C2",2.31900467852254,2.21846415480096,1.9117955682646,2.00808310854544,1.89581570342448,1.85735315355121
"MRPS25",2.45144522743139,2.27427675509523,2.11244031992918,2.07784961755064,2.39053822199783,2.31935957080372
"RBSN",1.91377974156074,1.94636213145316,1.74240793767789,1.78471406247574,1.91931006248846,1.93918880173254
"CAPN7",2.29162972225251,2.17078631914687,1.46143214063884,1.75637424389023,1.59024740991748,1.72828167255486
"SH3BP5",3.02792215038142,2.87754515849641,2.08751770352067,1.99547658941634,2.9685925460179,2.73337748143396
"METTL6",2.11658934984726,2.04202752628597,1.73037367571649,1.7271422558333,1.72711014932426,1.73641285579339
"EAF1",2.23671387795875,2.1403551811804,1.75204071049456,1.75668965011704,1.95782359991391,1.8703638000596
"ENSG00000293553",2.00912880053061,1.96119111694669,1.74360333450982,1.69584304791716,1.62782627118358,1.6699909634156
"COLQ",1.63015334483408,1.6431592203617,1.6070195603425,1.59761341384876,1.45159028367707,1.53068726510622
"HACL1",3.08874396039746,2.76030640599267,2.37299178462793,2.890186019043,2.43864704234824,2.28311350743536
"BTD",3.08517061344385,2.75313626927594,2.36191645226877,2.87717375573539,2.43591935337959,2.27975634381987
"ANKRD28",2.38673821593115,2.25844879768117,2.00827989879529,2.49289766140071,1.79456215054811,1.82154348676812
"GALNT15",3.62579334775502,3.20298743521401,3.08761244495609,3.64989409383313,2.90325119583264,2.75772121096775
"DPH3",3.08395899065112,2.74691184475795,2.41496401098186,2.91429439814564,2.5276849012563,2.44272116802847
"OXNAD1",3.08542268827627,2.74777632529013,2.41578312500698,2.9143213811516,2.53152858487658,2.44339065556144
"RFTN1",3.06673952327988,2.82903385330586,2.32218742991145,2.60680862602738,2.82403437578578,2.7083971487335
"DAZL",1.59189256613223,1.60954524709501,1.25766427295493,1.41638431727111,1.35675654204175,1.40928120129395
"PLCL2",1.69020909520977,1.69339916246037,1.4665915523377,1.65278900129334,1.56315159016135,1.61148713269258
"TBC1D5",1.24931833923437,1.38670402282687,0.929726352763078,1.21239912084942,0.908536550174709,1.13195871125717
"SATB1",1.24309511210896,1.38273944036731,0.928294082534028,1.2096801098103,0.905544304569082,1.12973423733358
"KCNH8",0.678274066816036,0.947102074361999,0.603641379762248,0.884850359583246,0.524522271892909,0.76803726558389
"EFHB",2.07006340099422,2.05088237418595,1.83155462595019,2.23912391791546,1.76302060225228,1.77840577587574
"RAB5A",2.06996637450443,2.05097179656984,1.83057445858062,2.23756666638055,1.76260197839976,1.77827079533264
"PP2D1",2.04688930165988,2.01634355556003,1.60285974781649,1.82661016852997,2.0206809062057,2.0901188711754
"KAT2B",2.00750102451449,1.97293031887823,1.60355116719406,1.78563392508375,2.08505404436344,2.1827715684642
"SGO1",1.72996107401961,1.74383497616732,1.34520390801828,1.76473515649977,1.44111642346333,1.56851462825895
"ZNF385D",1.18076794393981,1.29390935074845,1.10056152531989,1.45206526614097,0.988132818802186,1.13047560243667
"UBE2E2",2.09357546827287,2.02358985330305,1.43670222559374,1.69340451253031,1.70101819512791,1.69322156936524
"UBE2E1",3.01742774816561,2.80544420011531,1.83003362120429,1.982944221424,2.53941646038521,2.36347671325516
"NKIRAS1",2.34494968431684,2.25358339086954,1.96223942623248,2.23039340201898,2.13774130679977,2.02760993403474
"RPL15",2.58382382296505,2.46667519022345,1.96222821482201,2.28277862751571,2.19885410018103,2.02424695003476
"NR1D2",2.35631160205644,2.26133987613747,1.96211572354682,2.23615415522804,2.13572169182253,2.02200958352548
"THRB",1.11928056837822,1.19055746778582,0.948668279159654,1.13698045225245,1.21100077651308,1.46506189962757
"RARB",1.17651062981595,1.38623977857012,0.884321989406719,1.13546855091258,1.31938841901768,1.47330355234806
"TOP2B",2.04717386928989,1.9886477780949,1.3860451422061,1.73803247070719,1.33242349764608,1.44448563269865
"NGLY1",2.27986316589045,2.06056300698432,1.53960459939048,1.85847988563911,1.45756479742042,1.55207307006976
"OXSM",2.28514964289627,2.04982866170205,1.54162106311774,1.88264855581678,1.45692520901143,1.54636698899686
"LRRC3B",0.832086076282471,1.04732357505425,0.891839055992274,1.11704931682727,0.640774473601019,0.924380313175059
"NEK10",2.48421077575195,2.21925969701566,1.87939367434166,2.40591541613156,1.82268694460967,1.81204246147663
"SLC4A7",2.78577473869282,2.56152515200901,2.39592350323769,2.89768844740547,2.2552837875747,2.1853000826822
"EOMES",2.00434416199002,2.05890101266712,1.47596854629013,1.68897312992502,1.60246217469428,1.70517114685842
"CMC1",1.67027666607228,1.62884452929855,1.23111495285364,1.54894702307265,1.12769589203332,1.26608551300534
