"symbol","ATAC_AC_rep1","ATAC_AC_rep2","ATAC_OB_rep1","ATAC_OB_rep2"
"RGS12",187.558894886994,241.30741848834,397.170441789533,310.231210312719
"HGFAC",201.454687648191,214.195345780804,38.8621789916046,206.044031700803
"DOK7",182.757199650256,186.996605857193,57.9569672383211,181.967251436496
"LRPAP1",169.773534649805,156.733822394562,201.067583507085,166.381388168694
"ADRA2C",193.134033687683,167.283789154059,224.678982885954,236.857615217925
"OTOP1",91.5561097465169,77.6277934269563,44.1808047963872,111.025626454244
"TMEM128",114.764257981192,104.726113782227,246.086023848871,117.763818184453
"LYAR",122.380551835471,116.85920433564,237.188843263653,164.386801662975
"ZBTB49",121.540816357368,131.791452010856,275.682200615798,178.443154504254
"NSG1",61.2659373259613,62.4310932047789,43.0686948032102,62.1788353117677
"STX18",99.9036127439162,130.999040300913,134.776109796087,84.9900098340883
"MSX1",145.916493518131,148.95387151953,210.985993793545,191.733989943577
"CYTL1",149.646255144333,145.716260180024,38.1542882531364,110.651976966627
"STK32B",195.153547992586,248.247406498216,263.219869308474,238.305850381437
"EVC2",260.11696702424,203.476154049495,264.985435139725,263.318670944393
"EVC",276.308628588116,209.966081095055,278.190444905787,280.70680679835
"CRMP1",151.026320226842,106.85311227702,46.5670032682367,147.862789587789
"C4orf50",140.422081163158,141.277221301073,55.2644515081945,190.105808390147
"JAKMIP1",141.533681593463,142.061579196537,55.4005229139727,190.700434722
"ENSG00000284684",123.128519870029,95.9725074048532,44.4302322787351,201.489934799934
"WFS1",179.044724699967,174.67427933506,338.361488202177,240.074927385058
"PPP2R2C",150.653249487601,180.133030290196,85.9258460871475,153.313711483858
"MAN2B2",176.652390932045,176.774070765827,125.618569328625,172.595409627581
"MRFAP1",93.3952475001722,123.720430529794,141.053342988683,92.6683663982037
"MRFAP1L2",71.5774818395898,82.1136892748864,43.0459082894527,92.8544346991113
"S100P",154.604733118935,162.055286286346,48.9529104490892,100.494024486006
