"symbol","K27_AC_rep1","K27_AC_rep2","K27_hMSC_rep1","K27_hMSC_rep2","K27_OB_rep1","K27_OB_rep2"
"ENSG00000289731",0.815508882878952,1.06704560985918,0.814916920493301,0.980469058301305,0.839786540133106,1.07579691208409
"ENSG00000289747",1.21545400676179,2.01197243771018,3.06681662393507,1.32451554125105,2.31434095161009,2.48808613285957
"ENSG00000289758",2.16240705846771,2.19323229128079,2.60456548106804,2.14846761809094,2.4613354410717,2.48541953242969
"ENSG00000289760",2.40539744126122,1.01759506600147,2.56130582733911,4.94322896300277,2.52778291581802,2.55336996965498
"ENSG00000289761",9.65626341870861,8.21903541754691,4.69813250549586,4.74502946806449,2.29357849417919,1.45127343046321
"ENSG00000289763",4.26138525089569,4.81400731464396,4.98415603649048,4.82724874288055,4.56881339526962,4.25561420012063
"ENSG00000289764",6.38849249604606,5.95293088348895,3.79745210040299,0.916119090235027,3.5461824205431,4.86558682510951
"ENSG00000289766",5.11720757644619,4.27872449154831,3.87715398232991,4.96715754767685,4.32962396549313,4.11087455818006
"ENSG00000289767",4.24158542414692,4.9726478116455,1.27847227241107,1.65512366266525,2.51571995414503,1.11213436890904
"ENSG00000289768",0.867250183547146,1.11655490745091,0.911502084617118,1.19863811069785,0.674033594409733,0.86774987298245
"ENSG00000289791",3.25505750715978,2.70531090284377,2.49782307178896,3.40745144479735,3.05151349872224,3.04668412239464
"ENSG00000289809",2.2864286273465,2.38559228311338,2.2340996092404,1.92781000879229,2.7984055114255,2.67889074019781
"ENSG00000290146",2.397275575554,2.30868609106185,2.22746189397804,2.34954455749105,2.52111748981372,2.35967118965391
"ENSG00000290149",1.13139585525532,1.29773365786226,0.774720190308393,1.00181133002537,0.93270219511899,1.13861069491481
"ENSG00000290180",2.69974910402523,2.57468403971337,2.15946405849035,2.02596637972125,2.51476403276361,2.4336947855176
"ENSG00000290183",1.90212762998095,2.15189301896728,1.76921481960434,1.7030202181287,1.89689732065609,1.96991082371463
"ENSG00000290184",1.38473658570767,1.57648958217567,1.50114067105668,1.45001002662995,1.37812061825799,1.37133110398039
"ENSG00000290217",1.13404025074779,1.28647040575585,1.00876393121766,1.13913644232006,0.900452876904347,1.12626661419479
"ENSG00000290230",2.62822928822323,2.57298948805022,3.68367104392344,2.83172584847184,4.26108723196558,4.07476768825188
"ENSG00000290263",1.54460314081624,1.63422323686541,1.65076058951725,1.558519196463,1.38664157470645,1.67247843524886
"ENSG00000290315",2.54204967678664,2.56367694264725,2.10529300598249,2.0238379782181,2.64033494731985,2.54069913489994
"ENSG00000290316",1.17708505016894,1.29764433248415,1.1694524681185,1.37534784845137,0.944436799376224,1.0999313599615
"ENSG00000290317",1.67818708765178,1.74247560567576,1.35905893312923,1.37848376149368,2.04928365650661,2.05450801706223
"ENSG00000290318",2.79428755877336,2.72739165027526,2.36102684338209,2.35580699619741,2.78919210155323,2.769954707178
"ENSG00000291239",0.857460210580977,1.13627245978886,0.733916745699572,0.961641618182846,0.693283322978232,0.991019336978011
"ENSG00000291240",1.70043097765526,1.77423574950502,3.28318195379175,2.73061968498782,3.85806739123234,3.63009368131383
"ENSG00000291302",5.63755978458823,5.08797497751482,3.69651362776369,6.21802825882216,4.90773812144034,2.7979422850371
