status,n_gene_set,observed,null_mean,null_sd,z,p_value,detection_limit_delta,delta_observed,run,target_quantity,matching,gene_set
ok,5649,0.718711812143756,0.7144931356247771,0.0033702269595373,1.251748493388697,0.2178910544727636,0.0094366354867046,0.0042186765189788,P1_expression_mit_pub,expr_rank_med,laenge+log_pub,height GWAS
ok,1296,0.7399763755359683,0.761287499841373,0.0069931958179023,-3.047408489670618,0.0039980009995002,0.0195809482901266,-0.0213111243054047,P1_expression_mit_pub,expr_rank_med,laenge+log_pub,cell cycle (neg. control)
ok,147,0.6766025867305305,0.7043504197223456,0.0212778914597724,-1.304068734642927,0.1949025487256372,0.0595780960873629,-0.027747832991815,P1_expression_mit_pub,expr_rank_med,laenge+log_pub,programme (173 genes)
ok,353,0.64,0.6225545,0.0336041165346455,0.5191477056691506,0.6586706646676662,0.0940915262970075,0.0174455,P3_loeuf_ohne_pub,loeuf,expr_rank_med+laenge,PanelApp 309
ok,153,0.637,0.6264359999999999,0.0503090986472959,0.2099818975899687,0.8685657171414293,0.1408654762124285,0.0105640000000001,P3_loeuf_ohne_pub,loeuf,expr_rank_med+laenge,Nosology (core)
ok,537,0.636,0.6265935,0.0276038084849072,0.3407681952707039,0.7936031984007996,0.0772906637577402,0.0094064999999999,P3_loeuf_ohne_pub,loeuf,expr_rank_med+laenge,Nosology (broad)
ok,1124,0.548,0.6096245,0.0197411589433907,-3.1216252387569026,0.0019990004997501,0.0552752450414939,-0.0616244999999999,P3_loeuf_ohne_pub,loeuf,expr_rank_med+laenge,short stature
ok,5613,0.616,0.6688965,0.0094181812904302,-5.616424059892323,0.000999500249875,0.0263709076132046,-0.0528965,P3_loeuf_ohne_pub,loeuf,expr_rank_med+laenge,height GWAS
ok,1292,0.5545,0.676827,0.0174981617272191,-6.99084863352905,0.000999500249875,0.0489948528362134,-0.1223269999999999,P3_loeuf_ohne_pub,loeuf,expr_rank_med+laenge,cell cycle (neg. control)
ok,147,0.741,0.720961,0.0539372792607026,0.3715241160597424,0.7016491754122939,0.1510243819299674,0.020039,P3_loeuf_ohne_pub,loeuf,expr_rank_med+laenge,programme (173 genes)
ok,353,0.64,0.5781839999999999,0.033870366766134,1.8250761920242355,0.0699650174912543,0.0948370269451752,0.061816,P3_loeuf_mit_pub,loeuf,expr_rank_med+laenge+log_pub,PanelApp 309
ok,153,0.637,0.5724215,0.0496047593868462,1.3018609665330685,0.2338830584707646,0.1388933262831695,0.0645784999999999,P3_loeuf_mit_pub,loeuf,expr_rank_med+laenge+log_pub,Nosology (core)
ok,537,0.636,0.5708979999999999,0.0273238337710133,2.382608551405544,0.0219890054972513,0.0765067345588375,0.0651020000000001,P3_loeuf_mit_pub,loeuf,expr_rank_med+laenge+log_pub,Nosology (broad)
ok,1124,0.548,0.5418475,0.0172192114910115,0.357304398242138,0.7216391804097951,0.0482137921748324,0.0061525,P3_loeuf_mit_pub,loeuf,expr_rank_med+laenge+log_pub,short stature
ok,5613,0.616,0.6559055,0.0085489831153274,-4.667865108828411,0.000999500249875,0.0239371527229167,-0.0399055,P3_loeuf_mit_pub,loeuf,expr_rank_med+laenge+log_pub,height GWAS
