window,axis,null_model,n,concordance,concordance_detection_limit,concordance_null,concordance_null_sd,concordance_z,concordance_p,threshold_reached,calibration_type,calibration_passed,calibration_z,calibration_contrast,calibration_detection_limit,verdict
T10,lineage contrast,background,173,0.5086705202312138,0.5582068212787274,0.4535390173410404,0.0373813585491739,1.4748394662449122,0.1633918304084795,False,L,False,1.7969282078105606,0.0798548700960058,0.1243580575800412,level not calibrated for this axis
T10,lineage contrast,H1 baseline-stratified,173,0.5086705202312138,0.5685153105023524,0.4668251445086704,0.036317916426315,1.1521964870270855,0.2894855257237138,False,L,False,1.7969282078105606,0.0798548700960058,0.1243580575800412,level not calibrated for this axis
T50,osteogenic,background,173,0.6705202312138728,0.6331514105449048,0.5271598265895954,0.0378541371268962,3.7871793020588154,0.0003999800009999,True,D,False,1.655925842083083,0.1014857195642832,0.171106385611556,level not calibrated for this axis
T50,osteogenic,H1 baseline-stratified,173,0.6705202312138728,0.6259164491432077,0.5200407514450867,0.0378127491779003,3.97959638059678,0.0002999850007499,True,D,False,1.655925842083083,0.1014857195642832,0.171106385611556,level not calibrated for this axis
T50,adipogenic,background,173,0.6994219653179191,0.6451436728314631,0.5406144508670521,0.0373318649872896,4.253940018933853,9.99950002499875e-05,True,D,True,4.133876459378316,0.2681887631321786,0.1819434292086396,threshold reached
T50,adipogenic,H1 baseline-stratified,173,0.6994219653179191,0.6437224309035061,0.5397098265895954,0.0371473586835395,4.299421126786445,9.99950002499875e-05,True,D,True,4.133876459378316,0.2681887631321786,0.1819434292086396,threshold reached
T50,lineage contrast,background,173,0.5549132947976878,0.5985983607951741,0.4920771676300577,0.0380432832732558,1.6517009511585286,0.1152942352882355,False,L,False,1.115436970869562,0.0457972033371427,0.1146518438929688,level not calibrated for this axis
T50,lineage contrast,H1 baseline-stratified,173,0.5549132947976878,0.5902337010472819,0.4891445086705203,0.0361032829917005,1.8216843643356888,0.0813959302034898,False,L,False,1.115436970869562,0.0457972033371427,0.1146518438929688,level not calibrated for this axis
GB,osteogenic,background,173,0.6820809248554913,0.6251847932700958,0.5198404624277456,0.0376229753008393,4.312270923031606,9.99950002499875e-05,True,D,False,1.199571756882532,0.1179332979291993,0.2761003996145121,level not calibrated for this axis
GB,osteogenic,H1 baseline-stratified,173,0.6820809248554913,0.6174983690417846,0.5117268786127168,0.0377755322960956,4.509639861789105,9.99950002499875e-05,True,D,False,1.199571756882532,0.1179332979291993,0.2761003996145121,level not calibrated for this axis
GB,adipogenic,background,173,0.6936416184971098,0.6396975775052964,0.5342855491329479,0.0376471529901244,4.232885004769521,9.99950002499875e-05,True,D,True,3.729328628460359,0.3931780378828438,0.2951062530575982,threshold reached
GB,adipogenic,H1 baseline-stratified,173,0.6936416184971098,0.6210816830948216,0.5175835260115608,0.036963627529736,4.763009051098032,9.99950002499875e-05,True,D,True,3.729328628460359,0.3931780378828438,0.2951062530575982,threshold reached
GB,lineage contrast,background,173,0.5491329479768786,0.592961295775259,0.4871462427745664,0.0377910903573902,1.6402465400205222,0.1155942202889855,False,L,False,0.9313811184134716,0.0580538795649609,0.1754222529136861,level not calibrated for this axis
