level,unit,arm,n_group_a,n_group_b,contrast,null_mean,null_sd,z,p_value,detection_limit,status,passed
donor cell,GSE221128_FOP_chondr,chondrogenic,12,53,0.6064551173384731,-0.0041590777040777,0.3211762948824648,1.9011807682319968,0.0573971301434928,0.8951345479668236,ok,False
donor cell,GSE245585_WT1_osteog,osteogenic,13,46,-0.4083492669340293,-0.0003746994475649,0.3958964663269961,-1.0305082317898038,1.0,1.1081354062680242,ok,False
donor cell,SERPINA3_D1_chondr,chondrogenic,12,59,1.4122707652273825,-0.0005940274188457,0.3959824005099255,3.567998958607288,0.0002999850007499,1.1081566940089458,ok,True
donor cell,SERPINA3_D2_chondr,chondrogenic,12,59,2.2343480715112216,-0.0027585091195637,0.399143502909377,5.604767619476212,9.99950002499875e-05,1.114843299026692,ok,True
donor cell,SERPINA3_D3_chondr,chondrogenic,12,59,1.7112416276831726,0.0017819349889458,0.407757135870914,4.192347704824472,9.99950002499875e-05,1.1435019154275052,ok,True
donor cell,SERPINA3_D1_osteog,osteogenic,17,54,0.786565267170277,-0.0041345645139439,0.3736418660999483,2.1161970951957256,0.0348982550872456,1.0420626605659116,ok,True
donor cell,SERPINA3_D2_osteog,osteogenic,17,54,0.6833839755092258,0.0014875519888719,0.339440429238258,2.008883930092255,0.0401979901004949,0.9519207538559944,ok,True
donor cell,SERPINA3_D3_osteog,osteogenic,17,54,-0.1246993337366373,-0.0015516921009051,0.3302656855787734,-0.3728744674758517,1.0,0.9231922275196603,ok,False
donor cell,LAMA5_USC_chondr,chondrogenic,6,39,1.764664226677658,-0.0063356053962925,0.6621950071361187,2.6744385158281774,0.0050997450127493,1.8478104145848395,ok,True
donor cell,LAMA5_USC_osteog,osteogenic,12,33,-0.0997098367238918,-0.0014153078003395,0.4760231128551783,-0.2064910847164194,1.0,1.3314494081941597,ok,False
