block,dataset,concordance,concordance_null,concordance_null_sd,concordance_z,concordance_p,concordance_detection_limit,above_detection_limit,window,axis,null_model,level,gene_set,run,statistic_z,detection_limit,p_value,panel,class,side,compared_to
gene-set matching,,,,,,,,,,,,,height GWAS,P1_expression_mit_pub,1.251748493388697,0.0094366354867046,0.2178910544727636,,,,
gene-set matching,,,,,,,,,,,,,cell cycle (neg. control),P1_expression_mit_pub,-3.047408489670618,0.0195809482901266,0.0039980009995002,,,,
gene-set matching,,,,,,,,,,,,,programme (173 genes),P1_expression_mit_pub,-1.304068734642927,0.0595780960873629,0.1949025487256372,,,,
gene-set matching,,,,,,,,,,,,,PanelApp 309,P3_loeuf_ohne_pub,0.5191477056691506,0.0940915262970075,0.6586706646676662,,,,
gene-set matching,,,,,,,,,,,,,Nosology (core),P3_loeuf_ohne_pub,0.2099818975899687,0.1408654762124285,0.8685657171414293,,,,
gene-set matching,,,,,,,,,,,,,Nosology (broad),P3_loeuf_ohne_pub,0.3407681952707039,0.0772906637577402,0.7936031984007996,,,,
gene-set matching,,,,,,,,,,,,,short stature,P3_loeuf_ohne_pub,-3.1216252387569026,0.0552752450414939,0.0019990004997501,,,,
gene-set matching,,,,,,,,,,,,,height GWAS,P3_loeuf_ohne_pub,-5.616424059892323,0.0263709076132046,0.000999500249875,,,,
gene-set matching,,,,,,,,,,,,,cell cycle (neg. control),P3_loeuf_ohne_pub,-6.99084863352905,0.0489948528362134,0.000999500249875,,,,
gene-set matching,,,,,,,,,,,,,programme (173 genes),P3_loeuf_ohne_pub,0.3715241160597424,0.1510243819299674,0.7016491754122939,,,,
gene-set matching,,,,,,,,,,,,,PanelApp 309,P3_loeuf_mit_pub,1.8250761920242355,0.0948370269451752,0.0699650174912543,,,,
gene-set matching,,,,,,,,,,,,,Nosology (core),P3_loeuf_mit_pub,1.3018609665330685,0.1388933262831695,0.2338830584707646,,,,
gene-set matching,,,,,,,,,,,,,Nosology (broad),P3_loeuf_mit_pub,2.382608551405544,0.0765067345588375,0.0219890054972513,,,,
gene-set matching,,,,,,,,,,,,,short stature,P3_loeuf_mit_pub,0.357304398242138,0.0482137921748324,0.7216391804097951,,,,
gene-set matching,,,,,,,,,,,,,height GWAS,P3_loeuf_mit_pub,-4.667865108828411,0.0239371527229167,0.000999500249875,,,,
