zone,sample,n_cells,kontrast_module,mde80_module,z_module,p_module,contrast_positive_control,detection_limit_positive_control,z_positive_control,p_positive_control,specimen
ChondroProg,Pcw6.1_Distal_LowerLimb,559,0.0538827702403068,0.1569315402245654,0.955193930173766,0.3099845007749612,1.0660457611083984,0.3919736005900181,7.616740833558022,9.99950002499875e-05,Pcw6.1
ChondroProg,Pcw5.6_Distal_UpperLimb,359,0.0942384079098701,0.1621561496474488,1.6222601610512162,0.0692965351732413,1.246675968170166,0.4035247841238703,8.651262240884124,9.99950002499875e-05,Pcw5.6
ChondroProg,Pcw5.6_Middle_UpperLimb,263,0.0750629007816314,0.1657436818492287,1.2621607703745912,0.1716914154292285,1.429714322090149,0.4132730392124972,9.688571719859857,9.99950002499875e-05,Pcw5.6
ChondroProg,Pcw5.6_Proximal_UpperLimb,355,0.0981422290205955,0.1664800774126139,1.6457803624412362,0.0676966151692415,1.4899693727493286,0.4141610727106882,10.074703369153209,9.99950002499875e-05,Pcw5.6
ChondroProg,Pcw5.6_Distal_LowerLimb,193,0.0956615135073661,0.1636182224251712,1.6316805970533288,0.0667966601669916,1.148898363113403,0.4063399687205239,7.918514982771617,9.99950002499875e-05,Pcw5.6
ChondroProg,Pcw5.6_Middle_LowerLimb,108,0.0691937133669853,0.1641085898179952,1.1723391356388642,0.2064896755162241,1.2181648015975952,0.4080001875156542,8.358009092245673,9.99950002499875e-05,Pcw5.6
ChondroProg,Pcw5.6_Proximal_LowerLimb,142,0.073303684592247,0.1667423210261507,1.2223373103299593,0.1863906804659767,1.3251831531524658,0.4144098261421639,8.952106294008262,9.99950002499875e-05,Pcw5.6
RestingChon,Pcw7.2_s1_Thigh_LowerLimb,549,0.030892938375473,0.1621998799670685,0.5300061589524293,0.6340682965851707,1.7411733865737915,0.4048425979026702,12.050093103927187,9.99950002499875e-05,Pcw7.2_s1
RestingChon,Pcw7.2_s2_Thigh_LowerLimb,533,0.0299320816993713,0.1616206209337533,0.5154733428915047,0.6442677866106694,1.7170283794403076,0.4036016955626058,11.917329458151878,9.99950002499875e-05,Pcw7.2_s2
RestingChon,Pcw6.5_Thigh_LowerLimb,14,0.013451337814331,0.167639758998653,0.2184746769681317,0.895655217239138,1.872983813285828,0.4194139613518455,12.511916598714109,9.99950002499875e-05,Pcw6.5
RestingChon,Pcw9.3_s1_Thigh_LowerLimb,63,0.0497173219919204,0.1565673185602657,0.8840383178179366,0.3501824908754562,1.5961310863494873,0.3919597722016125,11.39933733851537,9.99950002499875e-05,Pcw9.3_s1
RestingChon,Pcw9.3_s2_Thigh_LowerLimb,134,0.0488486886024475,0.1559338628189214,0.8724652002113331,0.3623818809059547,1.66360604763031,0.390856640646526,11.91696559410804,9.99950002499875e-05,Pcw9.3_s2
RestingChon,Pcw9.0_s1_Thigh_LowerLimb,1031,0.0814791992306709,0.1718140399633621,1.3245837390448068,0.1384930753462326,2.299233913421631,0.4274066659444795,15.066034082347803,9.99950002499875e-05,Pcw9.0_s1
RestingChon,Pcw9.0_s2_Thigh_LowerLimb,1193,0.0891580656170845,0.1714886121757673,1.452956278993134,0.0990950452477376,2.2900781631469727,0.4265806553648945,15.034378312110176,9.99950002499875e-05,Pcw9.0_s2
RestingChon,Pcw6.1_Proximal_UpperLimb,236,0.04529320448637,0.1700371020933758,0.7404835489578612,0.4611769411529423,1.6596062183380127,0.4255304884950747,10.922906665442156,9.99950002499875e-05,Pcw6.1
RestingChon,Pcw6.1_s1_Middle_UpperLimb,50,0.0608008727431297,0.1746529980143077,0.9711749245930968,0.3049847507624619,1.8999948501586916,0.4368462076457654,12.180007939403351,9.99950002499875e-05,Pcw6.1_s1
RestingChon,Pcw6.1_Proximal_LowerLimb,11,0.0723337158560752,0.1779801435773428,1.1329903736647655,0.2279886005699715,1.6293702125549316,0.4471784276080506,10.208992147461569,9.99950002499875e-05,Pcw6.1
RestingChon,Pcw6.1_s2_Middle_UpperLimb,54,0.0666845142841339,0.1737208039545094,1.0710406499426506,0.2494875256237188,1.922550916671753,0.4345860811427287,12.387147712760298,9.99950002499875e-05,Pcw6.1_s2
RestingChon,Pcw5.6_Proximal_UpperLimb,6,0.0960068479180336,0.1861793872240788,1.437794141403964,0.1219939003049847,1.7408649921417236,0.461570238749496,10.558766349040305,9.99950002499875e-05,Pcw5.6
ProlifChon,Pcw7.2_s1_Thigh_LowerLimb,522,0.0427145361900329,0.1605240620059699,0.7418975655861366,0.4569771511424428,1.8234074115753172,0.3998445251727865,12.77450135357348,9.99950002499875e-05,Pcw7.2_s1
ProlifChon,Pcw7.2_s2_Thigh_LowerLimb,535,0.0417031198740005,0.1598352153140171,0.7272970205748595,0.4646767661616919,1.7655421495437622,0.3982053439844455,12.420642028851065,9.99950002499875e-05,Pcw7.2_s2
