ebene,dosis,dezil,n,staerke,staerke_min,staerke_max,gerichtet,gerichtet_roh,lo,hi
ATAC GSE332758 osteogen (n=1),iv_kons,5,1219,0.25,0.25,0.3333333333333332,0.0023037406137479703,0.0005688846389244063,-0.013752697818521028,0.01813835126922133
ATAC GSE332758 osteogen (n=1),iv_kons,6,1219,0.375,0.3333333333333332,0.375,0.021020261558770258,0.020867310651541186,0.00482872192940393,0.03720435357250555
ATAC GSE332758 osteogen (n=1),iv_kons,7,1219,0.5,0.375,1.0,0.030577418339727006,0.028229367994602638,0.015090794534557965,0.04689999571782765
ATAC GSE332758 adipogen (n=1),dWT_kons,0,1293,0.1111111111111111,0.0588235294117647,0.125,-0.005790164887924509,0.008049275254279224,-0.02090070101134116,0.008993375379560348
ATAC GSE332758 adipogen (n=1),dWT_kons,1,1293,0.125,0.125,0.125,-0.005689742469983964,0.009922544249788617,-0.02121603352485718,0.01061913338260698
ATAC GSE332758 adipogen (n=1),dWT_kons,2,1293,0.1999999999999999,0.125,0.25,0.004916304991915379,0.028848850200870333,-0.01057010313278456,0.020640181066215783
ATAC GSE332758 adipogen (n=1),dWT_kons,3,1293,0.25,0.25,0.25,-0.01330461654516446,0.018279394061089006,-0.028570869793305493,0.0018799443097044107
ATAC GSE332758 adipogen (n=1),dWT_kons,4,1293,0.3333333333333332,0.25,0.375,-0.006652185155517706,0.031849547445571426,-0.022573506683613073,0.009599496060088392
ATAC GSE332758 adipogen (n=1),dWT_kons,5,1293,0.375,0.375,0.4444444444444444,0.006277496943960733,0.05123125344931724,-0.008712976752052981,0.02132222346716583
ATAC GSE332758 adipogen (n=1),dWT_kons,6,1293,0.5,0.4444444444444444,0.5555555555555556,-0.008442334247087797,0.04362458629902806,-0.024185711718695494,0.006749596732794929
ATAC GSE332758 adipogen (n=1),dWT_kons,7,1293,0.625,0.5555555555555556,1.0,0.03286235035498643,0.09445624999916502,0.017618785504452537,0.04856011418511968
ATAC GSE332758 adipogen (n=1),iv_kons,0,1219,0.0666666666666666,0.0588235294117647,0.125,-0.0007552278506330779,-0.004257636367578407,-0.016532818372961902,0.016580842021273863
ATAC GSE332758 adipogen (n=1),iv_kons,1,1219,0.125,0.125,0.125,0.0011339556041333858,-3.542686753795143e-06,-0.014907304292681582,0.016981414985801347
ATAC GSE332758 adipogen (n=1),iv_kons,2,1219,0.125,0.125,0.125,0.013045827854069365,0.012034436048906649,-0.0029284102378177674,0.02961768867642157
ATAC GSE332758 adipogen (n=1),iv_kons,3,1219,0.1999999999999999,0.125,0.2222222222222223,-0.004187392586927978,-0.005147665560734332,-0.020291343753219032,0.01133984537196533
ATAC GSE332758 adipogen (n=1),iv_kons,4,1219,0.25,0.2222222222222223,0.25,0.006741878255228244,0.00446591092183402,-0.009478847319265023,0.023612370981140912
ATAC GSE332758 adipogen (n=1),iv_kons,5,1219,0.25,0.25,0.3333333333333332,0.004964386111180429,0.002477400846928865,-0.011878957463073114,0.020491920183818603
ATAC GSE332758 adipogen (n=1),iv_kons,6,1219,0.375,0.3333333333333332,0.375,0.02026368492266943,0.020046682691892106,0.00389230243748932,0.03622493096062183
ATAC GSE332758 adipogen (n=1),iv_kons,7,1219,0.5,0.375,1.0,0.017909343621928336,0.014542906258666295,0.0027580400599988156,0.033950114455712305
H3K27ac GSE129031 chondrogen (n=2),dWT_kons,0,1293,0.1111111111111111,0.0588235294117647,0.125,0.0068861211267082405,0.019586143387123646,-0.008624941398069463,0.0231184156531116
H3K27ac GSE129031 chondrogen (n=2),dWT_kons,1,1293,0.125,0.125,0.125,-0.004421659292087957,0.009905310188389665,-0.01992224632766996,0.010060106879605422
H3K27ac GSE129031 chondrogen (n=2),dWT_kons,2,1293,0.1999999999999999,0.125,0.25,0.009246150353964082,0.031208513840086882,-0.005196758030722028,0.02522853470748518
H3K27ac GSE129031 chondrogen (n=2),dWT_kons,3,1293,0.25,0.25,0.25,0.003504815512207899,0.03248861048977199,-0.013596035787550313,0.01896774678593064
H3K27ac GSE129031 chondrogen (n=2),dWT_kons,4,1293,0.3333333333333332,0.25,0.375,0.0007530331361114798,0.0360849850310821,-0.014929019693671516,0.016200797209077477
H3K27ac GSE129031 chondrogen (n=2),dWT_kons,5,1293,0.375,0.375,0.4444444444444444,-0.0036722610075672463,0.03758060764628546,-0.01896713085937794,0.012599039592108943
H3K27ac GSE129031 chondrogen (n=2),dWT_kons,6,1293,0.5,0.4444444444444444,0.5555555555555556,-0.012573732922564569,0.035206816084643024,-0.027542891023387823,0.0024351410759923847
H3K27ac GSE129031 chondrogen (n=2),dWT_kons,7,1293,0.625,0.5555555555555556,1.0,0.01554899348768129,0.07207294496843562,0.00034443965194606277,0.031185323475699522
H3K27ac GSE129031 chondrogen (n=2),iv_kons,0,1219,0.0666666666666666,0.0588235294117647,0.125,-0.006790212274752791,-0.010004370258379483,-0.02281002417410558,0.010105859886255062
H3K27ac GSE129031 chondrogen (n=2),iv_kons,1,1219,0.125,0.125,0.125,0.008156521947766962,0.007112439634389056,-0.008669973557135837,0.025343803971045735
H3K27ac GSE129031 chondrogen (n=2),iv_kons,2,1219,0.125,0.125,0.125,0.005453998580680076,0.00452571147423808,-0.0106152385227793,0.021698487175117596
H3K27ac GSE129031 chondrogen (n=2),iv_kons,3,1219,0.1999999999999999,0.125,0.2222222222222223,0.004345885814186355,0.003464818498946617,-0.010991630426868425,0.019228609093622444
H3K27ac GSE129031 chondrogen (n=2),iv_kons,4,1219,0.25,0.2222222222222223,0.25,0.00353680777740745,0.0014478252225409505,-0.013626877171641722,0.020662475239543843
H3K27ac GSE129031 chondrogen (n=2),iv_kons,5,1219,0.25,0.25,0.3333333333333332,0.002924884150008623,0.0006423599621981147,-0.013671076118850701,0.019615648679708234
H3K27ac GSE129031 chondrogen (n=2),iv_kons,6,1219,0.375,0.3333333333333332,0.375,0.007052173888337865,0.006852583560998194,-0.00826104693555408,0.022568708519692785
H3K27ac GSE129031 chondrogen (n=2),iv_kons,7,1219,0.5,0.375,1.0,0.014076494991871044,0.010986899002676995,-0.0011687644332130337,0.030288522881924743
DNAm GSE33896 osteogen (n=3),dWT_kons,0,854,0.1111111111111111,0.0588235294117647,0.125,-0.020658832676951386,-0.016511581266967574,-0.04025143493907567,-0.0012580361415330122
DNAm GSE33896 osteogen (n=3),dWT_kons,1,854,0.125,0.125,0.125,0.0009224905373506348,0.006381863349237457,-0.018523073634055698,0.021239823611565928
DNAm GSE33896 osteogen (n=3),dWT_kons,2,853,0.2222222222222223,0.125,0.25,0.0017081558026955524,0.010180660850695869,-0.01829673417777676,0.022269574312271837
DNAm GSE33896 osteogen (n=3),dWT_kons,3,854,0.25,0.25,0.25,-0.008087994227262507,0.0022770629491146717,-0.02657789337963032,0.011202520841168403
DNAm GSE33896 osteogen (n=3),dWT_kons,4,853,0.3333333333333332,0.25,0.375,-0.010566498612239891,0.0019431683322431782,-0.029110983577847124,0.008766602242935797
DNAm GSE33896 osteogen (n=3),dWT_kons,5,854,0.375,0.375,0.4444444444444444,-0.007351759205311188,0.007469183523208684,-0.026482118014789,0.010577762560436056
DNAm GSE33896 osteogen (n=3),dWT_kons,6,853,0.5,0.4444444444444444,0.6000000000000001,-0.00014692675369205654,0.016725431703892367,-0.020110132604551086,0.01954262796036749
DNAm GSE33896 osteogen (n=3),dWT_kons,7,854,0.625,0.6000000000000001,1.0,0.0014015451386057548,0.021290408246062018,-0.01678068268484271,0.020667103816940226
DNAm GSE33896 osteogen (n=3),iv_kons,0,805,0.0666666666666666,0.0588235294117647,0.125,0.00010655254452649408,-0.0012393894711672563,-0.019798904236060184,0.021022597545436023
DNAm GSE33896 osteogen (n=3),iv_kons,1,804,0.125,0.125,0.125,-0.007405477458088766,-0.0073751479606029065,-0.026539496021725322,0.011889163711271654
DNAm GSE33896 osteogen (n=3),iv_kons,2,804,0.125,0.125,0.125,0.008103801400858956,0.007911291389067493,-0.012273031246049056,0.027952971278353785
