dezil,n,kons_mitte,delta_median,delta_mittel,delta_se,ebene,dosis
9,764,0.625,0.0046599141666666,0.012360019837644383,0.001196414329264578,DNAm GSE33896 myogen (n=3),dWT_kons
0,764,-0.411764705882353,0.00549002916666665,0.010689167412178993,0.0011999046257672606,DNAm GSE33896 myogen (n=3),iv_kons
1,764,-0.25,0.0054335743333333,0.011284033475087248,0.001143406025185844,DNAm GSE33896 myogen (n=3),iv_kons
2,763,-0.1999999999999999,0.0055668761666666,0.010773380266365352,0.0011610767441608725,DNAm GSE33896 myogen (n=3),iv_kons
3,764,-0.125,0.00302526216666665,0.006837214276149955,0.0010976523971832175,DNAm GSE33896 myogen (n=3),iv_kons
4,764,0.0,0.00387653791666665,0.008649090788830706,0.0012203896282405432,DNAm GSE33896 myogen (n=3),iv_kons
5,763,0.0,0.0051107979999999,0.010504211269622823,0.0011671614747287297,DNAm GSE33896 myogen (n=3),iv_kons
6,764,0.1111111111111111,0.00633555749999995,0.011125868689499697,0.001076277558912051,DNAm GSE33896 myogen (n=3),iv_kons
7,763,0.125,0.0052315633333333,0.011239861650502388,0.001071994450375592,DNAm GSE33896 myogen (n=3),iv_kons
8,764,0.25,0.00586659916666665,0.0117913856969168,0.001203166218304846,DNAm GSE33896 myogen (n=3),iv_kons
9,764,0.375,0.0052946594166666,0.010019565794969373,0.000996983053916598,DNAm GSE33896 myogen (n=3),iv_kons
0,1076,-0.5294117647058822,-0.0191505699698084,-0.019052143060435425,0.00030277612696992426,DNAm GSE129266 chondrogen (n=2),dWT_kons
1,1076,-0.375,-0.01905409669369815,-0.01823974582837843,0.0004266766412607814,DNAm GSE129266 chondrogen (n=2),dWT_kons
2,1075,-0.25,-0.0184717937762502,-0.018690035195406136,0.00033045053738366717,DNAm GSE129266 chondrogen (n=2),dWT_kons
3,1076,-0.125,-0.0193145070731006,-0.019433633392262215,0.0003215854812267146,DNAm GSE129266 chondrogen (n=2),dWT_kons
4,1076,-0.0666666666666666,-0.0194839362150589,-0.01959877337031747,0.0003273179317153066,DNAm GSE129266 chondrogen (n=2),dWT_kons
5,1075,0.0,-0.0195651382476928,-0.01928981476429246,0.00038009685556239,DNAm GSE129266 chondrogen (n=2),dWT_kons
6,1076,0.125,-0.01950048400098875,-0.01965317715065693,0.0003466780310142928,DNAm GSE129266 chondrogen (n=2),dWT_kons
7,1075,0.25,-0.0195462446137464,-0.019356730241818682,0.00039960348345106033,DNAm GSE129266 chondrogen (n=2),dWT_kons
8,1076,0.375,-0.0198649980500531,-0.020001239315480056,0.0003886795553473472,DNAm GSE129266 chondrogen (n=2),dWT_kons
9,1076,0.625,-0.01989375837878525,-0.019410601506246558,0.0004248470976725618,DNAm GSE129266 chondrogen (n=2),dWT_kons
0,1076,-0.375,-0.01911630413564375,-0.019374323379900398,0.0003288787252101175,DNAm GSE129266 chondrogen (n=2),iv_kons
1,1076,-0.25,-0.0200234883962387,-0.019471799792771412,0.0004298511080858545,DNAm GSE129266 chondrogen (n=2),iv_kons
2,1075,-0.1999999999999999,-0.0196224565933249,-0.019622132165768108,0.0003597882431932095,DNAm GSE129266 chondrogen (n=2),iv_kons
3,1076,-0.125,-0.018819358697281498,-0.018560518265756068,0.00035697330939254626,DNAm GSE129266 chondrogen (n=2),iv_kons
4,1076,0.0,-0.019230539345507502,-0.019426533106914487,0.0003631342044783545,DNAm GSE129266 chondrogen (n=2),iv_kons
5,1075,0.0,-0.0190704177153991,-0.018903497339446046,0.00034913825016873304,DNAm GSE129266 chondrogen (n=2),iv_kons
6,1076,0.1111111111111111,-0.01966685620996115,-0.01963518586194968,0.00038563738040845087,DNAm GSE129266 chondrogen (n=2),iv_kons
7,1075,0.125,-0.0194104892581501,-0.01903118491581787,0.0004019978089157173,DNAm GSE129266 chondrogen (n=2),iv_kons
8,1076,0.25,-0.0193483249207535,-0.019331934395165656,0.0003352965352145134,DNAm GSE129266 chondrogen (n=2),iv_kons
9,1076,0.375,-0.019303552535898,-0.019368989280447304,0.0003524628153949953,DNAm GSE129266 chondrogen (n=2),iv_kons
