punkt,datensatz,arm,variante,n_hintergrund,n_marker_a,n_marker_b,kontrast,null_sd,z,p,status,bestanden
14,ERCC6L2-KD (GSE190542),osteogen,C_marker_gef_hg_voll,18543,12,27,0.9271248769035383,0.3815205078733773,2.4320090755070742,0.014799260036998151,ok,True
14,ERCC6L2-KD (GSE190542),osteogen,D_marker_voll_hg_voll,18543,14,40,0.7155908606586632,0.3369180243593362,2.129879164564556,0.03399830008499575,ok,True
15,TP53 LFS (GSE102732),osteogen,A_marker_gef_hg_gef,11572,12,27,0.6495261259760128,0.34013305767267854,1.9164840477087728,0.05469726513674316,ok,False
15,TP53 LFS (GSE102732),osteogen,B_marker_voll_hg_gef,11606,18,55,-0.0842334860248829,0.2644615793390569,-0.3097873915648419,1.0,ok,False
15,TP53 LFS (GSE102732),osteogen,C_marker_gef_hg_voll,18259,12,27,0.6495261259760128,0.33933176661202136,1.90110124811501,0.057697115144242785,ok,False
15,TP53 LFS (GSE102732),osteogen,D_marker_voll_hg_voll,18259,18,55,-0.0842334860248829,0.26382928932811295,-0.33091298588728085,1.0,ok,False
16,YAP/TAZ-KD (GSE137035),osteogen,A_marker_gef_hg_gef,11183,11,25,0.0431409653629074,0.23766732429869403,0.178713884293759,0.8582570871456427,ok,False
16,YAP/TAZ-KD (GSE137035),osteogen,B_marker_voll_hg_gef,11194,11,36,0.056080429518463315,0.22727517561068328,0.23521295121094343,0.8062596870156492,ok,False
16,YAP/TAZ-KD (GSE137035),osteogen,C_marker_gef_hg_voll,12397,11,25,0.0431409653629074,0.23821305280845415,0.17461704775976078,0.8622568871556422,ok,False
16,YAP/TAZ-KD (GSE137035),osteogen,D_marker_voll_hg_voll,12397,11,36,0.056080429518463315,0.22574222648783748,0.25528591913953924,0.7943602819859007,ok,False
17,RB1-mut isogen (GSE145235),osteogen,A_marker_gef_hg_gef,11573,11,27,1.2020716332353034,0.4334734541184285,2.771113524873952,0.0058997050147492625,ok,True
17,RB1-mut isogen (GSE145235),osteogen,B_marker_voll_hg_gef,11602,16,51,0.6278419224287781,0.34416206316644354,1.8236642998799537,0.0663966801659917,ok,False
17,RB1-mut isogen (GSE145235),osteogen,C_marker_gef_hg_voll,16203,11,27,1.2020716332353034,0.40147864533016336,2.991407234448787,0.0030998450077496125,ok,True
17,RB1-mut isogen (GSE145235),osteogen,D_marker_voll_hg_voll,16203,16,51,0.6278419224287781,0.3257950282988666,1.926869163048835,0.053897305134743265,ok,False
18,RB1-del isogen (GSE145235),osteogen,A_marker_gef_hg_gef,11578,12,27,0.8086951374385487,0.45083338141213203,1.7880743855670762,0.07209639518024098,ok,False
18,RB1-del isogen (GSE145235),osteogen,B_marker_voll_hg_gef,11610,16,55,0.4675699098515999,0.36740044704822095,1.2716894833265695,0.21048947552622368,ok,False
18,RB1-del isogen (GSE145235),osteogen,C_marker_gef_hg_voll,16264,12,27,0.8086951374385487,0.4104035693916128,1.9787571449593326,0.04679766011699415,ok,True
18,RB1-del isogen (GSE145235),osteogen,D_marker_voll_hg_voll,16264,16,55,0.4675699098515999,0.33483802729581835,1.3940276069622757,0.16359182040897954,ok,False
