genkarte,punkt,datensatz,arm,n_gene_messbar,eichung_z_abgelegt,eichung_bestanden_abgelegt,eichung_status_abgelegt,satz_eigen,satz_ander,naiv_kontrast,naiv_z,naiv_mde80,naiv_status,eigen_kontrast,eigen_z,eigen_status,ander_kontrast,ander_z,ander_status,modul_konkordanz,modul_z,modul_mde80,modul_n,i_naiv_faellt,ii_linie_erreicht,iii_modul_ueber_grenze,urteil
gefiltert,3,FN1 FNC123R,chondrogen,11579,0.7110591257456714,False,ok,CHONDROGEN,ADIPOGEN,0.030095384923501,0.06756761764803706,1.301716872390793,ok,0.15081114825171366,0.245578695321401,ok,-0.7877319991894007,-1.6222436442995118,ok,1.0,12.798465683606894,0.6256131816989474,173.0,False,False,True,nicht zerlegbar
gefiltert,4,FN1 FNC231W,chondrogen,11579,0.4201054207211432,False,ok,CHONDROGEN,ADIPOGEN,0.1078476201171562,0.21069216395836196,1.4355683727563837,ok,0.08303612585643999,0.1231647613590195,ok,-0.9321206848810405,-1.7464545439949757,ok,1.0,12.798465683606894,0.6256131816989474,173.0,False,False,True,nicht zerlegbar
gefiltert,5,SERPINA3-KD,chondrogen,2275,,False,zu wenige Gene,CHONDROGEN,ADIPOGEN,,,,zu wenige Gene,,,zu wenige Gene,,,zu wenige Gene,1.0,5.252155437733982,0.7752563263266081,29.0,False,False,True,nicht zerlegbar
gefiltert,6,MIR181A1HG-KD,osteogen,11555,-0.6948337415253439,False,ok,OSTEOGEN,ADIPOGEN,-1.1294913446491541,-2.41274923967172,1.3137815156731034,ok,-0.04606716521562079,-0.11444833199585779,ok,1.1805211733611907,2.4293960936040913,ok,0.9705882352941176,12.158090992881238,0.6159871286775684,170.0,True,False,True,Zerlegung bestaetigt
gefiltert,7,LINC01638-KD (GSE227512),osteogen,10169,-0.3189921901136188,False,ok,OSTEOGEN,ADIPOGEN,-1.2195906382798738,-2.8799444685300446,1.1869112168461828,ok,0.03679717428155818,0.09409428647649314,ok,1.32596076403448,2.883893679976731,ok,0.9777777777777776,11.351203054026596,0.6121169222346029,135.0,True,False,True,Zerlegung bestaetigt
gefiltert,8,ARSB / MPS VI (GSE218101),chondrogen,11519,0.8263015012108242,False,ok,CHONDROGEN,ADIPOGEN,-0.5077684237438621,-0.9265928105893017,1.5551471963482557,ok,0.05398672923045433,0.08496114057349191,ok,-0.3526550426781593,-0.622723705920341,ok,0.8047337278106509,8.084964153597172,0.6019155869486902,169.0,False,False,True,nicht zerlegbar
gefiltert,9,ACVR1 / FOP (GSE221128),chondrogen,11554,1.9012222217326216,False,ok,CHONDROGEN,ADIPOGEN,-0.9741218941378171,-2.622695390873396,1.0381050940678334,ok,0.9558018132606231,1.957733761671872,ok,0.24861916056474187,0.6471969801427044,ok,0.9161676646706588,10.239901742897224,0.6272781764791493,167.0,True,False,True,Zerlegung bestaetigt
gefiltert,10,RNF4-KD (GSE205432),osteogen,11578,-0.8324970528892498,False,ok,OSTEOGEN,ADIPOGEN,0.17214742736019353,0.6171097001309636,0.7664468133314767,ok,-0.22789667536347483,-0.9016424658391408,ok,0.38745554669109017,1.3659604261389267,ok,0.9248554913294798,11.30119727741911,0.5992854481462122,173.0,False,False,True,nicht zerlegbar
gefiltert,11,RB1 +/- (GSE245585),osteogen,11125,-1.0295292584886364,False,ok,OSTEOGEN,ADIPOGEN,-0.4511206122481848,-0.95349628437032,1.306311655768483,ok,-0.6015632477189131,-1.3085371958431342,ok,1.5222659910383323,3.164615443641414,ok,0.8855421686746988,8.128288023682671,0.6866656591088596,166.0,False,False,True,nicht zerlegbar
gefiltert,12,Nonunion (GSE226565),osteogen,11509,-0.5743634065761964,False,ok,OSTEOGEN,ADIPOGEN,-0.6013677162212476,-2.6475181637889973,0.6371064267131442,ok,0.15970372931026655,0.7357817749458272,ok,0.34004662035147665,1.4439140663231307,ok,0.9349112426035504,13.097688169352676,0.549543146614699,169.0,True,False,True,Zerlegung bestaetigt
gefiltert,13,SERPINA3-KD osteo (GSE247528),osteogen,2284,-0.7738569627300452,False,ok,OSTEOGEN,ADIPOGEN,,,,zu wenige Gene,,,zu wenige Gene,,,zu wenige Gene,1.0,5.476338378976463,0.7559500559057548,31.0,False,False,True,nicht zerlegbar
gefiltert,14,ERCC6L2-KD (GSE190542),osteogen,11477,2.129879164564556,True,ok,OSTEOGEN,ADIPOGEN,-0.8467528085081476,-2.0920563837253,1.1283509450195706,ok,0.9271248769035383,2.441365438956738,ok,0.06515196236551139,0.16084827735844628,ok,0.9707602339181286,12.544193394496698,0.6040400420345821,171.0,True,True,True,"Entkopplung, anderer Fall (Linie erreicht)"
gefiltert,15,TP53 LFS (GSE102732),osteogen,11572,-0.3309129858872808,False,ok,OSTEOGEN,ADIPOGEN,-1.1353970199571493,-3.155820089065706,1.0011783752749162,ok,0.6495261259760128,1.9164840477087728,ok,0.3607393788894009,0.9836603645443169,ok,0.9364161849710982,11.271600665020266,0.6219801173577771,173.0,True,False,True,Zerlegung bestaetigt
gefiltert,16,YAP/TAZ-KD (GSE137035),osteogen,11183,0.2552859191395392,False,ok,OSTEOGEN,ADIPOGEN,0.06200008630175399,0.24998613759757657,0.6864703709959831,ok,0.0431409653629074,0.178713884293759,ok,-0.020628572987994587,-0.0772997788613456,ok,0.7323943661971831,5.522098118694484,0.6188026324704132,142.0,False,False,True,nicht zerlegbar
gefiltert,17,RB1-mut isogen (GSE145235),osteogen,11573,1.926869163048835,False,ok,OSTEOGEN,ADIPOGEN,-1.7235904729313374,-3.868920595598395,1.2472549148922587,ok,1.2020716332353034,2.771113524873952,ok,0.48201937869817024,1.0500702843518457,ok,0.9710982658959536,12.44596321965514,0.5991597521635019,173.0,True,True,True,"Entkopplung, anderer Fall (Linie erreicht)"
gefiltert,18,RB1-del isogen (GSE145235),osteogen,11578,1.3940276069622757,False,ok,OSTEOGEN,ADIPOGEN,-1.46706433431058,-3.086983848863743,1.3348225770206243,ok,0.8086951374385487,1.7880743855670762,ok,0.37055791844179675,0.7502415217601709,ok,0.9766081871345028,12.29737474124009,0.6154354907688494,171.0,True,False,True,Zerlegung bestaetigt
