gse,n_proben,naiver_arm,diff_arm,diagnose,eingriff,urteil,code,begruendung,titel,n_proben_gds,achse
GSE215307,375,False,False,True,False,AUS,A1,kein naiver Arm,Cancer-Associated Fibroblasts are the Main Source of Epithelial-to-Mesenchymal Signaling in the Tumor Microenvironment,375.0,OI
GSE211729,126,False,False,True,False,AUS,A1,kein naiver Arm,"Adipose-enriched peri-tumoral stroma, in contrast to myofibroblast-enriched stroma, prognosticates poorer survival in breast cancers.",126.0,MPS
GSE18732,118,False,False,False,False,AUS,A2,keine Diagnose als Laesionsachse,mRNA expression data from skeletal muscle of type 2 diabetes,118.0,MPS
GSE233504,102,False,False,True,False,AUS,A1,kein naiver Arm,Adipocyte associated glucocorticoid signaling regulates normal fibroblast function which is lost in inflammatory arthritis,102.0,MPS
GSE58250,102,False,False,False,False,AUS,A2,keine Diagnose als Laesionsachse,Multi-Omic Integrated networks connect DNA methylation and miRNA with skeletal muscle plasticity to chronic exercise in type 2 diabetic obesity,102.0,MPS
GSE190042,93,False,False,True,False,AUS,A1,kein naiver Arm,Integration between MCL1 gene co-expression module and the Revised International Staging System enables precise prognostication and prediction of response to proteasome inhibitor-based therapy in individual multiple myeloma,93.0,FGFR3
GSE176307,90,False,True,True,False,AUS,A1,kein naiver Arm,Fibroblast Growth Factor Receptor 3 Alterations and Response to Immune Checkpoint Inhibition in Metastatic Urothelial Cancer: A Real World Experience,90.0,FGFR3
GSE244375,78,False,True,True,False,AUS,A1,kein naiver Arm,Chondrodysplasia-inducing COL2A1 p.Gly1170Ser causes an ER storage defect without associated unfolded protein response in chondronoids,78.0,FREITEXT_DYSPLASIE
GSE120558,66,False,True,True,False,AUS,A1,kein naiver Arm,Gain of function DNMT3A mutations cause microcephalic dwarfism and hypermethylation of Polycomb-regulated regions,66.0,FREITEXT_KLEINWUCHS
GSE125168,62,True,False,False,True,AUS,A2,keine Diagnose als Laesionsachse,PLZF targets developmental enhancers for activation during osteogenic differentiation of human mesenchymal stem cells,62.0,PSACH_MED
GSE34074,60,False,False,False,False,AUS,A2,keine Diagnose als Laesionsachse,Genome-wide microarray analysis of normal human fibroblasts in response to genistein,60.0,MPS
GSE43515,54,False,False,False,False,AUS,A2,keine Diagnose als Laesionsachse,Effect of MWCNT on Lung Fibroblast gene expression,54.0,OI
