symbol,dWT_kons,iv_kons,basis,atac,im_modul,ri
ACY1,-0.1999999999999999,0.0666666666666666,0.0984115861220022,0.4763096756584577,False,
ACYP2,0.125,0.125,-0.4987155558449795,-0.5665075702259377,False,
ADA,-0.25,0.375,-0.216853727335857,0.454508919244374,False,
ADAM10,-0.125,-0.125,-0.0679233128423193,0.2208137510737788,False,
ADAM11,-0.7333333333333334,0.1999999999999999,0.637532306607381,-0.0181937357843162,False,
ADAM12,-0.5,0.125,0.5542496068527261,-0.0173964574086591,False,
ADAM15,-0.25,-0.125,0.447716095897578,0.2109231028012717,False,
ADAM17,0.375,-0.25,-0.401117545665312,0.0432642493658419,False,
ADAM19,-0.25,0.125,0.667683373496147,-0.2886758043122894,False,
ADAM32,0.5,-0.125,-0.6776020572054355,-0.6084309085484267,False,
ADAM8,0.1999999999999999,-0.3333333333333332,-0.122939986414229,1.3636026554652614,False,
ADAM9,0.125,-0.5,-0.1548529705681612,-0.8281887042964646,False,
ADAMTS1,-0.375,-0.375,0.605622524650602,-0.1209490419162309,False,
ADAMTS10,0.8666666666666667,0.0666666666666666,-0.713917194335899,-0.1133257193893562,True,1.0
ADAMTS12,-0.625,-0.125,0.6328760146905855,-0.7428842419379416,False,
ADAMTS14,-0.25,-0.125,0.3516719551782075,-0.2662154044855733,False,
ADAMTS15,-0.2941176470588236,0.2941176470588236,-0.0929727295539574,0.2729782658153032,False,
ADAMTS2,0.125,0.125,-0.47313013890911,0.5435668483590539,False,
ADAMTS3,-0.4666666666666665,-0.3333333333333332,0.410029911799238,-0.6650902193535773,False,
ADAMTS5,0.1111111111111111,-0.2222222222222223,-0.0813045518892316,-0.0705691136434247,False,
ADAMTS6,-0.125,-0.5,0.292186023765233,-0.5557407277814947,False,
ADAMTS7,0.375,0.0,-0.674886787405972,0.3643148505862208,False,
ADAMTS9,0.3333333333333332,0.1999999999999999,-0.266217846237075,-0.2002650879563106,False,
ADAMTSL1,-0.7333333333333334,-0.1999999999999999,0.689726571987119,-0.6833599299926778,True,-1.0
ADAMTSL4,0.75,0.0,-0.4081560883863565,0.3829569568511215,False,
ADAMTSL5,0.6000000000000001,-0.7333333333333334,-0.336557299533058,0.753195971169915,False,
ADAP1,0.1999999999999999,-0.0666666666666666,-0.504321856637959,0.2466875868547151,False,
ADAR,0.0,-0.125,-0.238145322866877,-0.3236275984014738,False,
ADARB1,0.625,-0.375,-0.9337169991278396,0.1499833127409373,False,
ADAT1,0.25,-0.25,-0.3158900643696815,-0.2338039204620075,False,
ADAT2,-0.375,-0.125,-0.0005387847301214,0.0634155782909497,False,
ADCK1,0.125,0.125,-0.1457882107083435,0.0690917622689175,False,
ADCK2,0.25,0.0,-0.1843371274894605,0.0199489024630996,False,
ADCK5,0.0,-0.125,0.0144277925376881,0.1691861419837452,False,
ADCY1,-0.6000000000000001,0.3333333333333332,0.613117236335284,-0.2530804208984931,False,
ADCY3,0.125,-0.125,-0.044431207041521,0.0535725062500751,False,
ADCY4,-0.411764705882353,-0.2941176470588236,0.453590690906501,-0.1002332956326399,False,
ADCY6,0.125,0.25,-0.351111141542338,-0.1178468670368828,False,
ADCY7,0.0,-0.25,0.0098389520364294,0.2217375263768004,False,
ADCY9,0.0,0.0,-0.1798338537172085,-0.3765290106405672,False,
ADD1,0.125,0.125,-0.0153192667613839,0.397959200790523,False,
ADD3,0.25,0.375,-0.4069011429462905,-0.1738240071565182,False,
ADH5,-0.125,0.0,-0.1842130340437819,0.370172852469123,False,
ADI1,0.125,0.5,-0.492283289053704,0.0648855516972846,False,
ADIPOR1,0.375,0.0,-0.5737212115428495,0.246705925879616,False,
ADIPOR2,-0.2222222222222223,-0.3333333333333332,-0.1234586413212876,-0.2191956559476362,False,
ADIRF,-0.6000000000000001,0.1999999999999999,0.329164394071578,-0.4964597924283942,False,
ADK,-0.25,-0.125,0.1881944768576815,0.1024568260888831,False,
ADM,0.125,0.25,-0.110384866824676,0.1336771074765088,False,
ADM2,0.411764705882353,-0.6470588235294117,-0.291100752945376,0.6614138355462795,False,
ADNP,-0.25,-0.5,-0.0129773659060098,0.143101820279476,False,
ADNP2,-0.2222222222222223,-0.3333333333333332,0.2334501068018,-0.0904271222715233,False,
ADO,0.3333333333333332,-0.1111111111111111,-0.411854127507034,0.4553524418324337,False,
ADORA1,-0.6000000000000001,0.4666666666666665,0.498602216484333,0.2710949845933774,False,
ADORA2B,-0.5555555555555556,-0.2222222222222223,0.7017302055766955,0.6125276977081537,False,
ADPGK,0.25,-0.125,0.030121340837907,-0.1865409995200808,False,
ADPRH,0.375,-0.125,-0.5294379361419875,0.1825520945028713,False,
ADPRHL1,0.8666666666666667,-0.4666666666666665,-0.694698003804399,0.0416745494454176,True,1.0
ADPRM,0.125,0.125,-0.4331633975911595,0.0663440276904947,False,
ADRA1B,0.625,-0.125,-1.0497049912164944,0.5828464663861412,False,
ADRA2A,0.3333333333333332,0.1999999999999999,-0.235702260395516,0.3705988557659533,False,
ADRA2C,0.375,0.0,-0.3152982589646155,0.3123744585332673,False,
ADRB2,0.0,-0.2222222222222223,0.0736200614641658,0.185487556675814,False,
ADRM1,-0.25,-0.125,0.7019737192065445,0.2347835965202405,False,
ADSL,-0.6000000000000001,0.0666666666666666,0.57295590008448,-0.0419375987385075,False,
ADTRP,-0.6000000000000001,0.1999999999999999,0.619594795855023,-0.5065869307417983,False,
AEBP1,0.0666666666666666,-0.0666666666666666,-0.20360385925121,-0.2765319802908805,False,
AEBP2,-0.125,-0.125,0.0431927787745647,0.5975220018750393,False,
AEN,-0.5,-0.375,0.456541725172397,-0.1286234841110527,False,
AFAP1,-0.5,-0.375,0.5341264232249026,-0.2853987565049327,False,
AFAP1L1,0.5,-0.25,-0.4358311885264224,-0.0384926343564542,False,
AFAP1L2,-0.4666666666666665,0.3333333333333332,0.572848154686983,-0.6810124079064188,False,
AFF1,0.5,0.25,-0.3707646428120805,0.1159528953234443,False,
AFF3,-0.375,-0.125,0.1835650819099159,0.0915883205054357,False,
AFF4,0.375,-0.125,-0.0611749437471594,0.1648525337264068,False,
AFG3L2,-0.375,0.125,0.3981715172885859,0.1237240870800597,False,
AFMID,-0.125,0.125,0.127176907804036,0.2557876055084365,False,
AFP,-0.75,0.75,0.7823475206924525,-1.2866053045978796,False,
AFTPH,0.125,-0.375,-0.426373868645905,-0.3720631531441293,False,
AGA,0.1111111111111111,0.1111111111111111,-0.1111562291551184,0.3969348260525853,False,
AGAP1,0.0,0.25,0.1172423488517523,0.5824159656412524,False,
AGAP3,-0.25,0.0,0.124255607133274,0.2425892726119998,False,
AGBL2,0.1764705882352941,0.1764705882352941,-0.354378438819463,0.1524380545264481,False,
AGBL3,0.3333333333333332,0.3333333333333332,-0.183141316879117,-0.1365668435621856,False,
AGBL5,-0.75,0.375,0.6514826398375225,-0.3184533397389555,False,
AGFG1,0.0,-0.25,0.1728255967538365,0.0431928503081289,False,
AGFG2,0.375,-0.25,-0.67197253962964,-0.0684463333495046,False,
AGGF1,0.625,-0.25,-0.8281591420380375,0.1257318090573838,False,
AGK,-0.625,-0.375,0.604031778070985,-0.2708553492862049,False,
AGL,0.375,0.0,-0.5918123452689206,0.2009389050278915,False,
AGMAT,-0.0588235294117647,0.0588235294117647,0.287481193288747,0.442275465792217,False,
AGO1,-0.625,0.125,0.542105572054855,0.1416051240758682,False,
AGO2,0.25,-0.125,-0.4647969547050605,0.3765790719743851,False,
AGO3,0.25,0.125,-0.4743742598007845,0.1810358809928951,False,
AGO4,0.375,-0.125,-0.740744337266242,0.2752957044786455,False,
AGPAT1,-0.625,0.25,0.8239584054861919,-0.2909441995792203,False,
AGPAT2,0.625,-0.25,0.0537337160214268,1.3883766027382405,False,
AGPAT3,0.25,-0.375,0.1171965035129438,0.3621360218538638,False,
AGPAT4,0.125,-0.25,-0.0316017933705345,-0.603687272501948,False,
AGPAT5,0.1764705882352941,-0.1764705882352941,-0.205868703245009,0.1664109041293424,False,
AGPS,0.625,0.0,-0.2514482794205705,-0.8182059723564212,False,
AGRN,-0.125,-0.375,0.5702434884196925,0.7112679718909602,False,
AGT,0.375,0.125,-0.678575937543328,-0.228189106972205,False,
AGTPBP1,-0.125,-0.125,0.2192600240797242,0.2119469015051209,False,
AGTRAP,0.5,0.0,-0.413863343411199,0.4474726825512576,False,
AHCTF1,0.125,-0.125,0.213349046992453,-0.3708248600074704,False,
AHCY,0.0,0.375,0.444955332614286,-0.0244893873672693,False,
AHCYL1,0.25,-0.125,-0.3575424426623165,-0.1560317639264798,False,
