ensembl,dWT_n,dWT_med,dWT_v,dWT_vz,dWT_kons,iv_n,iv_med,iv_v,iv_vz,iv_kons,basis_med,pool_anteil,symbol,im_modul,ri
ENSG00000184014,18,0.48928768478637197,13,1,0.4444444444444444,18,-0.676807465890697,13,-1,-0.4444444444444444,-0.226714662801684,0.4444444444444444,DENND5A,False,
ENSG00000184056,15,-0.0301196837290106,8,-1,-0.06666666666666665,15,-0.13798798047265,8,-1,-0.06666666666666665,-0.029089038639354,0.26666666666666666,VPS33B,False,
ENSG00000184076,16,-0.227833647271243,11,-1,-0.375,16,0.12750233808988595,9,1,0.125,0.321752148215695,0.1875,UQCR10,False,
ENSG00000184083,16,0.234823856776335,9,1,0.125,16,0.08669558079979164,8,1,0.0,-0.137424602722322,0.4375,FAM120C,False,
ENSG00000184117,16,-1.8623499082405202,13,-1,-0.625,16,0.3377478613128695,11,1,0.375,1.1377160852237749,0.125,NIPSNAP1,False,
ENSG00000184156,16,-0.316701658597382,10,-1,-0.25,16,-0.388087700564552,9,-1,-0.125,0.107458675517232,0.1875,KCNQ3,False,
ENSG00000184160,16,0.445475524114336,11,1,0.375,16,0.01789168834486725,8,1,0.0,-0.3152982589646155,0.5,ADRA2C,False,
ENSG00000184162,16,-0.3521855073892675,12,-1,-0.5,16,-0.12210338611417845,10,-1,-0.25,0.1447711536647109,0.1875,NR2C2AP,False,
ENSG00000184164,16,-0.444153058003544,11,-1,-0.375,16,0.520641389144754,10,1,0.25,0.29171443976997047,0.125,CRELD2,False,
ENSG00000184178,16,-1.1323103186002,12,-1,-0.5,16,0.38955401363423003,11,1,0.375,0.4301843664845465,0.125,SCFD2,False,
ENSG00000184182,15,0.331158410136672,10,1,0.33333333333333326,15,-0.19081896828705,8,-1,-0.06666666666666665,-0.0162541967191571,0.26666666666666666,UBE2F,False,
ENSG00000184194,18,-0.120640699085306,10,-1,-0.11111111111111116,18,-0.5609378067194994,11,-1,-0.22222222222222232,0.041666342946375,0.3333333333333333,GPR173,False,
ENSG00000184203,18,0.933264057687214,13,1,0.4444444444444444,18,-0.005977332028083496,9,1,0.0,-0.498229991825358,0.6666666666666666,PPP1R2,False,
ENSG00000184205,16,0.09734879716516637,8,1,0.0,16,0.24743938154170952,10,1,0.25,-0.338493197962579,0.375,TSPYL2,False,
ENSG00000184207,18,-0.6931006521123024,12,-1,-0.33333333333333326,18,-0.01285772082936295,9,1,0.0,0.6017920856013125,0.2222222222222222,PGP,False,
ENSG00000184209,16,0.008369780001632993,8,1,0.0,16,-0.0035647495211031006,8,1,0.0,0.050488481352071096,0.375,SNRNP35,False,
ENSG00000184216,16,0.1315176981151184,9,1,0.125,16,-0.1387650886525705,10,-1,-0.25,0.1308426581801415,0.25,IRAK1,False,
ENSG00000184220,16,-0.09599153809018249,9,-1,-0.125,16,0.005655382688403002,8,1,0.0,0.2240240314509025,0.3125,CMSS1,False,
ENSG00000184226,16,1.18083740844488,12,1,0.5,16,0.1995655375821955,11,1,0.375,-0.751620004433248,0.6875,PCDH9,False,
ENSG00000184227,18,0.6761645239077989,12,1,0.33333333333333326,18,0.134219119630773,12,1,0.33333333333333326,-0.5124763299670765,0.5555555555555556,ACOT1,False,
ENSG00000184232,18,-0.725072186706216,14,-1,-0.5555555555555556,18,0.0048410887545712,10,1,0.11111111111111116,0.500369098466915,0.16666666666666666,OAF,False,
ENSG00000184254,16,-0.516574734942875,11,-1,-0.375,16,-0.3014253815839235,11,-1,-0.375,0.22428964428703402,0.3125,ALDH1A3,False,
ENSG00000184271,16,0.48757289116328306,9,1,0.125,16,0.13857371925075831,8,1,0.0,-0.44668637502694153,0.5,POU6F1,False,
ENSG00000184277,16,0.3562588322650585,13,1,0.625,16,0.626458866150738,13,1,0.625,-0.5202729194566225,0.4375,TM2D3,False,
ENSG00000184281,16,-0.7944216755910616,11,-1,-0.375,16,0.37038666822254096,13,1,0.625,0.146458406988284,0.3125,TSSC4,False,
ENSG00000184292,15,1.21257264511422,13,1,0.7333333333333334,15,-0.593430455127077,9,-1,-0.19999999999999996,-0.771238597398805,0.8666666666666667,TACSTD2,True,1.0
ENSG00000184304,16,0.3239524891505615,10,1,0.25,16,0.5258517938611554,13,1,0.625,-0.1228304642173359,0.4375,PRKD1,False,
ENSG00000184307,16,1.004021354531781,11,1,0.375,16,0.0761338693855549,10,1,0.25,-0.6187237581753315,0.5625,ZDHHC23,False,
ENSG00000184347,16,-0.952958345370976,13,-1,-0.625,16,0.06672854132577336,10,1,0.25,0.612233297842624,0.125,SLIT3,False,
ENSG00000184349,16,-0.3917198887094605,10,-1,-0.25,16,0.436480178664495,11,1,0.375,0.0909991163364274,0.25,EFNA5,False,
ENSG00000184363,15,-1.33314705936282,13,-1,-0.7333333333333334,15,-0.006205541968399,8,-1,-0.06666666666666665,0.855608147343005,0.13333333333333333,PKP3,False,
ENSG00000184368,15,-0.586576636176248,9,-1,-0.19999999999999996,15,-0.303834911508327,9,-1,-0.19999999999999996,0.51600507517437,0.4,MAP7D2,False,
ENSG00000184371,16,1.0273480064344516,13,1,0.625,16,-0.3639173850415845,12,-1,-0.5,-0.485479484729581,0.75,CSF1,False,
ENSG00000184378,18,0.6130399233024411,14,1,0.5555555555555556,18,0.081852708374205,9,1,0.0,-0.26265971574803404,0.5555555555555556,ACTRT3,False,
ENSG00000184381,16,0.4870121061198485,10,1,0.25,16,0.40436719634586504,10,1,0.25,-0.335666712936683,0.5,PLA2G6,False,
ENSG00000184384,16,0.19109488812876702,10,1,0.25,16,-0.08015789989802795,9,-1,-0.125,-0.311032807179014,0.375,MAML2,False,
ENSG00000184402,16,-0.15272642123075553,8,1,0.0,16,-0.196008007491198,9,-1,-0.125,0.15212491083638852,0.375,SS18L1,False,
